	ec1314	ec1322	ec1346	ec1354	ec1361	ec1369	ec1378	ec1386	ec1393	ec1396	ec1401	ec1404	ec1409	ec1411	ec1417	ec1419	ec1425	ec1433	ec1438	eti110	eti114	eti122	eti123	eti124	eti126	eti135
ec1401	0.5437176030910649	0.610463070624768	0.5070965891942124	0.4435464956447654	0.6617881029321727	0.6457496975809662	0.6352728619003126	0.5375253608034963	0.579277543543531	0.6377933082116742	0	0.5125231112831541	0.5574408143709686	0.608189926030495	0.4539642878154704	0.6467524518209659	0.6229984526023375	0.584360504641538	0.6423642733513628	0.6497028818414134	0.5558125712507063	0.6705746191632833	0.6702889350173854	0.6485391808684499	0.6663843651843778	0.665956314938623
ec1404	0.3378239896254777	0.4761123131952818	0.3987272275950728	0.4879804716411681	0.4708720162431288	0.4159091014158296	0.3893510551746991	0.5103885701170522	0.491830766792254	0.4126609752427848	0.5125231112831541	0	0.5548020762134812	0.5826857655801524	0.6290633895008737	0.4500064440119543	0.4921215782362057	0.5450153218759355	0.4068738189723378	0.4329745176610942	0.5338115548771901	0.4506957627286163	0.4744279805149269	0.3996508034342341	0.4617416580485525	0.5332695066316918
ec1409	0.4225100781396788	0.3812874563149238	0.5149668022825657	0.4256617336044715	0.3072638427718272	0.3877478011624435	0.3950267039114728	0.2942498403139553	0.5490188560700872	0.4035590765642109	0.5574408143709686	0.5548020762134812	0	0.45835289521787	0.5098603703252703	0.4893902871728205	0.5484490705395733	0.2806646953939416	0.3548992912870823	0.4000271386322434	0.2404037364359494	0.3908998477516513	0.4370761120178115	0.3988116698032816	0.4495632735005384	0.4827136673607241
ec1411	0.5221714103430829	0.5549985720711293	0.5451425370557734	0.419186020031728	0.5191494323763203	0.5251470267656438	0.5621178861550362	0.4976819932180925	0.5969749902225134	0.5402107185727482	0.608189926030495	0.5826857655801524	0.45835289521787	0	0.4722026868046252	0.3929300177777093	0.3759134285153287	0.4481460635673731	0.5289848172878658	0.5696623130072124	0.4686304363197158	0.5042295667275428	0.5984464763830741	0.5463427753552772	0.5529382654300107	0.6211525577231145
ec1417	0.5828372120808292	0.5729720246634228	0.5528967942488937	0.4651272085806391	0.572154633066838	0.5821169304766768	0.6137411234613727	0.5658755254055299	0.6069670357228109	0.5982529320505818	0.4539642878154704	0.6290633895008737	0.5098603703252703	0.4722026868046252	0	0.5773712598984442	0.5816231858691888	0.501591078836535	0.5921614392293235	0.6198669453192248	0.5265988491372878	0.6236833065434754	0.6442745948603191	0.6162499344248967	0.6166844329443057	0.6014278510081524
ec1419	0.4305000239314159	0.4358867906602272	0.4798113832517359	0.5729366371080193	0.3286531631063598	0.3032600440311106	0.3299057518235649	0.5219064318679915	0.5775484595777969	0.3046195362785588	0.6467524518209659	0.4500064440119543	0.4893902871728205	0.3929300177777093	0.5773712598984442	0	0.1755208607177522	0.5123096995348382	0.3464108916074756	0.3783847917994408	0.4732325190633767	0.4472483002943871	0.4247031565342538	0.3678410048218069	0.3892213403190158	0.4746601506691967
ec1425	0.502585918556671	0.4740174190574679	0.4794500926649807	0.5914970736234888	0.4274053135747852	0.3673665375065227	0.3946156711010984	0.5485278213483777	0.559369235481162	0.3731250498391028	0.6229984526023375	0.4921215782362057	0.5484490705395733	0.3759134285153287	0.5816231858691888	0.1755208607177522	0	0.5398936526465735	0.4069256873156123	0.4339998275908195	0.5087944164847331	0.4912261414553003	0.4778917672550638	0.4304514837247753	0.4418214034085008	0.5360208506396412
ec1433	0.4952561980569585	0.3846493353140629	0.5455046256292506	0.4493861896421712	0.3905615644783302	0.3731925424080924	0.3663773947368301	0.2343416692882454	0.5048452954177872	0.3825203087431028	0.584360504641538	0.5450153218759355	0.2806646953939416	0.4481460635673731	0.501591078836535	0.5123096995348382	0.5398936526465735	0	0.334925332704437	0.3826032124940915	0.3298271178299622	0.4016684095443421	0.4220097586096394	0.3780997346802948	0.4362741199986261	0.5157364151475839
ec1438	0.3725811873124279	0.2722188711342096	0.4379221617284308	0.5577026836579735	0.178938404037347	0.1465754323047675	0.07234757751040352	0.3965205657140163	0.5315872621174742	0.1433274288777549	0.6423642733513628	0.4068738189723378	0.3548992912870823	0.5289848172878658	0.5921614392293235	0.3464108916074756	0.4069256873156123	0.334925332704437	0	0.169488428352142	0.3927248391485559	0.2189702396932129	0.2465902523759931	0.1581600280781782	0.2762627324575464	0.3725570691823584
eti110	0.4163338368092553	0.2810864882906202	0.5057107078532598	0.5836600932756563	0.2716840717103072	0.1580415072330126	0.135906263906906	0.4048842984493769	0.55934061390859	0.1730529662065735	0.6497028818414134	0.4329745176610942	0.4000271386322434	0.5696623130072124	0.6198669453192248	0.3783847917994408	0.4339998275908195	0.3826032124940915	0.169488428352142	0	0.3950094844418859	0.273635498346405	0.2315949810128624	0.1738750022484716	0.2672001244987845	0.4163607384609321
eti114	0.5405852062346701	0.3728023862746034	0.5758710401645917	0.4337987734244201	0.4161834963523977	0.3357706796241766	0.377727701234905	0.2714734734804783	0.5728435539123633	0.3611177939737583	0.5558125712507063	0.5338115548771901	0.2404037364359494	0.4686304363197158	0.5265988491372878	0.4732325190633767	0.5087944164847331	0.3298271178299622	0.3927248391485559	0.3950094844418859	0	0.4412172667334971	0.4393886841663612	0.3405361156307568	0.3978090594575829	0.505302178741565
eti122	0.3549364152217158	0.3530898491441271	0.4588650705998951	0.5503526271802091	0.2759059593060902	0.2649832664987395	0.264596479907627	0.4383693418814789	0.5646210540059204	0.283964479033684	0.6705746191632833	0.4506957627286163	0.3908998477516513	0.5042295667275428	0.6236833065434754	0.4472483002943871	0.4912261414553003	0.4016684095443421	0.2189702396932129	0.273635498346405	0.4412172667334971	0	0.3250826209886629	0.2459262356318356	0.3229045897492805	0.3946719140040441
eti123	0.4517137989527866	0.328591613405578	0.539625373794151	0.6076703802618628	0.3356888505282981	0.2194261863107143	0.2118524736126751	0.4411328211535253	0.5857133263019901	0.2460851492605716	0.6702889350173854	0.4744279805149269	0.4370761120178115	0.5984464763830741	0.6442745948603191	0.4247031565342538	0.4778917672550638	0.4220097586096394	0.2465902523759931	0.2315949810128624	0.4393886841663612	0.3250826209886629	0	0.2357865207720537	0.1921351691398697	0.4624598808151603
eti124	0.4120730323683988	0.259617676211974	0.4966891627119924	0.5684124520752967	0.2746880486752348	0.131616476396514	0.1154562442165217	0.3726143543730548	0.5588703253474452	0.1632011445544632	0.6485391808684499	0.3996508034342341	0.3988116698032816	0.5463427753552772	0.6162499344248967	0.3678410048218069	0.4304514837247753	0.3780997346802948	0.1581600280781782	0.1738750022484716	0.3405361156307568	0.2459262356318356	0.2357865207720537	0	0.2394778117927177	0.3956442582780041
eti126	0.4635893273285017	0.3466793817228175	0.5398365069026961	0.5545058022123805	0.297634951716018	0.1753344780211391	0.2456119973334824	0.4181347360262632	0.5851676147696978	0.1998765898488541	0.6663843651843778	0.4617416580485525	0.4495632735005384	0.5529382654300107	0.6166844329443057	0.3892213403190158	0.4418214034085008	0.4362741199986261	0.2762627324575464	0.2672001244987845	0.3978090594575829	0.3229045897492805	0.1921351691398697	0.2394778117927177	0	0.453155977365648
eti135	0.5144772107050321	0.407776172701479	0.5044066903864342	0.6113019564813361	0.4013687952469838	0.3998320549101286	0.3726710449369849	0.5234928487453919	0.6048614334090109	0.4006625572691983	0.665956314938623	0.5332695066316918	0.4827136673607241	0.6211525577231145	0.6014278510081524	0.4746601506691967	0.5360208506396412	0.5157364151475839	0.3725570691823584	0.4163607384609321	0.505302178741565	0.3946719140040441	0.4624598808151603	0.3956442582780041	0.453155977365648	0
