Feature.ID,kingdom,phylum,class,order,family,genus,species
e2fd9b1be5b0e96b765a8d1d66d88b9c,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__EB1017, g__, s__
2063d00dd2cc99bb045d728a40ea30a3,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae, g__Devosia, s__
c85543e35376c2f10af69bdf52cc6da8,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Thermomonas, s__
9ab2e0094ed79c12db35239398084ca9,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__
6e1b203f31efd7518251fa7dbdfede7e,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Aerococcaceae, g__Alloiococcus, s__
2f4fa33410e799e97f6efc161671d6fb,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae, g__Afipia, s__
cc09d75b791891bdcb0ab67e5198c9f0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Brevibacillus, s__reuszeri
b5e6cf9751c46dcd9f69778e4d64868f,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__Nocardioides, s__
0e1608d666e79e0e0755e0129f709d9d,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus, s__muralis
2eb7ca326ef4faa40a1c8265a9697e21,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Paracoccus, s__
4e2548da7a80fcc9e2d7cf3662d00faa,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__, s__
6efbc81dffa87db800be57e680274370,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__
6cb788b5063a0be1876712f533053e9f,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Geodermatophilaceae, g__, s__
9a0da2afd9aacdc97e979f694027a3d0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Cryocola, s__
cb374a135dc30b7d93849705adc927dc,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Enterococcus, s__cecorum
