	ec1057	ec1058	ec1059	ec1060	ec1061	ec1062	ec1065	ec1066	ec1068	ec1069	ec1070	ec1071	ec1073	ec1075	ec1076	ec1077	ec1078	ec1079	ec1081	ec1082	ec1083	ec1084	ec1085	ec1086	ec1087	ec1089	ec1091	ec1093	ec1094	ec1095	ec1097	ec1100	ec1101	ec1102	ec1105	ec1106	ec1108	ec1109	ec1110	ec1111	ec1113	ec1114	ec1115	ec1116	ec1117	ec1118	ec1119	ec1121	ec1122	ec1123	ec1124	ec1125	ec1126	ec1127	ec1129	ec1130	ec1131	ec1132	ec1133	ec1134	ec1137	ec1138	ec1140	ec1141	ec1142	ec1145	ec1149	ec1150
ec1070	0.689223070361157	0.6345721477476383	0.580370517245247	0.636029980904586	0.6061752616258962	0.6454079498044373	0.6549263665012456	0.6091513704312878	0.588085007984774	0.6188080968241009	0.0	0.5936609919676191	0.6471034518768527	0.6288508523440314	0.7346212710853948	0.6750894911440519	0.6942665915130483	0.5888889486892599	0.6600077424216325	0.6288628597013172	0.6853307149959589	0.6694072420526402	0.5796938953538339	0.5958299425932596	0.5594669438169407	0.6438898645871666	0.636016026415785	0.6289678549059904	0.5932079909136689	0.5955008501225855	0.6352274095353839	0.6319803345782538	0.6141243736579513	0.6086747089120716	0.5950538393177369	0.7164058155700531	0.5850054761528565	0.6129230819632667	0.6288328180915109	0.6048561970130926	0.7357782381637107	0.5845615269248866	0.6245192392113394	0.620694310618405	0.6184073063341454	0.6134044838208482	0.6336119960840053	0.6227652387416481	0.5677206489489833	0.6636826535284959	0.7192427539690663	0.557137559360899	0.6686217399237174	0.5887524633921447	0.729486252699632	0.5810188342149805	0.5735166043093851	0.6579613219005953	0.6251002595416296	0.697185268823522	0.6494514445219499	0.6133148743903054	0.6476301685556881	0.6197615951828488	0.6538641272345438	0.6369501685735572	0.6328318621607617	0.6842920832662346
ec1071	0.6809735224676197	0.6377641209727707	0.5886984558048026	0.647739842276929	0.6472229846346763	0.6709768245649227	0.6547193058378427	0.6266279980453947	0.6090542422052987	0.6450631956001471	0.5936609919676191	0.0	0.6483675012348437	0.6174535073125316	0.7190738393450168	0.6762000199021586	0.7059160033429601	0.5537223988730239	0.68351358086249	0.6239877077423299	0.6177122276652357	0.6751433792220667	0.6453383845995874	0.6405065065250694	0.5493011787408915	0.6599845526889057	0.5868282382706007	0.6672914728672046	0.6588634850734213	0.49738403419544774	0.6734139185588981	0.6350264150730732	0.6555563992783262	0.6242639240221022	0.6415569033067902	0.6883144255122405	0.5937180124848559	0.6463804210372646	0.5999025592202848	0.5834305760176588	0.7129381585896448	0.6223556656422455	0.5840445752438304	0.6226403182420439	0.6571132803497362	0.6034136039167325	0.6246784454255182	0.6470524399469876	0.5697006416740549	0.6177347127763695	0.6917379473519478	0.6662277525563551	0.6061884655944838	0.5715066980903453	0.713990950158219	0.5674562843805218	0.6046789102338708	0.6658894111103415	0.6593290293503947	0.6124040323224671	0.649678049443118	0.6016335384962722	0.6365192300528493	0.6523703122402009	0.6032502661781756	0.6404219860510277	0.703295260133115	0.6583611236089073
ec1073	0.5716276942467794	0.5790988170768246	0.5701152747090954	0.6565530535227336	0.6327847095013136	0.6151582132204999	0.6222540925293518	0.5569684743142826	0.6372482776015866	0.574278608600341	0.6471034518768527	0.6483675012348437	0.0	0.5908444278137562	0.6703877688306831	0.548908258154634	0.6103441975654724	0.6336021845965858	0.6676641705132343	0.6271131487820597	0.6819441535352079	0.5561523476801888	0.5959966016346075	0.5964700575211662	0.6523842172202656	0.5588363148958787	0.6313829388470296	0.6189415028172441	0.6407464377471069	0.6676398212495929	0.640119884279971	0.5921452558285528	0.6629908992445978	0.6948010804254594	0.6057966239516598	0.5580097809187576	0.6019761640139043	0.6117443702193469	0.6413898850899933	0.634144230802466	0.6269764952602549	0.61759752616232	0.6813284280731706	0.6577543803044886	0.6392190803905532	0.6417451510352393	0.6604475196350905	0.5932417854943556	0.6336753723126578	0.6577800393714924	0.6418678907270662	0.6621708599688441	0.6383008196034691	0.6623297831216741	0.6413908479655765	0.5678979637821887	0.6575493838640223	0.5817110009140701	0.6156732032262019	0.6643412525666482	0.5223765458923169	0.653345455963473	0.5600221406577198	0.6064657566624592	0.5870186713433306	0.6434641084592605	0.6081478822294718	0.6638489633640204
ec1075	0.6099269286228227	0.5978285056873391	0.5605086411302109	0.6219478055649212	0.628699173696961	0.5983692656408348	0.6310521572702386	0.5525701878417408	0.5852814047342427	0.606671008265579	0.6288508523440314	0.6174535073125316	0.5908444278137562	0.0	0.6534359701595939	0.5473428216328262	0.6447882991202746	0.5971898534081215	0.6386648616068246	0.6007740194732948	0.7009096750192088	0.6255107774693212	0.5889757901832271	0.6075964852770397	0.637013355963837	0.5778795173624236	0.6320691903234978	0.627890577041751	0.6011394837067077	0.6210983206553539	0.6214786523817858	0.6270795134995332	0.6264847895822866	0.6835687069772698	0.6072741303581285	0.5909697995260358	0.5897302764661496	0.6134107292850434	0.6524167293165878	0.6067474348637468	0.6668856367459679	0.593113619137902	0.6303153720122769	0.6241532488205421	0.627928987581217	0.618673041063692	0.6527207372463202	0.6291936258563473	0.6198964198422835	0.6371979615262446	0.6484568398403947	0.6164717084661561	0.6334667752337144	0.6238732983840624	0.6567131958988612	0.5167488918841351	0.6257853681869303	0.6066567732527679	0.5938441026816521	0.6284160123685774	0.5887718799236371	0.6200286710024476	0.6213315030338666	0.6081449238933859	0.5737314661243952	0.6147263086918991	0.6105102757041095	0.6344993246449182
ec1076	0.632278022825923	0.6666201953463913	0.6991980076364651	0.7350260885035519	0.7219244806705731	0.6891316958817287	0.6521792095604018	0.6585758489712529	0.7061156968608767	0.6702773431669059	0.7346212710853948	0.7190738393450168	0.6703877688306831	0.6534359701595939	0.0	0.6558321641803687	0.6026945948597777	0.7092650884875381	0.6743972942120775	0.6901972731551514	0.751917111778527	0.5696544247662925	0.6982656360927172	0.7021574334506533	0.6974463974088705	0.6450074520556659	0.7181541065441922	0.6504135236713455	0.6727817822280149	0.7309680931882089	0.6806421362425867	0.6155904079210867	0.6861938344786856	0.7467967226641079	0.6864924270806517	0.6813814919392897	0.6740759060952791	0.6731066403316613	0.7075598780935459	0.7211348311712619	0.5543296758174185	0.6678322419243946	0.7104108118850211	0.6413179477844022	0.7200722209152457	0.7361481567813142	0.7308160910171125	0.6850551824518272	0.7095734421512706	0.7497959803941541	0.5887166180209709	0.7283075096162521	0.7097521857913328	0.7089737397781182	0.6283985520699832	0.6772334883593986	0.7047261136286502	0.6473469971223235	0.6808954733756072	0.7399775053489869	0.6712964054402295	0.713790605330089	0.6455947231625788	0.6651576361198661	0.6865224806062118	0.7108263210825136	0.7092841641833643	0.721771740775821
ec1077	0.5404125681125098	0.5647342930372536	0.5714028073374477	0.6346833362315897	0.5961114649148788	0.5938190826523573	0.6111903504578794	0.5568428288352911	0.6224902108793585	0.5201833389104756	0.6750894911440519	0.6762000199021586	0.548908258154634	0.5473428216328262	0.6558321641803687	0.0	0.6093496961527045	0.6288487225832441	0.6725275540264977	0.586811193806534	0.7125711571397398	0.5521057956814339	0.6081136919758948	0.5635674812908493	0.6487005052220706	0.5405071265312843	0.6420153630445007	0.5788597046665038	0.6374859796167485	0.6411527169068526	0.616543389703273	0.5575902216434947	0.6174873648928169	0.6751285954620512	0.6485079160224277	0.5596425961237672	0.5886551156671153	0.5804219773642526	0.6339820263862772	0.6379698078655097	0.5816027643861849	0.6090503992210414	0.6658190104970109	0.6149904837175706	0.6021921787317855	0.6316394583633208	0.6654221877550787	0.6005721524487603	0.636482115873457	0.6460776061730037	0.6356566006120463	0.6092501150822681	0.6116478844805974	0.6598673728266452	0.6347489552544735	0.5795855883725469	0.645509772293566	0.5395096271877332	0.5848823915504914	0.6282639457552194	0.5202872924694025	0.6409859786044414	0.5526317057993652	0.6036797436441396	0.5913235575394179	0.6574601995186095	0.5752031597453844	0.6351498070733989
ec1078	0.5925388073718032	0.62837950612689	0.6543273025977586	0.6824914206045537	0.6626488518886837	0.5894483018192723	0.6607269176046067	0.6011013181985168	0.6638216102218853	0.6120941799005118	0.6942665915130483	0.7059160033429601	0.6103441975654724	0.6447882991202746	0.6026945948597777	0.6093496961527045	0.0	0.6937433136562035	0.7076041688661141	0.6485566510628833	0.7346402938889296	0.5827641973032721	0.6332990366286033	0.6387717032825364	0.6795547413657151	0.5987609353537331	0.6732331957233925	0.5965466864166611	0.6263604847622933	0.7110357656927394	0.6122586561353942	0.5939922706639164	0.6216020594235887	0.7266331533946894	0.6551255093840894	0.6234684407828108	0.615054772768447	0.5837261871946262	0.6789871251734543	0.673246363067764	0.5911708982197447	0.6566252101912169	0.6950257466866985	0.6241621256071295	0.6426234108527011	0.6830947275980207	0.7222721018718906	0.6206418452722128	0.6725827172629085	0.7031069976446417	0.6424565259442192	0.6546975160362918	0.6757206461921939	0.7007428998424932	0.6650536134595451	0.6298992369725367	0.7037488309276235	0.6752619544061227	0.6100152378571573	0.7175781583142126	0.6284602575370921	0.7115999143286691	0.6270962931818101	0.5828057383608477	0.6525819366722361	0.6815840968788538	0.6527358925547065	0.6711576970735594
ec1079	0.6252616736272101	0.6232914920543042	0.5437395225203266	0.5680698594096276	0.6101131906544698	0.6276478612685362	0.6625345335642975	0.6013706160104574	0.5534560629399714	0.5884993014797341	0.5888889486892599	0.5537223988730239	0.6336021845965858	0.5971898534081215	0.7092650884875381	0.6288487225832441	0.6937433136562035	0.0	0.6747879272096462	0.5622927874469924	0.6554135449618584	0.6535426922355365	0.5578051860677147	0.5991371081844525	0.5421486104400182	0.6209029959360727	0.5403171935680726	0.6465584175406752	0.6050030226152916	0.527039691079483	0.6303126066946168	0.63367014091241	0.6224335898025566	0.61111763163635	0.5959537117880863	0.6613383779749697	0.6026693296070972	0.6174079041706221	0.6123743612930086	0.5288697882944161	0.7001362205909858	0.587704492519426	0.5646913124378533	0.6364783470250008	0.6068055690299622	0.5198312097276366	0.575785582045174	0.5860902760565496	0.5497237422112216	0.530406520255959	0.6950677375995089	0.5821701301328825	0.5793122354119891	0.5587232204557994	0.7290769774991334	0.5423505242400783	0.537243281295124	0.6325307448799034	0.5965727243840211	0.5506409985464685	0.5936991690874062	0.555866556718979	0.6328771246197596	0.5909553311553287	0.5346155080593495	0.5539314929990056	0.6177430489257159	0.6185618936893605
ec1081	0.6625955045150603	0.6472292390749051	0.639008667168115	0.6987099022536397	0.6955972082532448	0.6950920599910119	0.6053996571171136	0.6394250119598615	0.6841561721875201	0.6271755439957158	0.6600077424216325	0.68351358086249	0.6676641705132343	0.6386648616068246	0.6743972942120775	0.6725275540264977	0.7076041688661141	0.6747879272096462	0.0	0.6782953801481139	0.6478393429287368	0.6505143823191111	0.6579140648066149	0.6835003457545789	0.6636367781487585	0.6399228686697602	0.6934072927145623	0.6593920989045674	0.6523539703258703	0.6894823350352567	0.6855182277806663	0.6399924378995402	0.5949263154068094	0.7419966074846429	0.6237224918931744	0.7013908124430418	0.6534505830320098	0.6640709095494925	0.7040457037976543	0.6839331260783739	0.6977127426234102	0.6381510039281246	0.7034689597642028	0.6018868706748611	0.6715778676263218	0.6583817101278152	0.6793982101581088	0.6667207973041688	0.6374444035655648	0.704976426958841	0.6580152496584201	0.6608605520965474	0.6809698054203626	0.6519100763843145	0.6653290852486411	0.6585484724558673	0.6662464704330946	0.6164509591044379	0.6710097041695063	0.7285744750011249	0.6378594308715452	0.709976492421997	0.6548058468379123	0.6582290886819849	0.6746886637612577	0.6797750128263669	0.6854043018158512	0.7002700650732704
ec1082	0.6082246051094518	0.5760449795845576	0.5436464529503776	0.5883630777190619	0.619687917087862	0.557907739020001	0.6660113963211425	0.5602967597949587	0.5870693649831107	0.5754559420212737	0.6288628597013172	0.6239877077423299	0.6271131487820597	0.6007740194732948	0.6901972731551514	0.586811193806534	0.6485566510628833	0.5622927874469924	0.6782953801481139	0.0	0.7046250572580796	0.632248643645368	0.5819081104820146	0.5809789210913241	0.5998741990035221	0.5489790333278798	0.5718439914253134	0.6136094490259227	0.6266610831366108	0.6130683698228458	0.5967884537181729	0.6010369499493528	0.6386228780843656	0.6107991417230512	0.6044462100034439	0.6330177457217854	0.5758188064020084	0.5909005684703029	0.5962306907355244	0.6061421023421333	0.6695054467749741	0.550355067045257	0.6082324685908561	0.6327079311714956	0.5683208078658163	0.6183290775002582	0.623164961072046	0.5609746530736032	0.6009068879500917	0.6043923749740363	0.6808779687842714	0.5781987328584847	0.5946748372057219	0.597948386332283	0.6879749948342646	0.5340229268843338	0.6027501908553019	0.5869695241338938	0.5795884247730486	0.6082389727387929	0.5489472715532112	0.6019362082747582	0.5913414847361267	0.5981383672322876	0.5688009102306597	0.6054463967912838	0.5899394074661501	0.5894885437658165
