	ec1058	ec1063	ec1065	ec1073	ec1075	ec1078	ec1081	ec1082	ec1083	ec1084	ec1085	ec1086	ec1089	ec1091	ec1092	ec1094	ec1098	ec1100	ec1102	ec1105	ec1108	ec1109	ec1110	ec1113	ec1114	ec1116	ec1118	ec1122	ec1124	ec1129	ec1130	ec1132	ec1133	ec1138	ec1139	ec1140	ec1141	ec1149
ec1085	0.13963570436538766	0.14817159840110636	0.2292386085463444	0.18158881632244822	0.14056091203253201	0.15039999335147827	0.2694328010527051	0.12441838813687657	0.331716366083561	0.17270124473511658	0.0	0.10478195416464603	0.13695439890904232	0.15217824863147136	0.1987946951071573	0.1306963847815921	0.12704080942802337	0.16503529167258876	0.14424119709143293	0.20644247498886095	0.12399835074974855	0.11295442572497379	0.12141007169381551	0.24004340981628278	0.14158852756481302	0.2549368528972401	0.16320243846120022	0.151764946806625	0.25580164909833575	0.2471632310722433	0.13667000866663304	0.17774334013174667	0.10492468157874374	0.14418646609184715	0.15262546548226028	0.288142153092263	0.13362184880374728	0.14265824565497698
ec1086	0.14003077270320388	0.15994632709399936	0.24204698432706107	0.1871017715808008	0.14387210284298804	0.13658462143363526	0.27609354098473854	0.12687751536570105	0.3351250084190675	0.1839460050333342	0.10478195416464603	0.0	0.1298375112233412	0.161112813191564	0.21930056517567134	0.1546492726506888	0.1379553407185394	0.15469642285628496	0.1439753608825516	0.225985854714353	0.12433275383720034	0.1275233160181625	0.11889922277413092	0.23194802855578614	0.14882132111192833	0.2574561021400136	0.1590881534755757	0.171882365087988	0.26141942361466897	0.26635259031143105	0.14357676318083268	0.1846574043940051	0.1184031972332295	0.15608068835083222	0.16776474360152588	0.28782866654226036	0.1417301928701123	0.15620952364701005
ec1089	0.1676629182259307	0.14873819562582555	0.23183067630935855	0.18503100231403358	0.1569271182158694	0.15275557450416155	0.2761681302329752	0.13002156903272788	0.33834027510949877	0.1801556007936633	0.13695439890904232	0.1298375112233412	0.0	0.16835986642502995	0.21413550757995006	0.17958555468747509	0.13709796265392804	0.1696296619114831	0.15859024727411422	0.21112751986690906	0.15004400868145068	0.16732080120975562	0.14033061638708985	0.23682508211044712	0.1611820321959787	0.269332180840025	0.17688880947330934	0.17549135994067655	0.2601924873164946	0.24724562149725227	0.1626723418200955	0.1904055351335215	0.15160929901284684	0.17018975528969071	0.18831551168379704	0.2791607792906647	0.17793230661249448	0.19299156337767503
ec1091	0.17896140130347032	0.1644697473656217	0.2291298187026791	0.1726212931899795	0.13537121702230187	0.19733174745799267	0.26861142164490476	0.16059288735032348	0.3421902050431812	0.17707268693934675	0.15217824863147136	0.161112813191564	0.16835986642502995	0.0	0.20182099215732138	0.16910227980074932	0.16623905517891124	0.19537870430601426	0.1442091647475495	0.19630810405290205	0.1539902608123168	0.17481912894590912	0.1392211338439515	0.23608417384230213	0.17408465026232364	0.2705212784088985	0.1974499807114184	0.18000722798814972	0.2555703796370444	0.21987460249431282	0.15726948326950752	0.1553301140675353	0.15936416671835205	0.11687736880821804	0.1444330315273146	0.2633285104789366	0.17996279721768646	0.20008140048025957
ec1092	0.2028330775259331	0.21096478942298352	0.19929016114109058	0.19269972418449408	0.16124172232994377	0.2148442745845046	0.22540578692876112	0.21895019365113708	0.33165147175081416	0.14332177509277697	0.1987946951071573	0.21930056517567134	0.21413550757995006	0.20182099215732138	0.0	0.19091360578156513	0.20850130970900888	0.1629881357570142	0.23358378032238936	0.19936997172523696	0.18587795522410525	0.2147292792266673	0.2126559681517296	0.19183859220866145	0.17563954239751106	0.19523963480137918	0.242298151857175	0.20870520663923497	0.1938888815160628	0.17779311156892658	0.2104419945746332	0.15704620778650666	0.20484423182942688	0.20558584923308706	0.18007219831218577	0.2761073495747577	0.1900630836415783	0.21108828718781897
ec1094	0.17285813576788014	0.16431536636406746	0.22372821124760198	0.2010653455882748	0.15921234086246785	0.18398238589476573	0.2493467271332581	0.1678895469899779	0.34466845219036263	0.167321350221877	0.1306963847815921	0.1546492726506888	0.17958555468747509	0.16910227980074932	0.19091360578156513	0.0	0.17473043691751228	0.1712294491062542	0.1645032899955969	0.1889048648485118	0.1442466566552325	0.1460411015064367	0.15739011886373433	0.25392174053598365	0.1383348393672912	0.22644839502832323	0.19619049882331016	0.1493906143913343	0.25080059602493715	0.2585790811386014	0.16386948842250945	0.1801800627714248	0.13138527603801156	0.15751361817481827	0.17538012846125609	0.30001431790583166	0.1345797338100028	0.15459495790539424
ec1098	0.16196038747743646	0.13441060275872377	0.2372118775485379	0.18505272594686784	0.15600661878241	0.1712514104718143	0.2781381321641138	0.1305672729145547	0.3424185330232245	0.17335936995703008	0.12704080942802337	0.1379553407185394	0.13709796265392804	0.16623905517891124	0.20850130970900888	0.17473043691751228	0.0	0.16909118529813433	0.1728704071864205	0.22833543820007657	0.1460451177892814	0.1455253395821693	0.14021048864817795	0.25693987527133777	0.13834025390396115	0.26673797439565117	0.1607077277796977	0.15980377205444582	0.2626560594686356	0.26401629680255745	0.1566846900034626	0.18740677192327237	0.14344820914765263	0.15648713618278287	0.17422741289026403	0.30411945451779826	0.17455899860853002	0.16305931365347787
ec1100	0.15964861999674498	0.17182459688047622	0.2129597540380138	0.2054798127155727	0.16805972033997685	0.17388920255337117	0.23455568432801163	0.1743343605520033	0.3258568002405727	0.1351353747408225	0.16503529167258876	0.15469642285628496	0.1696296619114831	0.19537870430601426	0.1629881357570142	0.1712294491062542	0.16909118529813433	0.0	0.19657711050801707	0.2008336872022332	0.14820142127379438	0.18170072016331268	0.17189457656248175	0.19883766771866623	0.1486747857391784	0.20763339678724704	0.18472428057014276	0.1880605932034294	0.21006859202338002	0.23186741111574344	0.1858576196510286	0.16101356511890533	0.15652254159847204	0.19324645420214676	0.19077430204369572	0.27411539015128505	0.17207658384384467	0.18258678208614768
ec1102	0.17545083437038766	0.16402366436129287	0.23753357231834774	0.19333164365306288	0.15201774049744665	0.18057636230975688	0.28624833017782614	0.15699862792470878	0.35098881416221944	0.19870898595388006	0.14424119709143293	0.1439753608825516	0.15859024727411422	0.1442091647475495	0.23358378032238936	0.1645032899955969	0.1728704071864205	0.19657711050801707	0.0	0.2194668600047658	0.1613057134868723	0.17090913475886657	0.12091197512216258	0.2553071487420462	0.1776768769346882	0.27410315817797887	0.15985250155279276	0.18100397120664471	0.27270122246953216	0.2538504031589179	0.1605503189671507	0.18810622521855197	0.1526493430415358	0.12982411059524399	0.18271615449822187	0.2811755759006719	0.18571163663607082	0.19194967599191515
ec1105	0.22835329892328993	0.20623154467699667	0.22433202933783797	0.25595435569581043	0.1914619396194718	0.23685040444816507	0.21158821516810192	0.23175317450175642	0.35295288136295966	0.1947293820401691	0.20644247498886095	0.225985854714353	0.21112751986690906	0.19630810405290205	0.19936997172523696	0.1889048648485118	0.22833543820007657	0.2008336872022332	0.2194668600047658	0.0	0.20714737365992586	0.22263255138792162	0.20550446728527041	0.2864068801873078	0.2026124558488966	0.19948066288320015	0.22924111888185028	0.20300363212692485	0.2610547210878789	0.2489840633791169	0.21511233773155009	0.20348413359769163	0.20739597690578532	0.21941680040289907	0.2167102079052591	0.30280263359821075	0.17325752675549022	0.22108690921337176
