	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1177	0.6141850393823285	0.7821970502027594	0.5828205091679731	0.6537208393098078	0.5771873763759947	0.540420664682195	0.6766280747023384	0.4880600294700658	0.5851465932486754	0.6255507700317741	0.0	0.47965039145014	0.4230532754566378	0.5139053746920139	0.38278593690753066	0.5634188445859193	0.594176567192538	0.5575342961277097	0.531811885771136	0.5768800747992309	0.6334585331857352	0.5421677995195441	0.598158751047511	0.6979500899323293	0.511255376676139	0.6650969014863851	0.5062801517256111	0.5583354545903897	0.46068866286226007	0.48582816550173485	0.544149696015849	0.6785021476876788
ec1178	0.659013265871133	0.8243010575185146	0.6057801976620467	0.6605452052821094	0.6100813006203379	0.6459605633391962	0.6879896449590116	0.5012646711939611	0.565822505733581	0.678546945770918	0.47965039145014	0.0	0.4473669266113	0.6336231758508312	0.4266253071520757	0.4324035414997195	0.5995134492982339	0.4903368089996285	0.4963196030027254	0.6127006961562925	0.6885771133323734	0.5817065790158709	0.6093245167484644	0.6347724891268562	0.5462710507418033	0.5942132100986399	0.5362285759080291	0.45880525614197243	0.5393847023552611	0.4878635865843411	0.6112284380450854	0.6573006727122976
ec1185	0.6208542694386303	0.7877078082856359	0.5360728683331462	0.6515667036494305	0.556408454026918	0.5697669956795454	0.6745792865386347	0.5434948803719584	0.569114863893491	0.6490841464829653	0.4230532754566378	0.4473669266113	0.0	0.42840780548568963	0.47867079253640393	0.5934714368265492	0.5249164282113009	0.4375557057821615	0.5970009346419936	0.5521865093081818	0.6233349529967397	0.4310567776400706	0.5477969172105728	0.7113189446745793	0.48794343596644013	0.6780744698340976	0.45788067975324315	0.6004168327815218	0.4475141509305031	0.4943028358257612	0.5193364945092491	0.6054797751807472
ec1253	0.6677136794927669	0.7407594139960064	0.6644750577177816	0.680240344960628	0.6147635273863569	0.6821148151394427	0.7136414372686618	0.6523559747998984	0.6322635879530549	0.6758480605119038	0.5139053746920139	0.6336231758508312	0.42840780548568963	0.0	0.6066237533599507	0.6929755283240387	0.56317967590717	0.6620018172206324	0.6425076804460635	0.5923988718212323	0.6520053835637087	0.6031010356855534	0.6448874199009936	0.761744468637681	0.6531116466569713	0.7375939563975459	0.6030070430680925	0.6933880527290535	0.5955586574768732	0.6208599798954337	0.6347233189568167	0.6824101028202341
ec1256	0.5637347061091279	0.818383400993381	0.4195339481239431	0.6273293459978496	0.5679050205126741	0.5530312736442026	0.7217336562680874	0.2232923138062415	0.5155572116845921	0.6047276657337822	0.38278593690753066	0.4266253071520757	0.47867079253640393	0.6066237533599507	0.0	0.30649309155422855	0.6292456774604018	0.35663346837842874	0.39676954144275983	0.5403692833073306	0.6319008603380858	0.3743032340912161	0.4187113413440386	0.5864629494167739	0.29778872140313745	0.6099257998561805	0.28695035219886966	0.3414396193483207	0.3072549998603015	0.1967853800670994	0.5704950705710686	0.6200139709640103
ec1261	0.6346959345531171	0.847284783313055	0.42446040675600055	0.6440497106143394	0.5927152175360872	0.6031403974969032	0.7843596054811008	0.19646054344483957	0.5182341101694379	0.6245896953503547	0.5634188445859193	0.4324035414997195	0.5934714368265492	0.6929755283240387	0.30649309155422855	0.0	0.6889437609282537	0.4239008249852233	0.23543333056121618	0.5951850129160587	0.6869901258783039	0.37860650141321417	0.42939039535954193	0.4754544031669513	0.29112443723742143	0.5617611023275261	0.3867674062162357	0.08862295288621266	0.4137538874248156	0.270103822241267	0.5683913072157603	0.6803744033153921
ec1264	0.6879460310175997	0.7929186926537806	0.6737066867811399	0.625792503425416	0.5340531138364593	0.5735579962772328	0.7162852045590326	0.6477637014708758	0.6041140608564282	0.6821053928540762	0.594176567192538	0.5995134492982339	0.5249164282113009	0.56317967590717	0.6292456774604018	0.6889437609282537	0.0	0.5961115345967557	0.6849893433226352	0.5244864873005913	0.6766135237169132	0.614851942710907	0.6964529213578843	0.761235659823293	0.6668401307946247	0.6271589211264387	0.6595425039939254	0.7020356144399527	0.6355208730319567	0.6374094309767098	0.6567040744890852	0.6453282866952597
ec1269	0.5795655606885483	0.8251667076381016	0.36212569822313495	0.5929741970671953	0.5453842182803655	0.5486466607696834	0.7304092973794697	0.36934991860691235	0.5281582941902079	0.5573305479403086	0.5575342961277097	0.4903368089996285	0.4375557057821615	0.6620018172206324	0.35663346837842874	0.4239008249852233	0.5961115345967557	0.0	0.5202429035914301	0.5499600061196804	0.6261706946447027	0.3593805239378748	0.3997782379329703	0.6293144417619467	0.2924023230360565	0.6509532563894279	0.27097569817736844	0.4536569023322205	0.3211239981250985	0.28191597168212196	0.5370242757492585	0.5751316750866314
ec1272	0.6111154044398117	0.8325513494368545	0.4996866065111174	0.6676547569680747	0.5871633396123219	0.6131292028103795	0.7695594227150419	0.3319903267048048	0.5735745345920185	0.6557574487224951	0.531811885771136	0.4963196030027254	0.5970009346419936	0.6425076804460635	0.39676954144275983	0.23543333056121618	0.6849893433226352	0.5202429035914301	0.0	0.5935663843507069	0.6627512264839001	0.42065496103719296	0.49605029838096615	0.5474054667122809	0.40053261481002933	0.6225179886278308	0.3796271804559878	0.26563243055130226	0.3942583076181634	0.415531238762458	0.6235990591374622	0.6798861036822744
ec1280	0.6444321312261609	0.7859041621249839	0.5709035532296112	0.38631567149256263	0.152134592447604	0.5510572749554187	0.7228521487397417	0.5259165632880505	0.3584876736564307	0.41336308916175313	0.5768800747992309	0.6127006961562925	0.5521865093081818	0.5923988718212323	0.5403692833073306	0.5951850129160587	0.5244864873005913	0.5499600061196804	0.5935663843507069	0.0	0.41885448293223415	0.509270314683328	0.5314707954406793	0.6847168031538513	0.5407706328948503	0.6718902410612285	0.5909190596868829	0.585741376936891	0.5741180407307641	0.5614546240342999	0.6161887697768923	0.6266319041755732
ec1285	0.4689612184916015	0.8004358504853577	0.6152117251587776	0.5531197537367434	0.44827700705727097	0.5994118159223198	0.7926414741721826	0.6361314248917149	0.5285432483585655	0.5259906740153066	0.6334585331857352	0.6885771133323734	0.6233349529967397	0.6520053835637087	0.6319008603380858	0.6869901258783039	0.6766135237169132	0.6261706946447027	0.6627512264839001	0.41885448293223415	0.0	0.605634478161245	0.5844665416557249	0.49715793991172913	0.5971774039597428	0.4836633938969266	0.6351967951538828	0.6834584149456264	0.5848627478079321	0.6490353795905818	0.38515879674868897	0.5665826899027648
