#SampleID	plate	position	date	pile	sex	species	original_sort_order	start_date	time	fruit	lineartime	wolb	wolbachia
jr1107	5	C7	10/3/22	p3	m	m	51	9/22/22	11	p	37	0.048	N
jr1108	5	D7	10/3/22	p3	f	NA	52	9/22/22	11	p	37	0.004	N
jr1109	5	E7	10/3/22	p3	f	NA	53	9/22/22	11	p	37	0.84	Y
jr1110	5	F7	10/3/22	p3	f	NA	54	9/22/22	11	p	37	0.43	Y
jr1111	5	G7	10/3/22	p3	f	NA	55	9/22/22	11	p	37	0.014	N
jr1112	5	H7	10/3/22	p3	f	NA	56	9/22/22	11	p	37	0.17	N
jr1113	5	A8	10/6/22	a1	f	NA	57	8/27/22	40	a	40	0	N
jr1114	5	B8	10/6/22	a1	f	NA	58	8/27/22	40	a	40	0.114	N
jr1115	5	C8	10/6/22	a1	f	NA	59	8/27/22	40	a	40	0	N
jr1116	5	D8	10/6/22	a1	m	m	60	8/27/22	40	a	40	0.622	Y
jr1117	5	E8	10/6/22	a1	m	m	61	8/27/22	40	a	40	0.454	Y
jr1118	5	F8	10/6/22	a2	f	NA	62	9/10/22	26	a	40	0.862	Y
jr1119	5	G8	10/6/22	a2	f	NA	63	9/10/22	26	a	40	0.414	Y
jr1120	5	H8	10/6/22	a2	m	m	64	9/10/22	26	a	40	#N/A	#N/A
jr1121	5	A9	10/6/22	a2	m	m	65	9/10/22	26	a	40	0.28	Y
jr1122	5	B9	10/6/22	a2	m	m	66	9/10/22	26	a	40	0.696	Y
jr1123	5	C9	10/6/22	a2	m	m	67	9/10/22	26	a	40	0.264	Y
jr1124	5	D9	10/6/22	a2	m	m	68	9/10/22	26	a	40	0.006	N
jr1125	5	E9	10/6/22	a3	f	NA	69	9/22/22	14	a	40	0.86	Y
jr1126	5	F9	10/6/22	a3	f	NA	70	9/22/22	14	a	40	0.042	N
jr1127	5	G9	10/6/22	a3	f	NA	71	9/22/22	14	a	40	0.05	N
jr1128	5	H9	10/6/22	a3	m	m	72	9/22/22	14	a	40	0.872	Y
