code	Treatment	Bacteria	Replicate	Sex	numflies	dilution_AAB	count_AAB	dilution_LAB	count_LAB	axenic?	...8	exp	codename	cfuA	cfuL	perc	total	filtercol
TW-G-2-M	TW	G	2	M	5	1	81	0	25	NA	NA	C	TW-G-2-M-C	8100	312.5	0.037147102526003	8412.5	Y
TW-G-2-F	TW	G	2	F	5	2	22	1	17	NA	NA	C	TW-G-2-F-C	17600	1700	0.0880829015544041	19300	Y
TW-G-3-M	TW	G	3	M	5	1	29	1	10	NA	NA	C	TW-G-3-M-C	2900	1000	0.256410256410256	3900	Y
TW-G-3-F	TW	G	3	F	5	2	20	1	7	NA	NA	C	TW-G-3-F-C	16000	700	0.0419161676646707	16700	Y
TW-G-4-M	TW	G	4	M	5	1	32	1	2	NA	NA	C	TW-G-4-M-C	3200	200	0.0588235294117647	3400	Y
TW-G-4-F	TW	G	4	F	5	1	28	1	3	NA	NA	C	TW-G-4-F-C	2800	300	0.0967741935483871	3100	Y
TI-G-2-M	TI	G	2	M	5	0	35	0	0	NA	NA	C	TI-G-2-M-C	437.5	0	0	437.5	Y
TI-G-3-M	TI	G	3	M	5	0	45	0	0	1	NA	C	TI-G-3-M-C	562.5	0	0	562.5	Y
TI-G-3-F	TI	G	3	F	5	1	44	0	1	0	NA	C	TI-G-3-F-C	4400	12.5	0.0028328611898017	4412.5	Y
TI-G-4-M	TI	G	4	M	5	1	25	0	3	5	NA	C	TI-G-4-M-C	2500	37.5	0.0147783251231527	2537.5	Y
TI-G-4-F	TI	G	4	F	5	1	17	0	2	15	NA	C	TI-G-4-F-C	1700	25	0.0144927536231884	1725	Y
