"","cluster","pval","rho","sum","fdr"
"35","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae",NA,NA,25,NA
"36","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae",NA,NA,138,NA
"37","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae",NA,NA,6,NA
"38","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__[Tissierellaceae]",NA,NA,18,NA
"39","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Christensenellaceae",NA,NA,13,NA
"40","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Clostridiaceae",NA,NA,3,NA
"41","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Ruminococcaceae",NA,NA,36,NA
"42","k__Bacteria_ p__Firmicutes_ c__Clostridia_ o__Clostridiales_ f__Veillonellaceae",NA,NA,3,NA
"43","k__Bacteria_ p__GN02_ c__3BR-5F_ o___ f__",NA,NA,2,NA
"44","k__Bacteria_ p__Planctomycetes_ c__BD7-11_ o___ f__",NA,NA,1,NA
"45","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae_ o__Phycisphaerales_ f__",NA,NA,1,NA
"46","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae_ o__Phycisphaerales_ f__Phycisphaeraceae",NA,NA,1,NA
"47","k__Bacteria_ p__Planctomycetes_ c__Phycisphaerae_ o__WD2101_ f__",NA,NA,1,NA
"48","k__Bacteria_ p__Planctomycetes_ c__Planctomycetia_ o__Pirellulales_ f__Pirellulaceae",NA,NA,23,NA
"49","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__BD7-3_ f__",NA,NA,1,NA
"50","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Kiloniellales_ f__Kiloniellaceae",NA,NA,3,NA
"51","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_",NA,NA,2,NA
"52","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Beijerinckiaceae",NA,NA,2,NA
"53","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Bradyrhizobiaceae",NA,NA,4,NA
"54","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Brucellaceae",NA,NA,1,NA
"55","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhizobiales_ f__Phyllobacteriaceae",NA,NA,1,NA
"56","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodobacterales_ f__Hyphomonadaceae",NA,NA,1,NA
"57","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodobacterales_ f__Rhodobacteraceae",NA,NA,21,NA
"58","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae",NA,NA,1975,NA
"59","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Rhodospirillaceae",NA,NA,17,NA
"60","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Sphingomonadales_ f__Sphingomonadaceae",NA,NA,12,NA
"61","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_",NA,NA,11,NA
"62","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Alcaligenaceae",NA,NA,4,NA
"63","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Comamonadaceae",NA,NA,47,NA
"64","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Burkholderiales_ f__Oxalobacteraceae",NA,NA,12,NA
"65","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Methylophilales_ f__Methylophilaceae",NA,NA,2,NA
"66","k__Bacteria_ p__Proteobacteria_ c__Betaproteobacteria_ o__Neisseriales_ f__Neisseriaceae",NA,NA,7,NA
"67","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria_ o__Bdellovibrionales_ f__Bdellovibrionaceae",NA,NA,2,NA
"68","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria_ o__Desulfobacterales_ f__Desulfobulbaceae",NA,NA,5,NA
"69","k__Bacteria_ p__Proteobacteria_ c__Deltaproteobacteria_ o__Myxococcales_ f__",NA,NA,1,NA
"70","k__Bacteria_ p__Proteobacteria_ c__Epsilonproteobacteria_ o__Campylobacterales_ f__Campylobacteraceae",NA,NA,1,NA
"71","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o___ f__",NA,NA,2,NA
"72","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__[Marinicellales]_ f__[Marinicellaceae]",NA,NA,2,NA
"73","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Aeromonadales_ f__Aeromonadaceae",NA,NA,1,NA
