# Constructed from biom file
#OTU ID	ec1314	ec1322	ec1346	ec1354	ec1361	ec1369	ec1378	ec1386	ec1393	ec1396	ec1401	ec1404	ec1409	ec1411	ec1417	ec1419	ec1425	ec1433	ec1438	eti110	eti114	eti122	eti123	eti124	eti126	eti135
efc3bcc201d152571a9e612fadc43637	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d752351fe06081312bb785e73b2ce7d	1.0	28.0	70.0	2.0	15.0	3.0	14.0	6.0	55.0	11.0	190.0	18.0	9.0	3.0	5.0	0.0	5.0	4.0	1.0	1.0	1.0	2.0	0.0	5.0	4.0	11.0
8fb97d19ee49665cbb3b11c2daf23bb0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bac751f36ebc01e654fe9c642adbf8ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
36391e947c3f128143bd176e3c6ff195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95ef329e98526b8857640400e51e536a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8aa69f02826f9fddad8119450f3307c2	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
e18c15f05e7db00485ae0906171d9e8f	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
3ec6553c578b1d179251d1df6d6e04ac	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20c529baaf210252e84df64cf00c1fed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
468502bebf1e8c6dbdd869bddaa69325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
