	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1361	ec1362	ec1368	ec1377	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti114	eti121	eti125
ec1346	0.11821702381639904	0.12796843210235137	0.36148866761972714	0.14311443785565348	0.2815314817647281	0.2590989862430682	0.32361607509594614	0.09711065498338804	0.33083500619614736	0.20706321004601796	0.0	0.0668710083364739	0.22435156368019038	0.09813190287047789	0.07092055113336675	0.19886879422996906	0.140234279864898	0.10899896951997806	0.08735020876761487	0.1152401191200525	0.11578997501305115	0.07202737075661841	0.10814879410611176	0.08939158898098135	0.10609214614980902	0.1004307592871533	0.08732579925111628	0.11094699315994111	0.10472421169510006	0.11104371111265035	0.1166816408695486	0.2630028299352779	0.3295123468152481	0.23845007539644153	0.09145298166430393	0.1168985827478077	0.333019248362992	0.11814937835382655
ec1349	0.11830064980406496	0.0947805845364145	0.38158478850138966	0.1290754435313762	0.3056163152094453	0.23610978320029757	0.3015573816342793	0.07825845849165519	0.369682934289042	0.21491303726908134	0.0668710083364739	0.0	0.2069651882214431	0.08183305910807183	0.0608290195933116	0.19361466360472	0.15158528776209806	0.09742112972303618	0.07287326071056072	0.10074768332800446	0.08847508903466039	0.0899427210539809	0.09698534536337494	0.05353592109186474	0.08626740310160129	0.08425598719386362	0.061286576432528786	0.09763173686493715	0.08910248861881556	0.0883488212722005	0.09399238523908171	0.279152031430571	0.3329557949684103	0.24535506640340238	0.06071549648391422	0.10184481582391566	0.32264652702439545	0.10598295359982342
ec1356	0.19349668646966647	0.2078296752024797	0.3593220273881652	0.21651239530187608	0.3269436438530373	0.17929949096296166	0.27293497543627593	0.22022799348223	0.381328291819484	0.21828871226830257	0.22435156368019038	0.2069651882214431	0.0	0.230030787315671	0.22038120536857692	0.2419603467908144	0.2495517944427475	0.24845003346614342	0.23616969302538796	0.23829619776511324	0.22678689539837255	0.24042463919123525	0.2431090151807243	0.187340504928915	0.22660452730998096	0.23042089442159375	0.23671814976313332	0.24403490913453157	0.23766859502798243	0.2325084823575997	0.23716954317164302	0.29588504265238297	0.3347564772477599	0.2792298153301698	0.2208075171945238	0.24435505991000928	0.19752530136322452	0.24329286874086953
ec1361	0.17349064648777368	0.06559663627434914	0.42711751359280314	0.1638527212747769	0.3595429464927751	0.2869895328537161	0.3459885064668776	0.02733610844499916	0.40598630657573576	0.2463949355083364	0.09813190287047789	0.08183305910807183	0.230030787315671	0.0	0.08577217023288804	0.25682296237216007	0.20533702428132566	0.026045487705017807	0.02181003255394154	0.02804221585731912	0.04461245821036448	0.12425852344452792	0.020786687402454315	0.07499570043093014	0.03202414249910492	0.03748906586447121	0.054642466029468886	0.023847052925572973	0.018849180924756865	0.020453754279978413	0.028463503657592905	0.3179408313013141	0.36700641261492717	0.2924166436788216	0.061342193009299203	0.029017915813738127	0.34096837773389715	0.03293065307593321
ec1362	0.1275850794861548	0.07998688924947311	0.36833773504034983	0.13025314969530336	0.29820037703181984	0.24674401482125785	0.31427533076830055	0.08681597656173398	0.33874462872044553	0.20871698631679686	0.07092055113336675	0.0608290195933116	0.22038120536857692	0.08577217023288804	0.0	0.18804019763363627	0.1354587063217199	0.0973286301705629	0.07379284993189424	0.10321315888201876	0.06354845022860403	0.06590705001831901	0.09878991915720678	0.06367214479792184	0.09202151282391674	0.09217260707632755	0.08163333966117729	0.10048290620700973	0.0939985668295211	0.07988290464550475	0.08843603507400427	0.2556914778979346	0.3282711156164125	0.25078063420679997	0.052645703322689766	0.10488578451221911	0.3365539899079928	0.10772477010745486
ec1368	0.1467321615586277	0.23189092900932382	0.38165542412010534	0.15866897500547048	0.22606031630347184	0.23437312025797763	0.18347976373162245	0.25008084700003264	0.3729861200837133	0.2559612548947378	0.19886879422996906	0.19361466360472	0.2419603467908144	0.25682296237216007	0.18804019763363627	0.0	0.14509528471670097	0.27017634642291816	0.24557094792739026	0.2744553035212054	0.23264321756396655	0.1972071249680793	0.2693435357882775	0.20700377760527738	0.2594150044468052	0.2615126500688547	0.22006137285512292	0.2708720523751959	0.26246464814588205	0.2500815679098249	0.2523089225896486	0.30312432175301857	0.3678939018084465	0.2477200126668936	0.21948807410899968	0.27327444322247146	0.3637961976423536	0.2772696285294597
ec1377	0.1194403891868521	0.1974325357987249	0.3797531944214246	0.11705675330620607	0.24290201966388744	0.23257742674115106	0.26815835683807776	0.20602213615364318	0.3338236312373977	0.2352065424617737	0.140234279864898	0.15158528776209806	0.2495517944427475	0.20533702428132566	0.1354587063217199	0.14509528471670097	0.0	0.21842322763663627	0.1945851413689924	0.2237680168428514	0.17256420997505342	0.1244551307594207	0.21224241680611955	0.17662040631602316	0.21242086859723824	0.2114839941807653	0.16207887922818923	0.21971297428986103	0.2103696641266041	0.19782071645750526	0.1996051440791759	0.27019218637444953	0.3454475989106654	0.24736510056253908	0.1653788439319125	0.2219741283939836	0.3625716925513205	0.2264298987549429
ec1378	0.18903730311466518	0.08400446478181589	0.43761677946180916	0.1830304260846501	0.37190860465334546	0.30127111677971463	0.36285765410487036	0.042948101498419954	0.41427430875844495	0.2567095964752757	0.10899896951997806	0.09742112972303618	0.24845003346614342	0.026045487705017807	0.0973286301705629	0.27017634642291816	0.21842322763663627	0.0	0.029776318626410017	0.035048689577465056	0.06204819594013798	0.13722573269626823	0.013208785244306945	0.09069984427197414	0.03630540282042562	0.04152235086183376	0.06550885905902686	0.016939462938098324	0.021711560001039305	0.031116339136421683	0.043027280409007974	0.328385380758545	0.3769667801104303	0.29739409488276725	0.07279519981613203	0.027648486346017243	0.3510217136261457	0.02949239816725872
ec1380	0.1630610078658234	0.06872537304706122	0.41484500335445945	0.1654314070413758	0.34663261559879815	0.27986463863877753	0.34608269766999705	0.032835648772722326	0.39011930926999705	0.23713542608948837	0.08735020876761487	0.07287326071056072	0.23616969302538796	0.02181003255394154	0.07379284993189424	0.24557094792739026	0.1945851413689924	0.029776318626410017	0.0	0.040568876607695745	0.0454277317857317	0.11231768454669494	0.03086781844393039	0.07145924787726902	0.031946715973297825	0.0416488391450731	0.04915873657292101	0.03417635012255009	0.026336297069582806	0.030889844269792615	0.04192446678947662	0.3046923801072816	0.358182736986254	0.27770546611856506	0.049134262736266504	0.03925472978052312	0.34369746662699396	0.0423609085699095
ec1390	0.19246170277630206	0.07569769781195326	0.44269185103600295	0.17998003043022515	0.37740977377296514	0.3050184131948812	0.3627952034520454	0.04020150353492016	0.42311988188615596	0.2573602872418693	0.1152401191200525	0.10074768332800446	0.23829619776511324	0.02804221585731912	0.10321315888201876	0.2744553035212054	0.2237680168428514	0.035048689577465056	0.040568876607695745	0.0	0.06167274029687199	0.14160235609336108	0.02994602059114005	0.09064987932688656	0.034316795998353605	0.04957078272719629	0.07382611856829335	0.021629363182589335	0.029476396911968208	0.032730946496220915	0.036139987612315586	0.33597451586372157	0.37942783435362193	0.30806860606481445	0.07964230783774753	0.01846543903086284	0.34427991012949666	0.012363208042477591
