	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti112	eti122	eti124	eti126
ec1357	0.5524001604052494	0.5076717337136909	0.6491530028329785	0.4367702162985771	0.18835230008391254	0.30699748111510977	0.3867964522395276	0.45622784503568414	0.6271842210135685	0.5419080680925077	0.0	0.08294313573415685	0.29687385826380236	0.19199868250291588	0.33038014076982847	0.36312082177783345	0.23514690211831787	0.42273144144683306	0.2870160909812283	0.0827936919520807	0.7240938165555367	0.1243454353777284	0.408302718264292	0.32726891700655913	0.06976815967151447	0.526999141858651	0.3946754175816829	0.3632394568927809	0.11074441310381168	0.3813431218683224	0.18761822783875468	0.1475337179260255	0.22900416810473737	0.260127218050448	0.16078049590421614
ec1364	0.5389601191864285	0.4894125491994823	0.6422568618344084	0.41277794010136154	0.13832056766246792	0.28251612773752016	0.3641847772808298	0.43135207601639536	0.6148689116822992	0.5259725564647768	0.08294313573415685	0.0	0.2612596451273787	0.15480967101837256	0.29918546756871733	0.3260741147809486	0.1939048101410881	0.39511887351233704	0.2845412446091124	0.024058282487595433	0.7168823487046987	0.08815178536556588	0.3850614908322905	0.3031985307859996	0.017589236520187613	0.5132571357696516	0.3661565850663991	0.3286908322737514	0.05970152022095088	0.36226231260190817	0.13392976972946122	0.13218841545027252	0.2569137937661926	0.22783208077489733	0.15528787057660348
ec1367	0.537310946176853	0.44687785882236236	0.6031089800750381	0.4493568625315138	0.3249990674136306	0.26050268050330216	0.4254670172696706	0.3889743558324014	0.6057510316534551	0.5793008613946311	0.29687385826380236	0.2612596451273787	0.0	0.27056590203639813	0.31838865498894536	0.3425681486424036	0.26946215950722363	0.5077730105135658	0.36068589412447766	0.26745337995982177	0.7203754348294539	0.3014079401277556	0.45774717794523506	0.43042042714251044	0.2582961992471469	0.5429905103086246	0.3999475225887709	0.4494285240091005	0.28594044157717774	0.41345767204421	0.25721916699139863	0.32780425209920444	0.30955424644561436	0.31534790982122507	0.3487410763520978
ec1369	0.5309561612838379	0.45162621005650927	0.6044779590373421	0.38938085811469036	0.2213278672972622	0.272403127713121	0.30364963359581476	0.40114272881437696	0.5739652877775956	0.5242050815926454	0.19199868250291588	0.15480967101837256	0.27056590203639813	0.0	0.2144222141432405	0.38741994813111624	0.2165025309205404	0.45577702104145756	0.29930724902770317	0.16016338530159166	0.6997484335426428	0.12983408245951297	0.38453651046957493	0.29723114719456895	0.15475734174294464	0.5061037373605917	0.3696276736634707	0.39343721221427647	0.16608483424123324	0.4096831812411983	0.2378568659459671	0.24534101013673745	0.32439131480204353	0.23993533572539233	0.19525358112105456
ec1372	0.5480247045453738	0.4581305960229215	0.6179538050456391	0.45616801300877124	0.3401455008694349	0.29337902337143124	0.41763832633859	0.4134048453753242	0.5704148821993779	0.572264303539966	0.33038014076982847	0.29918546756871733	0.31838865498894536	0.2144222141432405	0.0	0.41562577297929904	0.27261775098296664	0.5329829730853127	0.14136341196907248	0.3132924656215302	0.7214163135294168	0.28069285878022127	0.42919473590322127	0.4004185248054275	0.30480277378973397	0.5202306222380215	0.39830575814598185	0.47047889392599046	0.3179783333647856	0.42470752263765366	0.27257428058471406	0.3657946215463466	0.36211933820245723	0.30775548365616756	0.32883718679532176
ec1382	0.37989914674449743	0.33233858782727455	0.48626207220994144	0.5136257869098728	0.32938165734553493	0.33784195260630323	0.4962021730845152	0.2677151274228938	0.5356508238234907	0.40430300696949906	0.36312082177783345	0.3260741147809486	0.3425681486424036	0.38741994813111624	0.41562577297929904	0.0	0.3042510357875623	0.5392953143061213	0.4022736267816376	0.3382952456804648	0.6744203046384577	0.34668063827717616	0.49284016412136333	0.19040462914024692	0.33007647112546035	0.37472404617972216	0.4164223255277332	0.440970399221757	0.3439324745927035	0.2839053690070452	0.31035640371059153	0.38484302274216775	0.29777640313230574	0.37262059462444724	0.39484670449086334
ec1384	0.448554702459975	0.41033045180549893	0.6066842505179485	0.476932243482657	0.26039084960738307	0.19605549264002536	0.41747272610272634	0.39694410794613577	0.6007403266617682	0.5400482082768633	0.23514690211831787	0.1939048101410881	0.26946215950722363	0.2165025309205404	0.27261775098296664	0.3042510357875623	0.0	0.4755781029048297	0.25899785132938563	0.1938740672200611	0.7305701978172893	0.16932043591365897	0.3697798510386257	0.33362020080867	0.20218044296839144	0.46257598399817995	0.2793089136988929	0.4161158480883727	0.20499105665500547	0.3785863603643542	0.17300242632076596	0.2807667667061524	0.2224321731269368	0.2109365885544701	0.22872348727403607
ec1386	0.6151521006623218	0.6307173594796083	0.5855976454600078	0.3219458338214343	0.44608746981624636	0.5099962474450049	0.48859526877093007	0.6006296140103543	0.5676702192048521	0.4408870636141297	0.42273144144683306	0.39511887351233704	0.5077730105135658	0.45577702104145756	0.5329829730853127	0.5392953143061213	0.4755781029048297	0.0	0.5224903645874519	0.393782904922759	0.614138176798168	0.4160041751255791	0.3534252198301961	0.5110244843798051	0.3886077878304526	0.5662882799572995	0.4869000662909107	0.4571929793325419	0.379248207637629	0.5037822739464737	0.4262702519669555	0.45147990700584556	0.5147142877225492	0.48988848190984713	0.45700766304055424
ec1388	0.5385471796594592	0.5114661098386428	0.6578918013765788	0.5139498940407927	0.34313135148084256	0.35130023158722856	0.4768351568981108	0.4773550131975793	0.6065533374122865	0.56257442554485	0.2870160909812283	0.2845412446091124	0.36068589412447766	0.29930724902770317	0.14136341196907248	0.4022736267816376	0.25899785132938563	0.5224903645874519	0.0	0.29431699210509105	0.7448117155847798	0.25631070537048933	0.42795186126814605	0.39496813106339435	0.28346908401520315	0.5128355303556468	0.3955914803459616	0.4578671342437697	0.3044774152374517	0.41469073810195467	0.2579761691054036	0.32000040635807064	0.3195089052997949	0.3014329915881081	0.2654514289885946
ec1398	0.5322455529888508	0.4862432900010669	0.640434566937211	0.41135971474001104	0.13843267431222642	0.28355945997068077	0.357125023596405	0.4377162142626652	0.6227498333128814	0.5307415695629464	0.0827936919520807	0.024058282487595433	0.26745337995982177	0.16016338530159166	0.3132924656215302	0.3382952456804648	0.1938740672200611	0.393782904922759	0.29431699210509105	0.0	0.7169799408593235	0.09212208195854821	0.38926961851169717	0.30588329381548035	0.02294892887348214	0.5171542996051298	0.37741921728062094	0.3379568064231691	0.052785764356774116	0.35497882704086775	0.12543452364533292	0.13869914679090356	0.264799681532263	0.23317791483647146	0.16324353775513178
ec1401	0.7132130145432531	0.6679033333649668	0.6095829363159077	0.618882619167411	0.7051616232069225	0.7172085763911831	0.6886345738267603	0.6723064986159613	0.6318307993447669	0.5343457805088362	0.7240938165555367	0.7168823487046987	0.7203754348294539	0.6997484335426428	0.7214163135294168	0.6744203046384577	0.7305701978172893	0.614138176798168	0.7448117155847798	0.7169799408593235	0.0	0.7200010314240403	0.622327053882487	0.6624070624460935	0.7160499715182154	0.6499147271593473	0.7232063392538596	0.6958326617077216	0.7150954484418779	0.6551027841319441	0.7219940448047603	0.7061494129265372	0.725768648164422	0.7356330487564297	0.7319923064612345
ec1403	0.49977844799228294	0.4928036450061459	0.6425831500917069	0.4317241179825585	0.1902034558028347	0.2950335189374849	0.3686030481025468	0.4474207803065038	0.6067162402628588	0.5074461234296557	0.1243454353777284	0.08815178536556588	0.3014079401277556	0.12983408245951297	0.28069285878022127	0.34668063827717616	0.16932043591365897	0.4160041751255791	0.25631070537048933	0.09212208195854821	0.7200010314240403	0.0	0.36514514357711925	0.26705952621724016	0.08265158017533207	0.49297992870540663	0.34238155435511874	0.3593234377748662	0.09658921628268827	0.38446282434746065	0.1811504611719942	0.1854683358365752	0.2922686407163495	0.20422949524087294	0.1272125234311892
ec1404	0.6052976528619947	0.5735198524143512	0.5469312256294612	0.3678633861467899	0.4219304766118706	0.458783544177455	0.4664533967626486	0.542890882970386	0.5239177975362993	0.4414456728971111	0.408302718264292	0.3850614908322905	0.45774717794523506	0.38453651046957493	0.42919473590322127	0.49284016412136333	0.3697798510386257	0.3534252198301961	0.42795186126814605	0.38926961851169717	0.622327053882487	0.36514514357711925	0.0	0.4627970869578892	0.3861327748721452	0.503740187589315	0.40636484043537896	0.46214424373235896	0.3936313321037439	0.5059714508867073	0.39763627306552685	0.41823834396613113	0.44969406630414	0.38035152918269266	0.4024529727074178
ec1412	0.4235867824971504	0.4225398465411752	0.5461937992415902	0.5181877172914255	0.2916552709573024	0.4216096351317776	0.4695555762221333	0.3777946101153069	0.5359956535015706	0.36383003464244573	0.32726891700655913	0.3031985307859996	0.43042042714251044	0.29723114719456895	0.4004185248054275	0.19040462914024692	0.33362020080867	0.5110244843798051	0.39496813106339435	0.30588329381548035	0.6624070624460935	0.26705952621724016	0.4627970869578892	0.0	0.29893396051852045	0.3379164204649565	0.43484262684507236	0.4088835460791969	0.27624833677109595	0.3123135584158887	0.3356884941200526	0.3670578853448513	0.37493527110111313	0.3537423891917836	0.3208884968891951
ec1416	0.5344849520527633	0.48752866851002824	0.6402814846787578	0.40742367738722457	0.13813247880399473	0.2762860205808593	0.35781866986292266	0.427661447878616	0.6206250449096037	0.5263978790246848	0.06976815967151447	0.017589236520187613	0.2582961992471469	0.15475734174294464	0.30480277378973397	0.33007647112546035	0.20218044296839144	0.3886077878304526	0.28346908401520315	0.02294892887348214	0.7160499715182154	0.08265158017533207	0.3861327748721452	0.29893396051852045	0.0	0.5105367823139668	0.3715668573437705	0.32638756014113707	0.048264698422021246	0.35596162161334016	0.13369220628734296	0.12732203101982734	0.26294629450838297	0.22626107803187337	0.15292961603692895
ec1417	0.48321197003931876	0.4321392137164866	0.49996595831314	0.5662558989924276	0.4927880325228602	0.4873873905000481	0.5414478695741033	0.45949506607728324	0.5351482150938011	0.33792149866587673	0.526999141858651	0.5132571357696516	0.5429905103086246	0.5061037373605917	0.5202306222380215	0.37472404617972216	0.46257598399817995	0.5662882799572995	0.5128355303556468	0.5171542996051298	0.6499147271593473	0.49297992870540663	0.503740187589315	0.3379164204649565	0.5105367823139668	0.0	0.4668520311936413	0.5071011367156756	0.4992157978529072	0.35096619869538537	0.49172367966988745	0.549985992759145	0.48163138352154355	0.4708657056311717	0.5231766015637376
