	ec1306	ec1322	ec1341	ec1350	ec1353	ec1354	ec1357	ec1367	ec1369	ec1382	ec1384	ec1386	ec1398	ec1401	ec1403	ec1404	ec1412	ec1417	ec1419	ec1430	ec1433	ec1441	ec1449	ec1450	ec1460	ec1468	ec1490	ec1492	ec1497	ec1498	ec1500	ec1505	ec1508	ec1514	ec1524	ec1526	ec1530	eti122	eti124	eti126	eti149	eti153	eti154	eti156	eti161	eti165	eti166	eti167
ec1384	0.5191152125778554	0.3387826678238983	0.4516484890052185	0.2785362379960905	0.5610595539519252	0.5989087046371301	0.1885904339502312	0.2845287838312887	0.181743481443623	0.3351753014760778	0	0.4497801198773005	0.3830764198765085	0.6612862195088226	0.1983970639671257	0.360998781020118	0.3567344750083154	0.5966758304062083	0.2241796317612095	0.2347218167018956	0.5298067856754105	0.8657122217732761	0.8254938380085233	0.5353265194881921	0.720719095203022	0.1665503591671793	0.4049066458458325	0.1918251313064626	0.544413037734378	0.7110177602741384	0.214827070892916	0.1913012131162908	0.5550684110887167	0.2803059061541169	0.2805681837859965	0.4680910907224974	0.7407524105190249	0.2937813467739041	0.2501073252983256	0.2743452417892908	0.6946993729479313	0.4323103523908198	0.3538624235240887	0.6929636002617836	0.3414624485185634	0.5269906553194955	0.6124183874944984	0.4451710504036646
ec1386	0.3106686285552648	0.4632268921042951	0.4699435014266209	0.5412258536573898	0.4901346301013166	0.5133118275680486	0.3956013129388428	0.4778868630998788	0.4013164335844031	0.5115294942275026	0.4497801198773005	0	0.125012596814775	0.5265108722784908	0.4102337874918163	0.2862536144580649	0.5109988578411468	0.6500719231568196	0.4307178900939606	0.3838263822353893	0.3879823704749161	0.8084098868752635	0.8223642555486801	0.3499595803288537	0.700433644361747	0.4292379929060756	0.5030777343439017	0.4442976387279086	0.398285004958941	0.6583251952029862	0.4555288208693067	0.4037841713772276	0.5998183213718542	0.4305029368601014	0.4047739634728003	0.3509572998468318	0.7320282828955761	0.5265739161157168	0.4309372154931063	0.453017912983456	0.6316333746807642	0.5947614733687197	0.50448473134467	0.6950238088786953	0.5236660794635645	0.5904558575764624	0.4960555518721704	0.2674028242674997
ec1398	0.2730473195195123	0.3968646419706456	0.4208822213466347	0.5046672350949257	0.4543592600909236	0.4919064236118186	0.3201924431239254	0.4348394212674089	0.3235817774899757	0.4931587814335748	0.3830764198765085	0.125012596814775	0	0.5019779453473283	0.3346751717264598	0.2094677470226216	0.4572667809216405	0.6286287851782062	0.3589031640658802	0.3036358927866253	0.395708799412674	0.8206865101577367	0.8215814707358561	0.2948796669376047	0.6943328955609503	0.3566717916516587	0.4535345060742257	0.3702810281430891	0.3568862133693986	0.6574536714255136	0.3911837699023856	0.3328220653392988	0.584580773577956	0.3582384172206218	0.3374054772049392	0.288344190877573	0.7363551450425636	0.4692824353087461	0.3756774959281599	0.3869214186704278	0.6298390870914277	0.5696544318307822	0.4471149587491852	0.6920853106497658	0.4936543201514724	0.5572231400638689	0.4580621949616626	0.1983007666348186
ec1401	0.5019580086284835	0.6104630706247681	0.6118127666750476	0.6706287417028149	0.4986454919516496	0.4382760864630905	0.6451027919750327	0.6515636018278	0.6427484781388325	0.5968663560565834	0.6612862195088226	0.5265108722784908	0.5019779453473283	0	0.6408345946880939	0.4910199214000792	0.5682231466094582	0.4753020842700386	0.6471914230426724	0.6357622342966417	0.4543148890764231	0.737144972507017	0.7600147055933256	0.6022166373576446	0.6175267155220324	0.6596305871129097	0.6544590802768548	0.6455006086403322	0.552533395995133	0.5850960784147609	0.6595147835001505	0.6382826153529217	0.5503673804159455	0.659320799714964	0.6527865095208559	0.5310024033488635	0.6562141317441165	0.6435412569151984	0.6639069756913597	0.666173830848787	0.5231684476790115	0.6606041616321908	0.6079580667747426	0.6280288259054534	0.666024888353728	0.7079580944212611	0.5058403023583807	0.5490042698383767
ec1403	0.4887216973017341	0.2687103188066874	0.4034552325735591	0.3665690715627516	0.5878656957418501	0.6288646611529898	0.1538268913478322	0.335961784483185	0.03126062498628236	0.403171234282811	0.1983970639671257	0.4102337874918163	0.3346751717264598	0.6408345946880939	0	0.3490258220426679	0.2516525428008271	0.6224860747810407	0.0732736972186297	0.06773433415375585	0.5517984634333656	0.8621354759884328	0.8198828563301153	0.5499781198641818	0.7288154171634798	0.2212801626329733	0.3623499142982154	0.245061282765136	0.4968541897804283	0.711542950327039	0.2699777529096213	0.04786083096215929	0.5305996477837496	0.2259215519969288	0.1888331921222197	0.4032440361638216	0.7512924124152246	0.3885637590791748	0.2469497360229966	0.200293950744791	0.6976726994653644	0.5133773811623555	0.2857648918427228	0.6907877404759651	0.3148263880382152	0.4998816261139487	0.5766091020050597	0.3996253533328606
ec1404	0.3765549630049417	0.4401095594882426	0.4632670083065201	0.4634926775302293	0.4254813520241955	0.5200861615676787	0.3568943894707436	0.4533322513091892	0.3346895166976957	0.500016282940715	0.360998781020118	0.2862536144580649	0.2094677470226216	0.4910199214000792	0.3490258220426679	0	0.4525717305641351	0.5763062887359317	0.361997488696168	0.37903237878421	0.3580285218353311	0.7985304272918246	0.809159849028839	0.3906981871925314	0.6730338576829776	0.391984210784059	0.5031512065668615	0.3680823683285878	0.3360345627930704	0.6213877390590993	0.3900422942518492	0.3660901557624842	0.6106826667416345	0.4228136382776432	0.4202111900560673	0.2236711104632098	0.7082311401322943	0.4834126713911055	0.3723364818199294	0.4003620644405781	0.5615461670750146	0.5715856203251189	0.4229008994097652	0.6606614654013502	0.4232627603711103	0.5701990783275457	0.4917691255461327	0.2775683568889345
ec1412	0.5556111623392098	0.3485519001882571	0.4911505045561846	0.4629806051956648	0.4922261598319274	0.5031501495204139	0.3415108759856974	0.4507004758194976	0.2554762564296493	0.209623632111423	0.3567344750083154	0.5109988578411468	0.4572667809216405	0.5682231466094582	0.2516525428008271	0.4525717305641351	0	0.5019619904619284	0.2770207476720756	0.2892621255246265	0.4677501103688417	0.820554285050126	0.7711649439428282	0.6260360794998716	0.6565286575688544	0.3884184235517168	0.4695425299512593	0.4012950023252858	0.5665800372664687	0.656091533442979	0.4189522845902398	0.274346056966096	0.4464181876718182	0.391499361270768	0.3727511027476957	0.4967907262552011	0.7020686874066264	0.4415519975926973	0.3931165455491022	0.3612602891526948	0.6356035199525629	0.5785975614514549	0.3590273414896921	0.6295888397285693	0.4265963722750777	0.5703915197126896	0.497670563130986	0.4987766141709779
ec1417	0.6190791833462256	0.606173545966239	0.6221834833930421	0.5744872220710945	0.5549683807161603	0.4971531705927797	0.6147564472453517	0.6212469150027845	0.6164735866760451	0.5276407547822505	0.5966758304062083	0.6500719231568196	0.6286287851782062	0.4753020842700386	0.6224860747810407	0.5763062887359317	0.5019619904619284	0	0.6075733121156814	0.6428976766045869	0.5186762724353452	0.7675607361968793	0.7384535869854845	0.7036202873216535	0.5946165632706537	0.6170959093126147	0.6605899059286001	0.60198136475833	0.6177186529471974	0.5917128353279404	0.6151255084740407	0.6292736613814901	0.5766562987418462	0.658424939282887	0.6595087377325671	0.5735804108520866	0.6279395097778423	0.580148142628217	0.6320551089078904	0.6450654322515711	0.5963600065708481	0.6167954541665411	0.5538086494673735	0.5577633400302383	0.6112743323056653	0.7012437423878655	0.5762742381701844	0.6371555596784646
ec1419	0.502108468199297	0.2935451725873067	0.4189157508403611	0.3438203182270087	0.5926009588631382	0.6093457842526082	0.1916706759388885	0.3573122515950437	0.07952431264959869	0.4147499755360245	0.2241796317612095	0.4307178900939606	0.3589031640658802	0.6471914230426724	0.0732736972186297	0.361997488696168	0.2770207476720756	0.6075733121156814	0	0.1158729742451276	0.5617123101351386	0.8560100053721629	0.8178772756699173	0.5659881925308725	0.7165218260596649	0.2619598539810825	0.3792178998171753	0.2797928288158738	0.5041255552746112	0.6989125637673633	0.2954306356684252	0.09972450952382912	0.5331958427751049	0.2576608747295202	0.2351817676337674	0.4168199430871218	0.7424609587371483	0.3625175175595248	0.264325587603677	0.2216097794055006	0.6863471378491782	0.4964306332077116	0.3109468405375308	0.6756990651035925	0.3075293697059883	0.512359208399455	0.5774040464049562	0.4121422244954905
ec1430	0.4752667796721846	0.2411200070973658	0.3827330706324722	0.4019279441347229	0.6108623735534809	0.623502303497805	0.1088330363864953	0.3093811647427508	0.07498718389324108	0.3837353613338763	0.2347218167018956	0.3838263822353893	0.3036358927866253	0.6357622342966417	0.06773433415375585	0.37903237878421	0.2892621255246265	0.6428976766045869	0.1158729742451276	0	0.5441307219605745	0.8688482894004703	0.8295491600645944	0.5292971047399673	0.7264939524649091	0.1868095343461036	0.34067377870488	0.2107992298463344	0.5215563468737434	0.7235694775254868	0.2332803272473999	0.09268580639005741	0.5253081916816241	0.1893907154850032	0.1509094824893993	0.4291511915381043	0.7633979736778832	0.3654010705141987	0.2075896558412096	0.2361813809565561	0.711196654795709	0.5032918629935658	0.3188085428192851	0.703781043283032	0.3517086273274988	0.4876108363887561	0.5977015021080694	0.4350291718572718
