	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1367	ec1369	ec1372	ec1382	ec1384	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti112	eti122	eti124	eti126
ec1404	0.96	0.838	0.776	0.804	0.608	0.674	0.668	0.334	0.614	0.742	0.738	0.796	0.688	0.68	0.53	0.778	0.708	0.92	0.634	0.824	0.908	0.684	0.0	0.588	0.79	0.746	0.59	0.75	0.756	0.486	0.66	0.766	0.592	0.772	0.728
ec1412	0.984	0.83	0.772	0.574	0.392	0.628	0.66	0.574	0.628	0.628	0.812	0.524	0.624	0.696	0.544	0.534	0.448	0.93	0.706	0.57	0.936	0.646	0.588	0.0	0.59	0.596	0.75	0.52	0.49	0.882	0.44	0.49	0.464	0.544	0.386
ec1416	0.958	0.914	0.872	0.43	0.552	0.694	0.888	0.66	0.804	0.882	0.872	0.302	0.832	0.876	0.756	0.488	0.532	0.92	0.872	0.146	0.928	0.684	0.79	0.59	0.0	0.93	0.888	0.222	0.162	0.868	0.248	0.404	0.608	0.334	0.558
ec1417	0.988	0.494	0.74	0.904	0.64	0.832	0.58	0.82	0.742	0.638	0.836	0.898	0.63	0.712	0.756	0.906	0.842	0.982	0.804	0.928	0.956	0.824	0.746	0.596	0.93	0.0	0.696	0.888	0.82	0.92	0.824	0.884	0.856	0.884	0.81
ec1419	0.984	0.742	0.84	0.902	0.782	0.74	0.754	0.63	0.766	0.82	0.808	0.866	0.768	0.742	0.66	0.866	0.776	0.984	0.786	0.898	0.968	0.802	0.59	0.75	0.888	0.696	0.0	0.846	0.832	0.716	0.832	0.858	0.694	0.844	0.786
ec1428	0.992	0.88	0.902	0.432	0.578	0.658	0.87	0.642	0.754	0.844	0.836	0.25	0.72	0.86	0.664	0.46	0.44	0.918	0.778	0.256	0.942	0.694	0.75	0.52	0.222	0.888	0.846	0.0	0.216	0.858	0.21	0.4	0.594	0.352	0.504
ec1430	0.974	0.874	0.846	0.416	0.52	0.636	0.838	0.614	0.714	0.786	0.884	0.27	0.766	0.818	0.692	0.482	0.45	0.916	0.798	0.174	0.944	0.646	0.756	0.49	0.162	0.82	0.832	0.216	0.0	0.894	0.208	0.384	0.576	0.332	0.496
ec1433	0.986	0.926	0.902	0.892	0.812	0.84	0.896	0.536	0.852	0.896	0.838	0.916	0.878	0.836	0.762	0.89	0.892	0.974	0.87	0.88	0.934	0.842	0.486	0.882	0.868	0.92	0.716	0.858	0.894	0.0	0.874	0.886	0.744	0.88	0.89
ec1436	0.978	0.872	0.846	0.47	0.55	0.676	0.772	0.64	0.75	0.828	0.856	0.286	0.774	0.81	0.678	0.522	0.428	0.922	0.764	0.256	0.924	0.706	0.66	0.44	0.248	0.824	0.832	0.21	0.208	0.874	0.0	0.444	0.634	0.344	0.496
eti112	1.0	0.886	0.88	0.45	0.556	0.604	0.898	0.608	0.688	0.834	0.862	0.398	0.8	0.852	0.668	0.276	0.45	0.93	0.78	0.444	0.954	0.638	0.766	0.49	0.404	0.884	0.858	0.4	0.384	0.886	0.444	0.0	0.522	0.436	0.404
eti122	0.996	0.884	0.924	0.578	0.52	0.684	0.892	0.45	0.586	0.818	0.854	0.584	0.818	0.758	0.558	0.564	0.574	0.932	0.794	0.636	0.948	0.656	0.592	0.464	0.608	0.856	0.694	0.594	0.576	0.744	0.634	0.522	0.0	0.576	0.412
eti124	0.99	0.894	0.874	0.336	0.564	0.706	0.894	0.59	0.692	0.846	0.84	0.292	0.834	0.836	0.704	0.512	0.502	0.922	0.864	0.35	0.962	0.69	0.772	0.544	0.334	0.884	0.844	0.352	0.332	0.88	0.344	0.436	0.576	0.0	0.462
eti126	0.998	0.85	0.894	0.494	0.53	0.666	0.818	0.578	0.666	0.778	0.872	0.498	0.762	0.772	0.644	0.42	0.454	0.932	0.822	0.554	0.968	0.718	0.728	0.386	0.558	0.81	0.786	0.504	0.496	0.89	0.496	0.404	0.412	0.462	0.0
