	ec1442	ec1449	ec1457	ec1462	ec1468	ec1469	ec1470	ec1489	ec1492	ec1493	ec1497	ec1498	ec1500	ec1502	ec1508	ec1513	ec1514	ec1516	ec1517	ec1524	ec1525	ec1530	ec1533	eti145	eti146	eti149	eti151	eti152	eti153	eti154	eti156	eti162	eti164	eti165	eti167
ec1497	0.4117168936033174	0.8078705054932178	0.5475054309954678	0.2292691617627	0.5046076322287373	0.5169204254291687	0.3547716831683251	0.30753110327984495	0.5015558388027744	0.3403605818007964	0.0	0.7193287068599569	0.45794489694615653	0.6532562421707667	0.6289396274592366	0.4217960615510137	0.48882916278117367	0.36803362603005557	0.5441127354897862	0.49108691277909844	0.4904961427061377	0.7280245696148895	0.5291480746982025	0.4905105336625655	0.48791002667751726	0.5706637060911733	0.5676315089993561	0.7551285614754427	0.6302978066846067	0.5285775873483052	0.6531840687326798	0.5356800443535189	0.5175980176730128	0.6524819419820983	0.25425053465217806
ec1498	0.8116745095570724	0.6944949026875242	0.6685230046267735	0.7266327613614436	0.7590855137999847	0.6663675791394064	0.6998149270497895	0.7420115929958733	0.7568488260375061	0.677397921374024	0.7193287068599569	0.0	0.740059690427601	0.572633561489353	0.5783367656595064	0.749631698904214	0.7672935663263534	0.617960390901796	0.7357483852394078	0.7684240954311912	0.7671811515532239	0.457649896332621	0.6455135356343491	0.7667221099701812	0.7670478558819172	0.5334924934682773	0.4880292336637842	0.6991665105401437	0.7455699029876486	0.680693395747324	0.5150833120658405	0.6025921711300686	0.7211450926245951	0.622889748166254	0.7324884507529899
ec1500	0.5866171919706401	0.8315730271833697	0.41484745172006837	0.3459991045512795	0.11802262930312624	0.3555639907600991	0.45814533995719586	0.43628506970528924	0.11936353872393043	0.41206657629237226	0.45794489694615653	0.740059690427601	0.0	0.5101402689447853	0.6353725600525942	0.13880219487882908	0.2021282794581087	0.5622597643009548	0.19557177414388688	0.19595623515853494	0.17848693211312758	0.7514623916203094	0.5511964997462713	0.20121605500904596	0.1985362904724585	0.6894109880123527	0.6755141561435115	0.7482418622918344	0.4945250578243368	0.3192850263100935	0.7320363899088781	0.5904222584434954	0.3557913267522642	0.5910343174615804	0.3391644679380977
ec1502	0.73813864299218	0.7590133402507023	0.4203763682613201	0.6280420858905648	0.5117591436546947	0.45132442841282777	0.5935261646413525	0.6481328574632528	0.5134244697877627	0.5056312593362268	0.6532562421707667	0.572633561489353	0.5101402689447853	0.0	0.5176267840840834	0.5469653124847295	0.5621121008910506	0.5645378991496605	0.5450416843680539	0.5588797263784895	0.567368236190265	0.6521048516690635	0.5389280475587213	0.5625737878278465	0.5627105574357487	0.616450023908641	0.5814201735562803	0.6686004297876718	0.6559462890489814	0.5363689702314877	0.6008840551245574	0.5461079160569661	0.5963247969440476	0.5409216101079384	0.6351760172443921
ec1508	0.7350042598407278	0.7028154648122921	0.5361335611500428	0.6152532229000366	0.6578423700247185	0.555572054510812	0.6106645138779331	0.6545852794989039	0.6587366577233915	0.5875319069308428	0.6289396274592366	0.5783367656595064	0.6353725600525942	0.5176267840840834	0.0	0.6382744420097596	0.651765261169149	0.595408047937705	0.6662780264416002	0.6486342474316928	0.6536579767746618	0.5605492981730463	0.5490582417739905	0.652909846103967	0.6501739061637328	0.5472341341859825	0.5274256423470783	0.6894469137592683	0.6990361513722135	0.5982322618825635	0.5489541478468062	0.5891386993565922	0.6384660093388858	0.5416747602133878	0.62354152618342
ec1513	0.54560746640645	0.827471918001269	0.3559466545879007	0.31304330144367676	0.2155859147556114	0.2919089059519411	0.4501650549173278	0.3770939880961022	0.20712794176954044	0.4434524140437434	0.4217960615510137	0.749631698904214	0.13880219487882908	0.5469653124847295	0.6382744420097596	0.0	0.13421482789440015	0.5360481377438618	0.30808635971814563	0.1397430966204727	0.13343358128552163	0.7636589605312012	0.5475812789385212	0.1334741588552361	0.12964234000769875	0.6985035798213396	0.6890041752557565	0.7380022898785578	0.5551946685447076	0.27539514570576334	0.7198725541415957	0.6326008033780463	0.29186084547514657	0.5860406802669758	0.31699871167370236
ec1514	0.5278208768663767	0.8424013146345607	0.4321631404224765	0.35139798839020525	0.12106616770456932	0.37549027611836955	0.48397437935161564	0.44908494396643606	0.11091644851739586	0.5040263414055974	0.48882916278117367	0.7672935663263534	0.2021282794581087	0.5621121008910506	0.651765261169149	0.13421482789440015	0.0	0.5782334731509229	0.22743033740941174	0.028533926599058495	0.03320658871981578	0.7763238858166462	0.5400557947973148	0.021157319504223573	0.01555404949298828	0.7259249216474989	0.7067772475509284	0.760714918118121	0.5198962084781604	0.30986325760254	0.7475330082547557	0.6275810109841586	0.36717632042771414	0.5783265852576828	0.32457645312312877
ec1516	0.526233122513912	0.7785218997639851	0.4801809679395034	0.3673507322959024	0.5966220350915725	0.47417445370547445	0.4489353839649461	0.4297656533025287	0.5940862742235811	0.37486569062501796	0.36803362603005557	0.617960390901796	0.5622597643009548	0.5645378991496605	0.595408047937705	0.5360481377438618	0.5782334731509229	0.0	0.6230690002455673	0.5786090983059128	0.5802522076022079	0.6579694438404903	0.5705724903804146	0.5792856142751418	0.5758658345644538	0.5770063042534589	0.5652666866097814	0.7250652708681015	0.6845272569750463	0.607404378003106	0.6290733489483402	0.47129110649276856	0.5875590614822652	0.6264756668248782	0.3865233346491528
ec1517	0.5915538744418845	0.828403163710112	0.5101154331270993	0.44857324400337373	0.13299733910726355	0.46613437537370556	0.5407938963786751	0.5311251878615109	0.1404811648297481	0.49396915812559433	0.5441127354897862	0.7357483852394078	0.19557177414388688	0.5450416843680539	0.6662780264416002	0.30808635971814563	0.22743033740941174	0.6230690002455673	0.0	0.21424941466817313	0.21346447976859015	0.7439392093427364	0.5763516963745566	0.23298742321181012	0.22184620435362734	0.6721731862916681	0.6617480212640193	0.7369841139964666	0.47810238474113187	0.3127442122664646	0.7327442025403835	0.606561795433969	0.4480463889872459	0.569893621954624	0.4193162255530683
ec1524	0.519305351698355	0.8433039023817369	0.43118386970243705	0.3482842881574766	0.10029667701841659	0.37377160417094873	0.4890038869495361	0.45720655895843765	0.10636854741508574	0.5042313757532106	0.49108691277909844	0.7684240954311912	0.19595623515853494	0.5588797263784895	0.6486342474316928	0.1397430966204727	0.028533926599058495	0.5786090983059128	0.21424941466817313	0.0	0.038182268213807	0.7772959652772061	0.5447803481346547	0.03322518729718457	0.016270516503625453	0.7238836796921746	0.7076944950393277	0.7615475665811241	0.513189021449213	0.3190226964909392	0.7481887737431772	0.6319604630300336	0.36534498700407153	0.5843184354017064	0.3300428478266523
