Feature ID,kingdom,phylum,class,order,family,genus,species
12a299302e9835e964fdb2b7d7fc64dd,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Spirobacillales, f__, g__, s__
281b03438efc2325901550e15bdf3c86,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__, s__
f630d2f6b85dcd9c31951f6523a6d1d0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__HTCC2188, f__HTCC2089, g__, s__
ea7702cb072b89d0fc185f83fe22b5f6,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__, g__, s__
3daeceaa4cb6755e63a4135263b886bd,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
56a8e0e274c401b54e0cd32da25fb59c,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__, f__, g__, s__
7de1d8b9a0b3f83576dc16968beac3bb,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__OM27, g__, s__
23dfc9b0fc80f8afbbc9480d4583a687,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
f8e5b6d85709006bc3992a812971307b,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Polyangiaceae, g__, s__
dab34349d2fc74dc8d7c930f9ec2ebdd,k__Bacteria, p__WS3, c__PRR-12, o__Sediment-1, f__, g__, s__
a424e0772b918dd845ca44c0fe340a8e,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__, s__
506c3fbecbe5263445a0995f3527a707,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira, s__
d247cdb1817ad0589e5239e03bdb1edf,k__Bacteria, p__Chloroflexi, c__TK17, o__, f__, g__, s__
066bd23039f1be8e4b3ec7bbd08039d8,k__Bacteria, p__Planctomycetes, c__OM190, o__CL500-15, f__, g__, s__
a3ee43f342f33d498912a66b1f3e95e5,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__, s__
eb55a78c465b22a740a89543828b7f27,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
c00891dbdc2679138217fe7ba2cd233c,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__Steroidobacter, s__
f00217c03abf8a59635eef5b0aa2b96c,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__, s__
b4dde23e1ecf467496bfcde2c546f037,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__
9da7b4d8181df8200f8e237cff7baf33,k__Bacteria, p__Spirochaetes, c__Spirochaetes, o__Spirochaetales, f__Spirochaetaceae, g__Spirochaeta, s__aurantia
c5336dddd7cd24a4b112878c270ffe2a,k__Bacteria, p__Chloroflexi, c__Ktedonobacteria, o__Ktedonobacterales, f__Ktedonobacteraceae, g__, s__
54b72aa709e9770a611a26aee651e654,k__Bacteria, p__TM7, c__TM7-1, o__, f__, g__, s__
035b89a12a892fe79b56cb427e8da963,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae, g__, s__
c1611caca96aa4c29c8fffd8c2762f28,k__Bacteria, p__Chlorobi, c__OPB56, o__, f__, g__, s__
60f516c2958179248bbb530cfbb4d5b8,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae, g__, s__
9bf84c6c73980f9096667382004152bb,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhodobiaceae, g__Afifella, s__
d85b378582b5379fb86ac940ab363ed0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__
47c491e3b71df45ffe1ac1776693970e,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
826e3a7cad75caf445822a2e91657280,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__, s__
b27ed03087b62d21d180f5af379e6f63,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__Phycisphaerales, f__Phycisphaeraceae, g__, s__
ce9a1d08b335fd53bb9901d03bb1a178,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Patulibacteraceae, g__, s__
cf17072f883744cb1b85c124de3238c8,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophobacteraceae, g__, s__
9159a97d73f793d7544c9755ba531e4a,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales,,,
4bc10bc7887c0f48a0853493b9f06b29,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales,,,
ae745b6f0181509a37d047152ed4fc09,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__H39, f__, g__, s__
af26ee5f788d1ccb396e5106bd8a26a8,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,
e5fa29669e9fee029ab16a9d5ada2768,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__
c2f11fe33f242d69efb5e01f52a3ef11,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__
ec052283a0a3a921890540d8ecd3d39e,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Gemmatales, f__Gemmataceae, g__, s__
400fbc46ea5337ad81ac50a4670cb4a6,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__RB40, g__, s__
3a28aab61cf8ab39a5c37d07fc07a8bc,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Bdellovibrionales, f__Bdellovibrionaceae, g__Bdellovibrio, s__
4acd9b940151e0d930145a0a2e11a820,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae, g__, s__
f131a0320602a7e9a7a50fd4baf7c147,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Gaiellales, f__, g__, s__
bda5de07a47d4d57254c697a0967657a,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__, f__, g__, s__
2ea68cd79bdecb48618f5df93d4bd28e,k__Bacteria, p__Acidobacteria, c__iii1-8, o__DS-18, f__, g__, s__
58f0288cb22551cf34d34685e1dbf0cb,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__Aquicella, s__
f660a791ce5c102902ebd027acff2fda,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae, g__Streptomyces,
ec9d8bbef324c75f16a0007f6a269d33,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__, s__
88f60f800af47046aa4cc6d1ff715838,k__Bacteria, p__Acidobacteria, c__Acidobacteria-5, o__, f__, g__, s__
f5f32a418e05300e6f5af14e187a29ca,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__, g__, s__
16c52c379b838cb13455ea7949f510d9,k__Bacteria, p__Chloroflexi, c__C0119, o__, f__, g__, s__
ee0e387b4c0c8db3530827b352a75dd6,k__Bacteria, p__Planctomycetes, c__Phycisphaerae, o__WD2101, f__, g__, s__
