	SRR3939104	SRR3939103	SRR3939102	SRR3939101	SRR3939100	SRR3939099	SRR3939098	SRR3939097	SRR3939096	SRR3939095	SRR3939094	SRR3939093	SRR3939092	SRR3939091	SRR3939089	SRR3939088	SRR3939087	SRR3939086	SRR3939085	SRR3939084	SRR3939083	SRR3939082	SRR3939081	SRR3939080	SRR3939078	SRR3939077	SRR3939076	SRR3939059	SRR3939058	SRR3939057	SRR3939054	SRR3939052	SRR3939051	SRR3939050	SRR3939049	SRR3939048	SRR3939047	SRR3939046	SRR3939045	SRR3939044	SRR3939043	SRR3939042	SRR3590563	SRR3590562	SRR3590561	SRR3590560	SRR3590559	SRR3590558	SRR3590557	SRR3590556	SRR3590555	SRR3590554	SRR3590551
SRR3939094	0.7258523511490993	0.98956	0.9917623854275438	0.9806930668282253	0.9750732536934205	0.809440952795236	1.0	0.7388126118738813	0.7518112409437953	0.9921900390498047	0.0	0.7197855673574175	0.923440382798086	0.7648423515764843	0.7380526194738053	0.7441712791436043	0.6928615356923216	0.87079	0.91947	0.672262142282094	0.8697913020869791	0.8846311536884631	0.6341827578059411	1.0	0.7245441318380225	0.9870300648496757	0.99815	0.8747218791718124	0.9411408828867567	0.6327118364408177	0.8390833442076628	0.7260913695431522	0.8269108654456728	0.7263258336681399	0.8519174306878942	0.9818621462282084	0.982719122985031	0.9749889490835449	0.8907716006161602	0.7060320551754602	0.8216826159098086	0.734641326793366	0.9055634275110558	0.8103346505927668	1.0	0.9200740148029606	0.6830098723087523	0.6758032419675803	0.9854362837413685	0.9309717784604005	0.7647832671313552	0.8470602368629179	0.8790043453727888
SRR3939093	0.7610762502376878	0.972653763395605	0.9740009682858558	0.9713912392914722	0.9706950613352906	0.8065466482886333	1.0	0.8217305071994866	0.7224987110825855	0.9754211340368893	0.7197855673574175	0.0	0.9439925926705317	0.8236454601410963	0.49764050441123087	0.7549478646058017	0.4111173072673899	0.8811033191113262	0.7722760296926048	0.6252841148244802	0.9117859040524402	0.9091765176265105	0.47546031746031747	1.0	0.7845584057574546	0.9873738702244295	0.9980534614190792	0.947560026093727	0.9550935375939058	0.4538357130080702	0.8688829379856017	0.8384697130712009	0.7513073305205122	0.5855941564790884	0.8441871480448397	0.9944915344706109	0.9958185077920287	0.9739594334768598	0.9958553869034601	0.36166930797675645	0.8524645509790681	0.6670700013678307	0.9682155482658683	0.8684885073503482	1.0	0.9334038444335696	0.6515985602371374	0.2769369170309812	0.9959937845522869	0.9938080160212173	0.7602659534474054	0.8961861170658225	0.8715954268217398
SRR3939092	0.9803053573041829	0.993399966999835	1.0	0.9812237131984779	0.94356875380998	0.98073	0.99134	0.8848905755471222	0.99757	0.98353	0.923440382798086	0.9439925926705317	0.0	0.872840635796821	0.994040029799851	0.949	0.97442	0.9815399076995385	0.8762193810969054	0.8942304807432669	0.9284503577482113	0.9070104649476752	0.9853306387556682	1.0	0.7433125668743312	0.97837	0.981679908399542	0.7050629493705063	0.957160428395716	0.73262	0.895314813420663	0.74797	0.67749	0.9969666380405687	0.9975691248849586	0.9272048908580293	0.9158337386829015	0.9261897786207357	0.9255209900106843	0.9804334949653144	0.8871198981382152	0.99757	0.9040501835491549	0.7016542526849716	0.9831651896599307	0.9799358868568057	0.9521922368963679	0.9530602346988265	0.9688937546453467	0.8813908451608595	0.9772175651145241	0.7018976158416634	0.9780112387002199
SRR3939091	0.744613361573556	0.95821	0.9910240588973621	0.9663130066442688	0.7427412249246973	0.8368608156959215	0.9940900295498523	0.7996520034799652	0.8451707741461293	0.987000064999675	0.7648423515764843	0.8236454601410963	0.872840635796821	0.0	0.8418615813841862	0.8160109199454003	0.8080509597452012	0.74156	0.94246	0.7972927698854403	0.8829011709882901	0.8904110958890411	0.739280812793147	1.0	0.7728334074988875	0.9815300923495383	0.99366	0.8633520497192542	0.9250211246831298	0.777801110994445	0.8410708370557	0.7824710876445617	0.8542607286963565	0.8474688629971876	0.8512872069584703	0.9479284421621457	0.9422157599087837	0.9348355726430708	0.9228554979850316	0.8033320115049267	0.8260438023530355	0.7853110734446328	0.9500385753833587	0.838157170726827	0.995410569999029	0.9189537907581516	0.8270661188197487	0.8362916370836292	0.9861092278719398	0.9773878381293856	0.8362712054538872	0.9012003323689295	0.8737805906682101
SRR3939089	0.7306304362010209	0.99209	0.9990507230326234	0.9536353212731761	0.995461344589472	0.8087509562452188	1.0	0.6713832861671384	0.34082329588352056	0.9991000044999775	0.7380526194738053	0.49764050441123087	0.994040029799851	0.8418615813841862	0.0	0.7824310878445607	0.505922470387648	0.88424	0.98052	0.3320632253741568	0.8940110598894011	0.9325406745932541	0.4680749450781474	1.0	0.7197042044369334	0.9981700091499542	1.0	0.9562806557901632	0.9584306235406469	0.5105724471377643	0.8601327002800558	0.892280538597307	0.9667001664991675	0.6062374447569305	0.8519174306878942	0.9926799718148499	0.9963074155046706	0.9954459944282821	0.9963383072191362	0.4821678655148354	0.8596901051196318	0.6811115944420277	0.9814535607852234	0.9118803461557701	1.0	0.9369573914782957	0.6546150403089938	0.5225547744522555	1.0	0.9990753772974306	0.776256010442746	0.9282303356725966	0.8790043453727888
SRR3939088	0.48212726232420877	0.9307796538982694	0.6984658548547862	0.8785399559383137	0.639098206555983	0.58854	0.79463	0.7458612706936465	0.59176	0.67667	0.7441712791436043	0.7549478646058017	0.949	0.8160109199454003	0.7824310878445607	0.0	0.65078	0.8114990574952875	0.9385696928484643	0.6258263243691933	0.8741506292468537	0.5009924950375249	0.659216360510361	0.83807	0.6022339776602234	0.91226	0.8619793098965495	0.5997840021599784	0.7120628793712063	0.65413	0.761068031820121	0.84083	0.90519	0.7600932105926607	0.851916690008403	0.9829266067137773	0.8425883792816683	0.964976124757778	0.9856643465452319	0.703821943800259	0.762018387255246	0.49278	0.7657025293476946	0.8285319820518335	0.8586264348430489	0.9225941317970184	0.5298182439976262	0.7558912205438972	0.9415640505413712	0.792184843301331	0.7395622998633462	0.8442062900133649	0.6249927285842263
SRR3939087	0.7360295520020879	0.9733098665493327	0.9814151684711814	0.9666833566993791	0.9785155549636035	0.68118	0.95086	0.8048109759451203	0.74741	0.9889	0.6928615356923216	0.4111173072673899	0.97442	0.8080509597452012	0.505922470387648	0.65078	0.0	0.8621393106965535	0.9552097760488802	0.5765418887699894	0.8867105664471677	0.7608311958440208	0.4563589016579696	0.95228	0.6710332896671033	0.97307	0.9967699838499192	0.9087209127908721	0.8777412225877741	0.44777	0.8612160907425531	0.84833	0.91718	0.5718540169446411	0.8416429914769317	0.9928320136262712	0.9540150528523533	0.9893602257482537	0.9980083607356618	0.3863405917136002	0.8371615050680248	0.69136	0.8843337770785429	0.8580954334222071	0.9943679535535045	0.9138623417800649	0.631529184562307	0.39933300333498334	0.9871035133886422	0.9461969559209547	0.7746639743825083	0.8758315521806814	0.8215420055146417
SRR3939086	0.6770243072459986	0.8596185961859618	0.7732891739093747	0.7975655796393933	0.8888581527585677	0.8927894639473197	0.9879999399997	0.72534	0.8128490642453212	0.9336696683483418	0.87079	0.8811033191113262	0.9815399076995385	0.74156	0.88424	0.8114990574952875	0.8621393106965535	0.0	0.7531275312753127	0.7733184652541991	0.73174	0.70407	0.6462444134990976	0.9907199535997679	0.6043519782401088	0.9764198820994106	0.995949959499595	0.8226108869455653	0.887920560397198	0.788438942194711	0.7569613137660356	0.8027190135950679	0.8028790143950719	0.8819795297260921	0.9103272694533505	0.9271436899602058	0.8791581237708691	0.9325321764875201	0.9608205181400897	0.7120627255706089	0.6873348873348873	0.7369286846434232	0.9196817120583326	0.8152149988994938	0.9936728592236731	0.9194130767461167	0.7070565337437197	0.89051	0.9928185091626783	0.9813840716692693	0.9058103663666727	0.8343344545891398	0.8810040429306885
SRR3939085	0.9660210498843109	0.994779947799478	0.9942515399544343	0.9871819906969291	0.9951129552789304	0.9726898634493173	0.9917299586497933	0.90971	0.978239891199456	0.9875299376496882	0.91947	0.7722760296926048	0.8762193810969054	0.94246	0.98052	0.9385696928484643	0.9552097760488802	0.7531275312753127	0.0	0.912011641105905	0.9129	0.94326	0.9670415298843236	0.9957399786998935	0.9019804900975495	0.9847399236996185	0.991789917899179	0.9042304788476058	0.9599702001489993	0.909679548397742	0.8929854851338058	0.8693393466967335	0.705718528592643	0.9796803905222029	0.9818033582257524	0.9974653385040427	0.9936294405623666	0.9957646284797894	0.9994294753766759	0.9681452888056742	0.9001228162518485	0.9756298781493907	0.9097982461890667	0.8587350181083299	0.9909028185930033	0.9653227177707319	0.9303851898791472	0.93299	0.9850243316944803	0.9250739705761486	0.9763608087091757	0.8787942495595067	0.9691341147726942
SRR3939084	0.5933220897080673	0.8739580260124712	0.908775890168197	0.8956044506314409	0.8603945838221657	0.7673190587152844	0.9985298676880919	0.5454913667661752	0.37025332279905193	0.9293136382274405	0.672262142282094	0.6252841148244802	0.8942304807432669	0.7972927698854403	0.3320632253741568	0.6258263243691933	0.5765418887699894	0.7733184652541991	0.912011641105905	0.0	0.7900421535830545	0.8005630478590681	0.4438914027149321	0.999949995499595	0.48972917833426677	0.9871588442959867	0.9983098394347463	0.7541803344267541	0.8858808704696376	0.47005230470742365	0.6919594231705541	0.748967407066636	0.7817503575321779	0.6284197467616938	0.816867590415687	0.9678273036988968	0.9686256048123447	0.9483486262112216	0.973141481834969	0.5786646586345382	0.7405398359636634	0.611905071456431	0.8838895781012033	0.7637512444282134	0.9999488877984952	0.918465947454499	0.5041042148677195	0.6151872909197281	0.9886492622020431	0.9060286147286224	0.7745616987424655	0.7737774017691318	0.8789327934468957
SRR3939083	0.6646406649167097	0.93168	0.9590334250967735	0.8784103824835646	0.9630453045919308	0.9270103649481752	0.9985800070999645	0.5712542874571255	0.7464712676436618	0.9726301368493158	0.8697913020869791	0.9117859040524402	0.9284503577482113	0.8829011709882901	0.8940110598894011	0.8741506292468537	0.8867105664471677	0.73174	0.9129	0.7900421535830545	0.0	0.8697913020869791	0.7752954720263021	1.0	0.7364739528907066	0.9862600686996565	0.99741	0.8159627605585916	0.8943315850262246	0.8372208138959305	0.7707256356463869	0.8129109354453228	0.8305908470457648	0.9347730012053034	0.934016575884439	0.633674157360329	0.9649152170047177	0.953647830422402	0.9821272049251324	0.8494721888976453	0.7413866567746269	0.8394108029459852	0.8959221029382844	0.8097543894752639	0.9973526450551191	0.9154830966193238	0.7410568349267498	0.8835711642883571	0.9877463904582549	0.9316909294512878	0.9383225319579639	0.8171870776561984	0.9266231159871325
