	ec1249	ec1257	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1346	ec1349	ec1356	ec1359	ec1361	ec1362	ec1368	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti121	eti125
ec1356	0.17676872649638525	0.2066773140995586	0.21288844737140533	0.3388596818379937	0.19315827477183595	0.2534984719946943	0.21148055576754107	0.3881941359869044	0.22053875884966045	0.21050300127122684	0.0	0.2300457732981246	0.22724246308082116	0.21222827736993988	0.25610133617213254	0.2421131840209444	0.22703919146899346	0.2316005344847154	0.21857198468473615	0.22981785268030946	0.23566752723565093	0.179687686296725	0.22257284461282484	0.22373312322544872	0.2264856275484689	0.2367915501170749	0.23001552997823213	0.22231832810455013	0.22812877977940071	0.31023804087436535	0.3223797959270712	0.2707468315550916	0.21364224218512162	0.21360675143130156	0.23658941789054086
ec1359	0.18621797930118802	0.07285870996585717	0.17472019565380525	0.3879460827323867	0.32203216847099253	0.3350907305389327	0.03450575934419958	0.42891196128869724	0.09483895206405434	0.10094312389032549	0.2300457732981246	0.0	0.02338826265526415	0.10870325794263742	0.25944922840766954	0.022007022775435175	0.04380013387473904	0.025421519190905604	0.04880663051747231	0.1397092166991301	0.02079176924503866	0.07502556633988762	0.023402656135708827	0.049058330477101196	0.0408738550179165	0.019440649524477594	0.01623872688643428	0.03275960080842127	0.03430457327051663	0.349308582040011	0.36718114651907036	0.2937048421616892	0.0822849165258211	0.3566427369281429	0.02627195815710458
ec1361	0.18240244179773024	0.06618552998302878	0.1717002598309565	0.38374520267114987	0.3189794727622305	0.3337631819887531	0.03557963552044433	0.42434269304926303	0.09535321143825945	0.10075052394476341	0.22724246308082116	0.02338826265526415	0.0	0.10517838385432107	0.2572972410001371	0.029299526134428718	0.043074503335698816	0.021887759604783133	0.04393745221169742	0.1360305096259744	0.019897511291299564	0.07228280336573771	0.03682347226061654	0.05296569386169278	0.042107038673990724	0.0199572105497225	0.024547856025669366	0.028491100966359303	0.02658190347236284	0.34487984990297044	0.36555426872074726	0.29498203799984457	0.07760810356175708	0.3581484901591034	0.0217770060789188
ec1362	0.11891405627607554	0.09446248860034626	0.12708382146236818	0.3094178156690344	0.2706914678874344	0.2925150531282649	0.09793818330028245	0.33762996914250526	0.053535653570309434	0.07275914342239848	0.21222827736993988	0.10870325794263742	0.10517838385432107	0.0	0.17789527947927747	0.11246629503577577	0.07423346429842173	0.11459294457066808	0.07932080880772989	0.05873489820423525	0.11325757047797923	0.07848194378755927	0.10992058335267929	0.1078532181916901	0.09156804880626895	0.10961114556183855	0.10446412339941957	0.08556989137274637	0.09512505960079795	0.259595004743624	0.3100389375563002	0.23057572439960639	0.061871151241511824	0.3466214932944865	0.11601673450345745
ec1368	0.14742598403240012	0.23219813824356916	0.14687668187965816	0.23825204889172108	0.2714152115253437	0.17506419186371494	0.23995947212760335	0.3937880901636574	0.19434314130490077	0.1776335027857861	0.25610133617213254	0.25944922840766954	0.2572972410001371	0.17789527947927747	0.0	0.2629973853874976	0.22587791649597985	0.26331914144713586	0.2276415431862321	0.18476151718255623	0.26558827940555235	0.2149587156851244	0.25484430581151574	0.25229425197785105	0.23064006589557368	0.2592589893942124	0.25632449250331624	0.23542137307681524	0.2390899204524173	0.32888093448004696	0.374808291864266	0.2511082236482803	0.20762765993124807	0.39558709728782704	0.26743310032996725
ec1378	0.1914254535966027	0.0819804104361521	0.18324435204675998	0.39097635667059677	0.32821614215966416	0.3435715592171699	0.04172852481653522	0.4277115484045291	0.09602868060714044	0.10998484464206149	0.2421131840209444	0.022007022775435175	0.029299526134428718	0.11246629503577577	0.2629973853874976	0.0	0.04703837528708154	0.03478535916248551	0.05880834036275678	0.14064409327845476	0.016256789308862294	0.0832262898104408	0.03806428224784413	0.05344294358820791	0.0432040260548056	0.014628688140839397	0.01782253294647041	0.038907324219709064	0.03901349301372042	0.35201804043684537	0.3713209610096162	0.2968377908083021	0.08678101122444716	0.3658818918920643	0.023804517298109108
ec1380	0.15533884280676213	0.07417329873813101	0.15968932745417289	0.35265497351269054	0.2961144657268548	0.3192460865787012	0.04742165677570368	0.39029502522217313	0.06369866334950561	0.07402517894627478	0.22703919146899346	0.04380013387473904	0.043074503335698816	0.07423346429842173	0.22587791649597985	0.04703837528708154	0.0	0.0544087280473311	0.05967852389986149	0.10335650230510023	0.04918113650181511	0.06553958693310412	0.04907562540121469	0.05263054867264735	0.029951958659169182	0.04727697919642747	0.03960090609635526	0.03607566432902651	0.04451431539986212	0.31146763978914443	0.3389634694914773	0.2623567180554693	0.05268347554347441	0.35579142023048765	0.05441095999000925
ec1390	0.18867745788594265	0.07019410773109525	0.18023830874030317	0.3936681520888178	0.3275526944697162	0.3398170090247839	0.03693103527758833	0.4350428874826518	0.10025626097837441	0.10590035212282772	0.2316005344847154	0.025421519190905604	0.021887759604783133	0.11459294457066808	0.26331914144713586	0.03478535916248551	0.0544087280473311	0.0	0.052706820836881024	0.1457149696293886	0.02570513073593718	0.0767951466213703	0.029493836192646308	0.054515500970329034	0.051822077596999916	0.025665780577003448	0.029784502137486773	0.042399386738126314	0.03949266047229512	0.356623224329266	0.37162793756752976	0.3009022233572446	0.08880770416080318	0.3546355038803988	0.015916678751958766
ec1392	0.1677347069594675	0.03917679368949089	0.13692843309866667	0.35820535465944225	0.30053606621587914	0.30282644328921987	0.037251101632112704	0.40478957122144327	0.10890653307162522	0.1024430373001801	0.21857198468473615	0.04880663051747231	0.04393745221169742	0.07932080880772989	0.2276415431862321	0.05880834036275678	0.05967852389986149	0.052706820836881024	0.0	0.10942847877184153	0.048857023647643834	0.0639083053206592	0.054680147817424626	0.07520513416632452	0.05508167039468283	0.05062190332059593	0.04706450588566944	0.030407362840094706	0.03276876045769019	0.32276466684876653	0.35565654722567785	0.29761195665938706	0.06913232379166677	0.355202762783005	0.05582221000920169
ec1393	0.13542307620737454	0.12462544667482563	0.13653378054188586	0.31266327119318515	0.28451161552115733	0.2988252952893073	0.1249262733642775	0.3440982398961613	0.06509363287418729	0.10438854454367208	0.22981785268030946	0.1397092166991301	0.1360305096259744	0.05873489820423525	0.18476151718255623	0.14064409327845476	0.10335650230510023	0.1457149696293886	0.10942847877184153	0.0	0.14421194723677735	0.10834671781542524	0.14150806225941034	0.13842379494985163	0.12292279722643105	0.14104422497346117	0.13465479969829494	0.11556401918613812	0.1222375505817318	0.2873139302679707	0.3333162514890183	0.2619618664367728	0.09149846387367017	0.36281041106092693	0.1469989170460068
