	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	ec1442	ec1449	ec1457	ec1462	ec1468	ec1492	ec1497	ec1500	ec1508	ec1513	ec1516	ec1517	ec1524	ec1533	eti111	eti123	eti135	eti149	eti154	eti162	eti164	eti165	eti166	eti167
ec1400	0.4685305787947207	0.4543550189956118	0.3890141871681828	0.4890880507247975	0.4547272592993857	0.3302457801715234	0.3543800760397589	0.5211238435376421	0.5811655674913657	0.5124562065656267	0	0.3191828528740056	0.3989200487420009	0.448695764741295	0.3222405026887949	0.4491113241370901	0.3757353825118305	0.3621052579341736	0.5908956402337322	0.785714042418434	0.4781466332034598	0.5221466632529431	0.3870509536606588	0.2640246089032598	0.6191076001845179	0.4796668642981307	0.5532568211472164	0.4506574394614745	0.5618774971997048	0.384778165757399	0.4046493425109526	0.5572896593134258	0.4509832498941833	0.4376753231447264	0.4979518731305129	0.6506008330391885	0.4399001232787399	0.5541048073455124	0.4298781592170376	0.5725427832253163	0.6484169518227108	0.5379157853070623
ec1409	0.5518457771574515	0.5565330951534742	0.3747003606435114	0.4831399122405808	0.5278730613914957	0.2399934254097446	0.2739979421176864	0.4866803521597583	0.5196910521659676	0.46292846540314	0.3191828528740056	0	0.527156897277768	0.3513213521672695	0.3942647457190316	0.4045298614861556	0.4542470075754472	0.3065080679438311	0.5606563867913714	0.8198436879486974	0.4319818757571885	0.477370140539222	0.3098938780203139	0.3625735841991359	0.591554708659041	0.4064637550660044	0.5659895249987801	0.3853940136300605	0.6233583302163301	0.3139445249189082	0.3317894568798229	0.5093869364740228	0.5174925689236138	0.3735840284692352	0.4455481152024199	0.6956096384957857	0.3562180114610544	0.592983570552255	0.5105559259251805	0.5282004674907919	0.6269496788261092	0.4881539274670985
ec1411	0.4690238373462316	0.5475074937589994	0.5189855994770053	0.5421235745091819	0.3894355317702388	0.5153409983541687	0.4843905915010442	0.5793569673830822	0.5947105438290778	0.3779255633239813	0.3989200487420009	0.527156897277768	0	0.5516001454189891	0.4218276941755948	0.537528485380605	0.2163724773267189	0.5334152146483113	0.642228002913461	0.7276553815206998	0.5752648149195357	0.5846696874490902	0.5553343043613597	0.4594199853942548	0.607886681365415	0.5207985266946386	0.5114885882130094	0.5049427104776512	0.5174342333771104	0.5533916558552099	0.5616914853357995	0.4080223412070654	0.4966512595911172	0.5699878932276708	0.6193921439647272	0.5981411625775668	0.5221019103616721	0.5664564981997703	0.4821566541844835	0.585852783483945	0.4980219096504515	0.5252215208067772
ec1420	0.5921312164040758	0.609816552704518	0.4587604179181139	0.4970255200793627	0.5704762704202417	0.2481370716262797	0.196456581110529	0.3844101329599408	0.5497390781851915	0.3223735696170321	0.448695764741295	0.3513213521672695	0.5516001454189891	0	0.3812812380024896	0.284976132064757	0.4785253818795884	0.2119165688039701	0.4801201212835856	0.822575097905175	0.2975122305003791	0.4163703471176202	0.3000878025906243	0.4211577731290081	0.4892815108560785	0.363760989217845	0.608111058034143	0.1819961439218722	0.6204427393091926	0.3030266584192464	0.3251552820989844	0.5113362507261555	0.5201824271316179	0.3051178664982612	0.4114131514431522	0.7088021392245029	0.353697571013377	0.6209984548252324	0.4454175106113909	0.5025380157566273	0.5821977719570747	0.4393370990124168
ec1424	0.5141732762739117	0.5349446171149462	0.5170213155887795	0.531054586246784	0.4294235260209801	0.4254613790645619	0.3628389474638628	0.4868925064612967	0.5845148065314195	0.470714545733295	0.3222405026887949	0.3942647457190316	0.4218276941755948	0.3812812380024896	0	0.4057724531188943	0.3457527977059311	0.3691005388292086	0.5663811862548817	0.7660696439660036	0.465240447563472	0.4853330141921603	0.3996233079580821	0.281901533612106	0.5878357190420219	0.4368018271879387	0.471952442211912	0.3853134840010505	0.512084351677173	0.3985013952197889	0.4174413581438184	0.5415898651712125	0.3466633387288073	0.3949813708511775	0.4413370039467486	0.6508858666435948	0.4005343568668656	0.526851781600657	0.3426037109177019	0.5411417784463	0.6483667659261517	0.5209032137793094
ec1425	0.6015188124035167	0.5776121654151792	0.4713649582811942	0.4513081087855567	0.5808325733994084	0.330726463816453	0.2937883279032658	0.403323024177868	0.5549129689316078	0.4021671813020403	0.4491113241370901	0.4045298614861556	0.537528485380605	0.284976132064757	0.4057724531188943	0	0.5250617411058272	0.2361265604791514	0.4978034690757221	0.7995063487910095	0.3834254384836951	0.4310783956943664	0.3152440806283217	0.4231550627998925	0.5430626487628151	0.3658629581284578	0.571082087847757	0.2834983181024728	0.6469224821194003	0.3145382443348309	0.338981833933879	0.4885344135802654	0.5236022005590937	0.2951410004602793	0.4373379581863224	0.6889305689769109	0.4228748465238499	0.653681697180563	0.4914046365715579	0.4316656280730712	0.5615700473031936	0.4381165336718448
ec1427	0.510670275612446	0.544983795520393	0.4797035590462651	0.5202470035385377	0.3798379706759504	0.4063420180091499	0.4122970738131525	0.5180435379065326	0.5826923466694008	0.2677180220662637	0.3757353825118305	0.4542470075754472	0.2163724773267189	0.4785253818795884	0.3457527977059311	0.5250617411058272	0	0.4536170870426942	0.5815329899585814	0.7654726123214021	0.4907852948086226	0.5387196282231766	0.5014462488018455	0.4001641063754084	0.5717980506782653	0.5287478025620215	0.5690768156669774	0.4795764327099608	0.4873394385923347	0.4950953345919515	0.5134496850921355	0.376367026372145	0.4608395802889002	0.5409337218467526	0.5541461981403621	0.6263547951479812	0.4938932390553402	0.5380983840140727	0.4213729355657917	0.6376656451839963	0.4768752706436255	0.5111898846979722
ec1438	0.6047524684626678	0.5960246221382234	0.3856382657349838	0.4465444214525392	0.5849937794135502	0.1954057870804425	0.1345805791801045	0.338755582162769	0.5414760442332255	0.3518912085670365	0.3621052579341736	0.3065080679438311	0.5334152146483113	0.2119165688039701	0.3691005388292086	0.2361265604791514	0.4536170870426942	0	0.4338048349973992	0.8346180212430282	0.3177311911805618	0.3898387158469028	0.1436076999713742	0.3296047641746877	0.5106012595621161	0.3434802450965284	0.6219330827936906	0.2072965160634067	0.6105927417673067	0.1493550637615802	0.1806789726076613	0.5314306295993551	0.4966432505905785	0.2541812701547602	0.3848706974894772	0.7032982687078849	0.3209217071319258	0.6213070047930958	0.4550204710623045	0.4791107338137371	0.5703571719399486	0.4234561843839316
ec1442	0.6734304322120304	0.725144406123516	0.2941134645827802	0.3763157060982043	0.6771017329315199	0.5069555667371145	0.4806893203725661	0.2659164357885216	0.519920989851255	0.4630181326987525	0.5908956402337322	0.5606563867913714	0.642228002913461	0.4801201212835856	0.5663811862548817	0.4978034690757221	0.5815329899585814	0.4338048349973992	0	0.8472348900272362	0.5255382862041429	0.2752269555958028	0.4790493549955413	0.5714364298811413	0.3700056826221559	0.5802637203540013	0.7162662209699235	0.4715934751582988	0.5257889638505991	0.4793217832230907	0.496499082109089	0.6075365174183391	0.6531808252841317	0.5047178359408964	0.5859479294368689	0.677334290685398	0.5716630450213751	0.5575271852985519	0.6100032762964696	0.6273424911687731	0.4981192347157162	0.3185423864326276
ec1449	0.7387772489129721	0.7798122215158033	0.8229155712875232	0.7989454468797592	0.738870027288442	0.8234816642092712	0.820237976347767	0.8266892926295374	0.808479986607731	0.8099179474503498	0.785714042418434	0.8198436879486974	0.7276553815206998	0.822575097905175	0.7660696439660036	0.7995063487910095	0.7654726123214021	0.8346180212430282	0.8472348900272362	0	0.805793856994321	0.8259241774555637	0.8383451849548528	0.7796457528989837	0.7985195459450993	0.7958382584633165	0.6853135715200285	0.810360937798278	0.7829784029709598	0.8346935714219763	0.8388675166352835	0.7541401061432323	0.7427953013196296	0.8074019833195341	0.7773844023546986	0.6897010259182152	0.7900953500540512	0.7542122788303562	0.7527101812446991	0.7740680696069883	0.758968728540068	0.8019658657369418
