	ec1057	ec1059	ec1065	ec1066	ec1075	ec1076	ec1082	ec1083	ec1084	ec1089	ec1091	ec1092	ec1097	ec1098	ec1100	ec1101	ec1105	ec1106	ec1108	ec1113	ec1114	ec1116	ec1119	ec1121	ec1122	ec1124	ec1126	ec1127	ec1130	ec1137	ec1138	ec1140	ec1141	ec1142	ec1145	ec1150
ec1091	0.17807266875420605	0.12306292215820377	0.23132080029621377	0.14669975733867363	0.132969631131913	0.2464143000513263	0.12785744377071406	0.32310579881125856	0.18387015620240946	0.1787954797750285	0.0	0.18999291428421664	0.1601505444766054	0.14338570248141175	0.17983131148953854	0.18577439955826885	0.21507260728059122	0.1689847036283181	0.1303546722244456	0.22841156756799383	0.17821929622121627	0.2645745778026274	0.2367900157804765	0.17454571038012542	0.1963040730340415	0.2695426722035823	0.13162328955608554	0.2944508985145451	0.14591987880936363	0.1513217916406278	0.12264698887403197	0.2687473182959156	0.15769635688786018	0.16128927436557863	0.16101038433228743	0.22138670475094205
ec1092	0.17501669292472502	0.16099182915104698	0.21521318525513275	0.16811371619524831	0.1515589873339982	0.18258278250963517	0.19193826061441077	0.30837868730761625	0.1531064729186254	0.195827195499018	0.18999291428421664	0.0	0.18490547565949572	0.18373054206724024	0.1489101687244949	0.21276632812508406	0.2303784128473646	0.16776044391215708	0.16676825960187083	0.18249296070080154	0.16964724492863145	0.21431602572871783	0.25894350350685574	0.20256888517257288	0.24854512491994737	0.19513610598910267	0.20292675424129314	0.29008454538564027	0.20219298408053704	0.16199117203296223	0.19497503595434848	0.25358815469543866	0.19345695166379853	0.23396284647740587	0.2085003741291636	0.3019126612486606
ec1097	0.1761252814867834	0.14211143602867635	0.22025076747644454	0.1526119253976399	0.14398009696302883	0.22636574775616547	0.13413109259192776	0.3226326178182257	0.16152444836717128	0.15108999926472516	0.1601505444766054	0.18490547565949572	0.0	0.138448302615315	0.15177759536589908	0.15174847245567064	0.20133788790006532	0.18641172610725532	0.12665614837641112	0.23259686083256706	0.15126940880578835	0.2291080471345458	0.2425032540846264	0.11800221370509746	0.1842966956321095	0.2463707664856012	0.15826509752559714	0.3018446799487647	0.1547485520007105	0.16196514769674508	0.16481612579524338	0.29098856792288963	0.1447835403912907	0.19380177997403397	0.16663801903890227	0.2587941976740054
ec1098	0.1662289489553458	0.12271775079061156	0.2344746920853038	0.12475262220086768	0.1269801282705147	0.24731230918148747	0.09529853716198365	0.3194568572313746	0.18878753711508156	0.1336778635529017	0.14338570248141175	0.18373054206724024	0.138448302615315	0.0	0.159723830505094	0.14483483350109955	0.2344393179834806	0.18842902374334142	0.1207325860795235	0.25090215100277086	0.13917668289388443	0.23255553647086902	0.23777347379853467	0.14039065299339376	0.15629866403354575	0.2506205355306479	0.14736427062940324	0.30822757104510856	0.14941730507614148	0.1574297247117574	0.1527194150628899	0.2970260866016444	0.14631982938706592	0.16150974351718575	0.16235323245381322	0.22599561896497106
ec1100	0.1843918602681716	0.15882389637169067	0.188934271756301	0.16322260520801202	0.14721847232177993	0.20446990762981143	0.16648701440476218	0.30923267049048286	0.14790325360925166	0.17800827730445767	0.17983131148953854	0.1489101687244949	0.15177759536589908	0.159723830505094	0.0	0.16468581526804948	0.2100392793592396	0.17766062121981413	0.14540772233141008	0.20866278338308514	0.15013955212863914	0.1985322435418566	0.25249681733494306	0.16086864438676943	0.21571698011415258	0.21004160588039336	0.19390202386568983	0.27700100890973034	0.1787412262764199	0.15605668918121635	0.18727384389072754	0.26811945308595514	0.159911060339305	0.2223736776637192	0.17215068584407908	0.29045591035208956
ec1101	0.1830434010761532	0.16771252991521254	0.23243143550132936	0.15713338326872728	0.16450228087802815	0.2531116170758295	0.1573378792993944	0.328079097639536	0.19075949914467943	0.15715609039696243	0.18577439955826885	0.21276632812508406	0.15174847245567064	0.14483483350109955	0.16468581526804948	0.0	0.22839816523206324	0.21217561813040342	0.13960761297141638	0.25528843343304763	0.16260829751300848	0.24253499095378103	0.27204748272951845	0.15359018361698348	0.20738176471903377	0.2609956078499939	0.19655691936811678	0.3206352044846143	0.17647132019268524	0.1771887255356411	0.19813254430445712	0.30646841136616926	0.14170539306936597	0.20771804812623415	0.17455949551705213	0.2633750473575579
ec1105	0.256943749553391	0.19851319550928803	0.2510069265211086	0.24876197287906374	0.19880522761909336	0.27307176357876617	0.23269468619476186	0.36242004287593177	0.20492490965487495	0.24587663167299212	0.21507260728059122	0.2303784128473646	0.20133788790006532	0.2344393179834806	0.2100392793592396	0.22839816523206324	0.0	0.25333823455854293	0.2109298051066316	0.28799373479057117	0.2152365343109916	0.22095003849376585	0.24967775232688405	0.21407916716450018	0.21690388641333463	0.28151445315863666	0.21819999210901134	0.2819768849502607	0.23226161767943332	0.22954076589202468	0.2356311328446769	0.3120677590412059	0.21480336316923662	0.26685977247369347	0.20688273603096574	0.3141447392597362
ec1106	0.16182799486511107	0.16483702000679765	0.20342855762423792	0.1484867683687971	0.15240124002501557	0.20773820407681945	0.18522091013859432	0.3310641125097535	0.1724556432041121	0.19836753445656144	0.1689847036283181	0.16776044391215708	0.18641172610725532	0.18842902374334142	0.17766062121981413	0.21217561813040342	0.25333823455854293	0.0	0.16807523469415508	0.19355723083508564	0.19137574394408488	0.25811222746565377	0.26553150995461877	0.19787376139298513	0.2610597447897384	0.26145055452300536	0.20879295951632798	0.3095667028710826	0.16733634675266132	0.12439504676086499	0.16459797880195368	0.25522085302257996	0.19212574254161605	0.19612209563283944	0.1949084353348337	0.26836758374657277
ec1108	0.14932259302621384	0.1065048414717969	0.2211560343057913	0.11944057128338692	0.12144207320176505	0.2309525714243652	0.1109951858777759	0.31747885745514953	0.1635435658706146	0.12625620763314216	0.1303546722244456	0.16676825960187083	0.12665614837641112	0.1207325860795235	0.14540772233141008	0.13960761297141638	0.2109298051066316	0.16807523469415508	0.0	0.22667343413952307	0.1384632087767258	0.22345322268470597	0.23834294963187147	0.14027225239393168	0.18499032651676853	0.24894310790178042	0.15558424069989651	0.30188905501377333	0.12216734541076694	0.12692779326512219	0.15122804238190507	0.26289060587584867	0.12153381026833004	0.16636522044238758	0.16281809873432324	0.24349714098989866
ec1113	0.17806047382372878	0.23865107714794676	0.24746830770542033	0.21988714603353557	0.2085376258536259	0.1594837501455204	0.24836093792936284	0.3769773500130406	0.18434352133321136	0.2467348835961103	0.22841156756799383	0.18249296070080154	0.23259686083256706	0.25090215100277086	0.20866278338308514	0.25528843343304763	0.28799373479057117	0.19355723083508564	0.22667343413952307	0.0	0.2554247945272304	0.3107606958337604	0.33332171786128206	0.24490343439090892	0.3111008542855871	0.27631317202520655	0.258628756812816	0.3608741543836697	0.23232257641739942	0.21444282269692916	0.22258560898033738	0.3087941748780131	0.24209143128813487	0.2629474909904199	0.26407739930995516	0.3222432518948857
