	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti133	eti134	eti135
ec1346	0.4346803623151679	0.3865959832578301	0.4822708437948615	0.5662435584947377	0.543290600838774	0.5489386192774305	0.5586796523846704	0.1902280353180373	0.3339728479998684	0.4800571917053166	0	0.4496621895369906	0.3867985334614608	0.3868003481404119	0.3399258392304855	0.4447842697025322	0.3800131210703974	0.4948157880205671	0.5061141825380605	0.4569666007083388	0.3384337733648166	0.4420397419816849	0.3617547893356609	0.44042146246442	0.3882635955886025	0.3290838664450549	0.436765730454639	0.4598773079141486	0.5029109669444832	0.3723384791071391	0.4722689288043382	0.5054185993252186	0.4294351857328116	0.3740985908969814	0.4933435476471746	0.3980880889312824	0.4210231057252347	0.5465539349149855	0.4902261817949026	0.3827288987602033	0.4397632008983062	0.4473417216531211	0.7375677448806247	0.3862995107774281	0.5468552202060541	0.5268042800834609	0.6092904248625179	0.5826296074119385	0.5882274159890086	0.4067022970019639	0.4948340163055565	0.5537040867726863	0.5012941881693963	0.4107520976657698	0.4625289018183106	0.4551731749206007	0.4761293447242455
ec1349	0.5029736950477078	0.3864033130582387	0.4678997967966178	0.5169997223077707	0.3649460724565594	0.4775674126905117	0.4901794207615815	0.4703409402058439	0.4981316614963147	0.3877496866138641	0.4496621895369906	0	0.3771826247126687	0.3791403405929432	0.4142492579009086	0.4146680230214148	0.4040047153950444	0.5165065758302981	0.3871215380331001	0.4626232953890316	0.5255636961729238	0.4968642852639913	0.3500226695436921	0.4402900569316175	0.4443190623377672	0.415095115204302	0.4368364556153845	0.3372357381771255	0.4082279880450352	0.4714125871473149	0.3241935229011025	0.364520240812522	0.4032556577920885	0.5094200173223808	0.2563771970749684	0.4995455358522415	0.4537802338923195	0.3842441371224039	0.37163885563995	0.417123826683215	0.4545732442210282	0.5047386288419934	0.756072862094783	0.3927556914726541	0.4860594479971769	0.4973003350391052	0.6151847932489087	0.4537405109151272	0.5381125471916278	0.4777291591776585	0.5071919527628237	0.5922438618620156	0.4892408276039521	0.4103452883991836	0.4733430905759466	0.4431155586335349	0.449940418713088
ec1356	0.5858620710906298	0.07577850136446554	0.3978057186089484	0.5847948439986519	0.542733767940302	0.5351332848606892	0.5811900558010914	0.3056231975765486	0.3817771515237318	0.2535983691171567	0.3867985334614608	0.3771826247126687	0	0.07989119528449111	0.1407170360981749	0.3101366692005633	0.1064691048966958	0.5549167177606608	0.3350649163745121	0.5782571780649742	0.3399137140026492	0.2839751962039979	0.121284785015687	0.2446080773564469	0.2466742561134034	0.1482390375455515	0.186402569270718	0.3082829445969683	0.366357812205605	0.2395524449561648	0.3652752667865112	0.467498510606672	0.2045770345420898	0.3318212353019178	0.3287277539422556	0.3681550351840646	0.3542575563474991	0.4053390371184037	0.2929859492669656	0.1305774113778965	0.2476030867616174	0.3223024455053125	0.8132739670527195	0.1186782651599156	0.4744207008879288	0.3721969291624173	0.5823952505720312	0.4384277290374221	0.5911816550073313	0.3630750340712949	0.3905643110672372	0.4900458767129955	0.2542139268635171	0.3696266807462467	0.3598308495614475	0.3898160796182474	0.4284722924969672
ec1358	0.5804131712676314	0.09349892214687404	0.4017407595952661	0.5810776083497823	0.5316020877444591	0.5314928582179602	0.5870557456300113	0.325990446953929	0.3819806157779125	0.2578196097565064	0.3868003481404119	0.3791403405929432	0.07989119528449111	0	0.1726170570226351	0.3148626387699068	0.1314501821312681	0.5654812616598001	0.3331219554558595	0.5879900015810331	0.3420127020807079	0.2934072584364187	0.125324153667927	0.2595382852105613	0.2661626869144064	0.1677727418800363	0.198620216048531	0.3114494927679313	0.361788919110873	0.2445023103065836	0.380793812121002	0.4705533304287009	0.2160343030635298	0.3387302684986012	0.3455455445690451	0.3743145029796181	0.3565905968809863	0.4133645375114545	0.2959200406096358	0.1312747608257971	0.2662021058418969	0.3293644812918458	0.8130882970460634	0.1426463842826845	0.4569765124270839	0.3773347967101733	0.5818601486507934	0.4455321720267631	0.5917163151248735	0.370386139642611	0.3965812889887294	0.4891521941194655	0.2770860578025627	0.3692523762252938	0.3600539550781274	0.3933063121764263	0.4270816411189105
ec1359	0.5535282152997371	0.1623821091526386	0.3345623641884317	0.5401524007900846	0.4922951080638951	0.5143885155222918	0.5399849504425475	0.2845854907767347	0.4188179279473697	0.3075057913349099	0.3399258392304855	0.4142492579009086	0.1407170360981749	0.1726170570226351	0	0.3718380607598852	0.1881747802180834	0.5208325833618084	0.3847678507556048	0.5578477800038018	0.3823534344196706	0.3394532893558613	0.2014765185075356	0.2967217381032735	0.2502790805169479	0.09564939678459441	0.2712275223324521	0.3547590143744789	0.4067592364255888	0.1962534401625407	0.4126735399582488	0.4572790559973577	0.2707103599164968	0.3726521777726857	0.3864461111654846	0.3456176404992747	0.4017939157496844	0.4596871685165869	0.3353809707874855	0.204747431815989	0.3050784495886197	0.3162755923883419	0.7892392586091619	0.2206284203347327	0.4427850569272777	0.3951125571509451	0.5494810514366901	0.4730324244204939	0.5879954210233242	0.3198663076739356	0.4065882589313706	0.4694924096735389	0.3239142491172806	0.3486411820273786	0.3806228075780804	0.4290330636113913	0.4613783841938593
ec1361	0.5729010526614884	0.325364166727838	0.5297128412260813	0.5603964477802994	0.5562200378583279	0.5484947215888044	0.6121874047298191	0.4062643272108711	0.4657404477474039	0.402021443407708	0.4447842697025322	0.4146680230214148	0.3101366692005633	0.3148626387699068	0.3718380607598852	0	0.2879298231241937	0.6215946844250578	0.397592525292064	0.615263765698734	0.4345536440102663	0.392287157070358	0.2548677648913389	0.3573115791020146	0.401249353376076	0.369580444525754	0.2928294622850746	0.408741142640197	0.4673352158547655	0.3692428704418279	0.4205260325326572	0.5510528641797112	0.3041733099839669	0.4515077892486669	0.4527386108551634	0.4101837428886165	0.3670722748530231	0.507016967587649	0.4204036918890063	0.2830658856164275	0.4024292601865827	0.4428113177642408	0.7788330452793399	0.29599099579976	0.5297516592647185	0.3997985653839887	0.5971795473010413	0.5034656566370622	0.5265681457697319	0.3797175411330779	0.4286972747131677	0.4441566072303166	0.3878224156567755	0.4000284521108702	0.4427747701093305	0.4016990222661094	0.4512678875829373
ec1362	0.5792827844966202	0.1138562329882543	0.4148307792139045	0.5755222037847827	0.5314199839839666	0.5334225042396242	0.5975944791821842	0.3517602383154955	0.322885480720134	0.2412660480451194	0.3800131210703974	0.4040047153950444	0.1064691048966958	0.1314501821312681	0.1881747802180834	0.2879298231241937	0	0.5506507893646106	0.2956070878781928	0.5720315737793772	0.2755966916015598	0.2399919770221026	0.1191438953829468	0.2276480135644456	0.2862038586008523	0.1765678528635943	0.1178443960964402	0.3415571443975458	0.3518707946390849	0.1896595288148541	0.3748421571958222	0.4874963350855995	0.1330843520439307	0.3257414194424537	0.3262302814958059	0.3343598162934243	0.2937131178128959	0.4148220067222439	0.2822966019120799	0.03972603650456291	0.245904897920781	0.3250927332466666	0.806452483487526	0.1426569663862794	0.4773655869124936	0.3679270399087818	0.5917428342456136	0.4427220013175692	0.5851437288500846	0.3346227676484831	0.3854801964086267	0.4641800593828096	0.2763704809739216	0.3712630657837899	0.3609160843491155	0.3607954828723812	0.3908553067368959
ec1368	0.496320848201428	0.5623405498349942	0.5424565300530205	0.5821760258384089	0.5056096289451607	0.6248976561064841	0.5284034927559758	0.4822317290615564	0.4717371599326947	0.5404925421934866	0.4948157880205671	0.5165065758302981	0.5549167177606608	0.5654812616598001	0.5208325833618084	0.6215946844250578	0.5506507893646106	0	0.5049234825542285	0.4416041042255345	0.5161260163743222	0.5894866723918748	0.5715773168082798	0.5582207930738557	0.5447191198194307	0.5025858686034341	0.5859153965705194	0.5266594411851309	0.5111722995592314	0.5027926198316467	0.5017644105769058	0.4702099417628956	0.5872463024729871	0.4946626456715589	0.4751294020195336	0.568612043871389	0.604113388672301	0.4864314942421969	0.4746355239238208	0.5584825781885976	0.5708077251417772	0.6011271251013387	0.7075477447199662	0.5908260943404017	0.527423378701195	0.5822660279420546	0.657619042429888	0.4642550359788927	0.5938128562101253	0.5592273275186033	0.624145459824067	0.6271820784691483	0.585142641007651	0.5879230722913463	0.6296448472441113	0.6192608312746878	0.6282303811036005
ec1375	0.4875665240532846	0.3345705183287954	0.46542101509425	0.512466621173933	0.4153836436671613	0.5485827120688591	0.5117256581012835	0.4843571474499848	0.4548968675664352	0.249949075578158	0.5061141825380605	0.3871215380331001	0.3350649163745121	0.3331219554558595	0.3847678507556048	0.397592525292064	0.2956070878781928	0.5049234825542285	0	0.5277322083252091	0.3962883901122983	0.3665831105867163	0.3132041108445218	0.3507742160372742	0.421123161469917	0.3760565533437942	0.2454131989424083	0.3056346439887118	0.2630349405403004	0.3322743661093152	0.3587890245921493	0.3969419054114847	0.2546558711859303	0.3913223600832849	0.2788205035651629	0.4422940874426837	0.3872149169834928	0.2925877158873652	0.1539060710236126	0.2756114257934371	0.3851196611159373	0.4640581515862445	0.759530741123303	0.347861835734171	0.4463611251473331	0.4367690048765087	0.5793316518831896	0.3342554573294405	0.5189215884854856	0.4220863267723478	0.4997067119041517	0.5213943038480376	0.3324889074345748	0.3869533665049477	0.4891314558229717	0.4097524226091647	0.4371637465777715
ec1377	0.4995599394699672	0.5846170956156096	0.5648135366654982	0.5289438938706945	0.4874038927601272	0.6069112220715085	0.5576503808772328	0.4757583122031257	0.5096444992795736	0.5533628045498062	0.4569666007083388	0.4626232953890316	0.5782571780649742	0.5879900015810331	0.5578477800038018	0.615263765698734	0.5720315737793772	0.4416041042255345	0.5277322083252091	0	0.5427031754443107	0.5224644638376931	0.5685733533437836	0.5586494277372633	0.4586756828631267	0.5523700414359118	0.5870465861726147	0.5618629692907058	0.4582200688154939	0.5533123900038271	0.5332252461486195	0.3652566585832673	0.5916795163984758	0.5005017449094034	0.4590809286788244	0.4581019973029126	0.5155799376889191	0.4331606465099057	0.5166997902188837	0.5822734688262162	0.592494694123793	0.6198647572548441	0.6880466873206784	0.6006268494353556	0.583565135801773	0.5844714343307486	0.6398679743806708	0.5537641046442232	0.5701263365436066	0.5760735023719485	0.6219109935077323	0.6331267018316838	0.6054538055786349	0.552503560203885	0.6147585479573937	0.5689816249288079	0.614239419497805
