	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1393	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti129	eti133	eti134	eti135	eti97
ec1346	0.1326584937563078	0.1264014694377387	0.3721711194021944	0.1331257076564203	0.2929460080088209	0.2734423155344328	0.3523005868200288	0.109894728697546	0.3253489081723639	0.2272113755698392	0	0.09074377121368868	0.2193409614328506	0.1169150434395568	0.09522519885451934	0.1105462441017226	0.0724854350703622	0.1922465259019119	0.119291503416458	0.1490249783451383	0.1061028395313145	0.09151059331228834	0.1133995175536147	0.1089764042339029	0.1221400437467907	0.07237174040199425	0.1333088958129599	0.1081198986191516	0.09882502702578229	0.09270043051059362	0.1181134326325897	0.09892254690790635	0.08628820526436665	0.1107156378422589	0.1043311936874634	0.111277131598577	0.1147657765814651	0.286121113259642	0.3511534651504872	0.2433917908680836	0.334935788015532	0.1097969430068063	0.1295122009640361	0.2312909654555761	0.145158382040611	0.1109322011791692	0.09882786223359086	0.1091304651140762	0.1171956412571761	0.1208504496269663	0.130607864117091	0.06345152114628855	0.360386634303684	0.1200755813409272	0.1165783954609168	0.113125762715775	0.1035974775982681	0.1126066553914035	0.1049479653846752	0.09309097149562175
ec1349	0.1354794497442818	0.07674774761424127	0.3969280193067447	0.1142511836458037	0.3153597659081281	0.2680341212326473	0.3300718626263355	0.07127971309992102	0.3849976407991539	0.2427287802605182	0.09074377121368868	0	0.2050095621062888	0.07165832457611487	0.06263297151568718	0.07454186850643081	0.07286753141640363	0.2032073122242729	0.08213265283264801	0.1756113242186123	0.08603234791522994	0.06139533048518468	0.07925334479481434	0.07654207882228899	0.07718350455754731	0.1000483478712865	0.09074615469596044	0.07763380335078096	0.05141350957829378	0.05244391566705291	0.07924891469723028	0.06103333767438978	0.03933423805149989	0.08024274908227727	0.0758450355123956	0.07212469693561087	0.07629874936022545	0.3188272910287475	0.3699866065875077	0.2533740929484325	0.329849914908497	0.07594323398193337	0.07739074905597608	0.2342836272938212	0.1015015695200908	0.05272168470060094	0.05127649013771696	0.06339169393413738	0.08367058929056653	0.07512551791016148	0.08637379301901113	0.08076094129232572	0.354081498981568	0.08407011806719303	0.08283109953882385	0.07344400122474774	0.06110997105612766	0.08663848607970612	0.06410646233493512	0.09673841221949456
ec1356	0.1832692564396299	0.1921821735914308	0.3538952522424147	0.2126787299179877	0.3266563872940755	0.1773688609725429	0.2999589637081924	0.2130952774088015	0.3757208147359545	0.2252010766376134	0.2193409614328506	0.2050095621062888	0	0.2127550603109845	0.2185533969020713	0.2210566998771408	0.2068722548314842	0.2430791513012389	0.226044437228374	0.2297043594781179	0.2395112819582718	0.2245221234777209	0.2219557170367639	0.2215866594090821	0.2188686175243834	0.2331688720831272	0.224233481897562	0.2286687136539751	0.1788618949213886	0.2200232727425869	0.2214975799871189	0.2109441652024425	0.2159286189354879	0.2323476274337011	0.2263488097125901	0.2205467241822633	0.2243089025207465	0.3110972281294492	0.3463158063194338	0.2731448857037661	0.1988845660851973	0.2212052464032438	0.2133945763122869	0.2384670827312078	0.2353072266502762	0.2082726798370259	0.2101763135135674	0.2075661279411532	0.2302451758821261	0.2179964365188386	0.2266863946374827	0.2039223746027406	0.2234156622025862	0.2243041778186585	0.2276352661938048	0.2268577105115587	0.2142997117826332	0.2063244295010412	0.2232392035012558	0.2066975932224233
ec1358	0.1741891289378308	0.05435407896268438	0.4265515543280076	0.1388660631758583	0.3590462403807925	0.2989448122998877	0.3698564969477592	0.01972021960628913	0.400318382148857	0.2500258274042312	0.1169150434395568	0.07165832457611487	0.2127550603109845	0	0.04432351721638776	0.01925161855141499	0.08630904845503749	0.2482371916361753	0.02673216618319856	0.2172188578882644	0.04636226748584628	0.04123090000826179	0.02290047478234114	0.02818298229416287	0.03589579072370828	0.1097673095155471	0.03584155517680154	0.03547658196451303	0.07139010633793083	0.06262198003004538	0.03200248104314794	0.06172540216014503	0.06113275913956178	0.03156623805650567	0.0297065603738498	0.01921582216008113	0.02560165830885604	0.3359849368508684	0.3767477704737996	0.2902076063927792	0.3330459283586925	0.02451785500607965	0.04684250917327003	0.2627546979671435	0.03648918632236534	0.04258923093497291	0.05069011404426244	0.05963977743515007	0.02787542559163713	0.02960302964090263	0.0249720959916488	0.09307165058872918	0.3591303867180218	0.02567850901870211	0.02944514571881263	0.04071070003381752	0.07536418680733802	0.0876740538083525	0.04593321060099331	0.1051273452543367
ec1359	0.173040431025585	0.06784963800995465	0.4187221118034912	0.1466095091211038	0.3589914122028366	0.2956231820178296	0.3679303922739299	0.03918522994195068	0.3993041127738594	0.2518597713742863	0.09522519885451934	0.06263297151568718	0.2185533969020713	0.04432351721638776	0	0.03745261467993503	0.08618884876199739	0.2488331409463295	0.0485296173686524	0.2170115977072891	0.03330354580933048	0.02547294375875084	0.03462788454513167	0.03405277294521464	0.05235948124277005	0.1121199404059833	0.0662259089673161	0.02725753798712486	0.07289163159394743	0.06024433248324617	0.02922187179193634	0.04248705159717067	0.03951518883863701	0.03280581823117006	0.02808788670760418	0.03755736808126508	0.05193212847975391	0.3346432852473831	0.3751240020315526	0.2801189206289336	0.3337217861608602	0.04158591956619626	0.06282859255519413	0.2640339983669103	0.07463886737978542	0.05559924440898686	0.05195151973820546	0.06711993874497535	0.04068798122500364	0.05169783256580808	0.05930864205305671	0.08849677736493378	0.3587027473045553	0.0490422159574208	0.04072980990493487	0.04588069848157553	0.07826299463283933	0.1009583472628423	0.04029906852119651	0.09213344477842414
ec1361	0.1831380935113416	0.06805051620827357	0.4341796938755629	0.1498921905562399	0.3681869370451981	0.3073908081875087	0.3783738867662378	0.02429641593654388	0.4066437171501182	0.2601096726833726	0.1105462441017226	0.07454186850643081	0.2210566998771408	0.01925161855141499	0.03745261467993503	0	0.09623399120569567	0.2588881781109225	0.0190058315741813	0.2261056807108558	0.03746846889043307	0.0321759581428147	0.0176962154540409	0.02005824443667648	0.04623295797003634	0.1214592462783672	0.04656625759347331	0.02478264163656243	0.08275955542098561	0.06759866949805816	0.0286614420301247	0.05201091745414332	0.05174323890580156	0.02217221312238424	0.02245202910580289	0.01734961113732078	0.02544326340331228	0.3407074716564571	0.3838587537051352	0.2926758579399146	0.3387888207344111	0.01892688648384356	0.05783047068008386	0.2701786670714838	0.0454464569457555	0.05761054627845813	0.05938289017430328	0.07189880476684818	0.01856553574091786	0.0342969792399574	0.02898886161426329	0.0937547365184286	0.3649016534338913	0.02074481487516618	0.02265312889374109	0.03332845079221909	0.08604495094289624	0.1005331520151414	0.04228640056710072	0.09797943560447805
ec1362	0.1278259320234909	0.07775146689458516	0.3641799360059085	0.1108034479139371	0.3003254643791323	0.2541334565536891	0.3351502094964822	0.09607479505845321	0.3304873793753537	0.2136074317631191	0.0724854350703622	0.07286753141640363	0.2068722548314842	0.08630904845503749	0.08618884876199739	0.09623399120569567	0	0.1735453798657337	0.1074534447801392	0.1387211175153815	0.1051038433101802	0.08001677384595345	0.1013462096534999	0.09732102927359933	0.0667352202702635	0.05792591394300679	0.08646157894111182	0.09741880697409547	0.06729292364219731	0.06477842047244466	0.1023459208063327	0.09180428634036256	0.08075041731684207	0.1027429352576073	0.09769523997275392	0.0847287532372519	0.09341946182736616	0.2673311996361294	0.3357021817291564	0.2422865389809483	0.3298433710463347	0.09388463760201354	0.07405648580548529	0.2239090853795104	0.09375131054129861	0.08242058161666554	0.06345259445151005	0.07256055337240776	0.1068243115435865	0.0976746634896713	0.09442770033808787	0.06327586507438487	0.35425824807492	0.1067726775122297	0.1073581202715727	0.1001104805537303	0.06181931451852616	0.06540487636744051	0.08536822930622968	0.1095232828618178
ec1368	0.1403583119147082	0.2294875602945223	0.365929230911495	0.1683595558489762	0.2288277026835773	0.2756097234034042	0.2261598772604516	0.2544903302439395	0.3521035358897713	0.2556931031377194	0.1922465259019119	0.2032073122242729	0.2430791513012389	0.2482371916361753	0.2488331409463295	0.2588881781109225	0.1735453798657337	0	0.2667979518170137	0.1302540824112863	0.2593570981929416	0.2403716572104068	0.2637137754849747	0.2590319422628419	0.226560629550803	0.2014811037930501	0.2453783060643246	0.2606187616867987	0.2067093143929727	0.2150297817355995	0.2625824262581971	0.247423989289814	0.2214141795095974	0.2631095524210511	0.2569174325221369	0.2467884883925467	0.2461463624896903	0.2985375012611975	0.3760822920559303	0.2331810716317113	0.3697773142359222	0.2546430415175175	0.2302527551868866	0.2279799277058835	0.2556365992481349	0.2213201700618698	0.2208183663241167	0.2261819683244742	0.2661231383308902	0.2567065883333052	0.2563504311562719	0.1952250357035825	0.3933977040382757	0.2682355812534372	0.2630786009276033	0.2461458931269337	0.2114387816383242	0.2166615406864824	0.2392743062598926	0.2389776820120564
ec1375	0.1875939538516899	0.07513452182840577	0.4447242307976194	0.1586244672924178	0.3766067051567091	0.3159996988035243	0.3879153868531156	0.02756635865533757	0.4179979736792944	0.2615509032285953	0.119291503416458	0.08213265283264801	0.226044437228374	0.02673216618319856	0.0485296173686524	0.0190058315741813	0.1074534447801392	0.2667979518170137	0	0.2359697087792533	0.04643461858824639	0.04403762456569759	0.0211403092210996	0.02886761704016516	0.05514798407479478	0.1316455369872468	0.05293817864316263	0.03542955518831139	0.08698345993123774	0.07503623527648375	0.03554368570310475	0.06092479917147131	0.06174935563559733	0.03191883354994236	0.03040276862924792	0.02711431322937588	0.03474888571264421	0.3541813886727719	0.3916421798693912	0.2998444046758456	0.3428126092587281	0.02268688394325605	0.06502056806690129	0.2784564755142518	0.03981236538306279	0.06381737541491554	0.06632995488114685	0.07331884323722945	0.01938275152463987	0.03504590274071934	0.02150831356278548	0.1018803725904975	0.3686535293388305	0.006046493323106578	0.02452897937384618	0.0369541350468978	0.09672092316999988	0.1049914778135706	0.05059799362709859	0.1048372637390896
ec1377	0.1276888813498072	0.2051420156039666	0.3532871197376984	0.139443925792707	0.2435209541754438	0.2543253228022908	0.2932490302800351	0.2233145993146707	0.3107764137845341	0.2301627860749643	0.1490249783451383	0.1756113242186123	0.2297043594781179	0.2172188578882644	0.2170115977072891	0.2261056807108558	0.1387211175153815	0.1302540824112863	0.2359697087792533	0	0.2266796205012582	0.2038072350899218	0.2320136163991991	0.2255066665627835	0.1881142787689976	0.1458325747195596	0.2064039128145365	0.2229641006571152	0.1876913250735512	0.1759831045571784	0.2313356277518806	0.2184504723667331	0.1876759729813373	0.2283925389450137	0.2239784341325198	0.2146930840513553	0.2109645084206224	0.246547265035492	0.34707166073456	0.2303044362177699	0.351909180460351	0.2234694322220683	0.1968049671054461	0.1528054993723398	0.2151509933066525	0.1963404253602219	0.1879049866466145	0.1952592679818828	0.2347110634686118	0.2239154304667028	0.2253575044060249	0.1661893398467146	0.3755577641803723	0.237703713579568	0.2317312360741699	0.2138413873436427	0.1740390940432105	0.1692069788738154	0.2017761013925569	0.2028411799872187
