	ec1249	ec1257	ec1262	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1330	ec1346	ec1349	ec1356	ec1358	ec1359	ec1361	ec1362	ec1368	ec1375	ec1377	ec1378	ec1380	ec1390	ec1391	ec1392	ec1394	ec1396	ec1400	ec1406	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	ec1438	eti101	eti102	eti105	eti107	eti109	eti111	eti113	eti114	eti116	eti117	eti118	eti121	eti123	eti125	eti133	eti134	eti135
eti111	0.628	0.566	0.912	0.592	0.812	0.642	0.904	0.614	0.734	0.748	0.57	0.518	0.788	0.568	0.648	0.466	0.544	0.618	0.546	0.644	0.714	0.492	0.596	0.726	0.376	0.624	0.624	0.418	0.2	0.66	0.642	0.528	0.622	0.57	0.546	0.392	0.732	0.818	0.6	0.758	0.402	0.516	0.724	0.658	0.556	0.0	0.696	0.558	0.596	0.328	0.498	0.804	0.566	0.772	0.404	0.61	0.52
eti113	0.676	0.818	0.932	0.878	0.8	0.916	0.928	0.64	0.926	0.67	0.742	0.75	0.786	0.744	0.81	0.73	0.86	0.82	0.556	0.92	0.896	0.78	0.714	0.78	0.668	0.892	0.838	0.644	0.756	0.852	0.794	0.792	0.834	0.746	0.844	0.64	0.84	0.9	0.806	0.848	0.818	0.816	0.882	0.892	0.728	0.696	0.0	0.78	0.442	0.784	0.6	0.85	0.554	0.828	0.676	0.624	0.72
eti114	0.838	0.862	0.94	0.866	0.88	0.898	0.912	0.608	0.91	0.808	0.344	0.498	0.872	0.578	0.374	0.392	0.836	0.81	0.354	0.896	0.284	0.434	0.556	0.804	0.726	0.886	0.222	0.666	0.522	0.468	0.224	0.238	0.192	0.158	0.84	0.544	0.8	0.926	0.598	0.772	0.288	0.842	0.892	0.878	0.576	0.558	0.78	0.0	0.674	0.558	0.464	0.804	0.354	0.86	0.616	0.806	0.35
eti116	0.558	0.814	0.946	0.862	0.78	0.874	0.928	0.434	0.898	0.654	0.6	0.604	0.822	0.604	0.668	0.56	0.812	0.834	0.502	0.878	0.784	0.59	0.442	0.602	0.63	0.782	0.702	0.508	0.628	0.718	0.7	0.65	0.694	0.652	0.696	0.5	0.812	0.926	0.66	0.768	0.67	0.822	0.854	0.794	0.58	0.596	0.442	0.674	0.0	0.676	0.492	0.804	0.496	0.658	0.564	0.682	0.586
eti117	0.664	0.586	0.98	0.678	0.896	0.698	0.96	0.6	0.806	0.794	0.562	0.47	0.828	0.678	0.618	0.444	0.432	0.64	0.502	0.71	0.658	0.488	0.616	0.758	0.446	0.698	0.594	0.446	0.322	0.614	0.602	0.484	0.542	0.562	0.612	0.408	0.782	0.89	0.608	0.766	0.368	0.402	0.772	0.732	0.616	0.328	0.784	0.558	0.676	0.0	0.494	0.806	0.514	0.802	0.498	0.672	0.546
eti118	0.648	0.756	0.884	0.782	0.866	0.796	0.872	0.52	0.81	0.61	0.428	0.504	0.834	0.64	0.504	0.406	0.788	0.74	0.376	0.79	0.566	0.452	0.528	0.754	0.578	0.8	0.524	0.422	0.416	0.54	0.498	0.404	0.47	0.448	0.768	0.324	0.732	0.866	0.598	0.768	0.44	0.758	0.774	0.794	0.59	0.498	0.6	0.464	0.492	0.494	0.0	0.81	0.37	0.806	0.55	0.66	0.394
eti121	0.906	0.948	0.984	0.966	0.938	0.926	0.986	0.822	0.978	0.846	0.818	0.806	0.886	0.804	0.826	0.808	0.91	0.906	0.804	0.978	0.854	0.82	0.806	0.86	0.83	0.966	0.826	0.818	0.808	0.816	0.826	0.808	0.818	0.806	0.928	0.812	0.896	0.962	0.812	0.098	0.814	0.926	0.966	0.96	0.814	0.804	0.85	0.804	0.804	0.806	0.81	0.0	0.8	0.884	0.8	0.9	0.806
eti123	0.708	0.764	0.978	0.882	0.844	0.926	0.964	0.394	0.94	0.688	0.324	0.47	0.774	0.668	0.39	0.382	0.87	0.8	0.096	0.934	0.46	0.376	0.524	0.766	0.632	0.902	0.388	0.496	0.546	0.536	0.378	0.334	0.376	0.36	0.862	0.468	0.848	0.864	0.586	0.766	0.372	0.836	0.908	0.898	0.624	0.566	0.554	0.354	0.496	0.514	0.37	0.8	0.0	0.81	0.6	0.71	0.338
eti125	0.75	0.874	0.988	0.898	0.864	0.9	0.976	0.792	0.916	0.818	0.81	0.79	0.87	0.79	0.888	0.756	0.84	0.844	0.804	0.894	0.926	0.824	0.692	0.126	0.8	0.798	0.878	0.802	0.776	0.886	0.882	0.788	0.862	0.842	0.42	0.776	0.842	0.932	0.83	0.882	0.816	0.846	0.896	0.814	0.802	0.772	0.828	0.86	0.658	0.802	0.806	0.884	0.81	0.0	0.758	0.818	0.802
eti133	0.568	0.616	0.84	0.528	0.794	0.674	0.784	0.654	0.664	0.732	0.594	0.58	0.818	0.558	0.734	0.52	0.65	0.534	0.596	0.528	0.782	0.574	0.634	0.686	0.356	0.518	0.714	0.504	0.386	0.71	0.706	0.616	0.686	0.63	0.638	0.406	0.714	0.918	0.656	0.764	0.518	0.598	0.57	0.524	0.55	0.404	0.676	0.616	0.564	0.498	0.55	0.8	0.6	0.758	0.0	0.452	0.436
eti134	0.594	0.658	0.844	0.564	0.828	0.698	0.83	0.774	0.666	0.786	0.798	0.78	0.864	0.746	0.898	0.74	0.706	0.574	0.674	0.602	0.938	0.72	0.792	0.786	0.472	0.614	0.852	0.644	0.6	0.9	0.886	0.766	0.828	0.826	0.674	0.542	0.734	0.918	0.842	0.9	0.704	0.646	0.626	0.624	0.698	0.61	0.624	0.806	0.682	0.672	0.66	0.9	0.71	0.818	0.452	0.0	0.644
eti135	0.806	0.818	0.842	0.718	0.814	0.832	0.8	0.526	0.786	0.722	0.298	0.524	0.872	0.618	0.424	0.41	0.794	0.668	0.326	0.734	0.464	0.402	0.606	0.76	0.558	0.71	0.416	0.608	0.456	0.536	0.42	0.324	0.384	0.36	0.832	0.468	0.758	0.936	0.57	0.766	0.356	0.78	0.724	0.714	0.592	0.52	0.72	0.35	0.586	0.546	0.394	0.806	0.338	0.802	0.436	0.644	0.0
