	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1177	0.8416666666666667	0.9583333333333334	0.8666666666666667	1.0	0.85	0.85	0.8666666666666667	0.6083333333333333	0.95	0.9916666666666667	0.0	0.875	0.6916666666666667	0.975	0.7666666666666667	0.9333333333333333	0.925	0.875	0.8083333333333333	0.8916666666666667	0.8833333333333333	0.875	0.9583333333333334	0.725	0.975	0.7083333333333334	0.7333333333333333	0.8083333333333333	0.9583333333333334	0.5083333333333333	0.7	0.7333333333333333
ec1178	0.925	0.9416666666666667	0.7833333333333333	1.0	0.875	0.75	0.9	0.6333333333333333	0.9166666666666666	0.9916666666666667	0.875	0.0	0.5916666666666667	0.9583333333333334	0.65	0.625	0.8416666666666667	0.7333333333333333	0.75	0.7583333333333333	0.6833333333333333	0.7	0.925	0.4666666666666667	0.775	0.6416666666666667	0.8333333333333334	0.575	0.5916666666666667	0.6583333333333333	0.7333333333333333	0.6916666666666667
ec1185	0.8416666666666667	0.95	0.6916666666666667	1.0	0.8583333333333333	0.6083333333333333	0.875	0.6583333333333333	0.9166666666666666	0.9916666666666667	0.6916666666666667	0.5916666666666667	0.0	0.9666666666666667	0.725	0.8	0.8083333333333333	0.5916666666666667	0.6333333333333333	0.7416666666666667	0.7	0.6916666666666667	0.9	0.5	0.9666666666666667	0.5083333333333333	0.6166666666666667	0.6083333333333333	0.5333333333333333	0.48333333333333334	0.5583333333333333	0.5166666666666667
ec1253	0.9666666666666667	0.975	0.9333333333333333	1.0	0.975	0.9583333333333334	0.975	0.975	0.975	0.9916666666666667	0.975	0.9583333333333334	0.9666666666666667	0.0	0.975	0.9666666666666667	0.9583333333333334	0.9833333333333333	0.975	0.9166666666666666	0.9583333333333334	0.9916666666666667	0.9916666666666667	0.9666666666666667	0.9833333333333333	0.9666666666666667	0.9583333333333334	0.9666666666666667	0.9583333333333334	0.9666666666666667	0.95	0.9583333333333334
ec1256	0.7916666666666666	0.9416666666666667	0.7833333333333333	1.0	0.875	0.7833333333333333	0.8916666666666667	0.5833333333333334	0.9333333333333333	0.9916666666666667	0.7666666666666667	0.65	0.725	0.975	0.0	0.36666666666666664	0.475	0.75	0.4166666666666667	0.7416666666666667	0.775	0.5666666666666667	0.625	0.6166666666666667	0.55	0.5833333333333334	0.7083333333333334	0.6916666666666667	0.7333333333333333	0.55	0.575	0.725
ec1261	0.9083333333333333	0.9333333333333333	0.8166666666666667	1.0	0.9416666666666667	0.8166666666666667	0.9666666666666667	0.7083333333333334	0.8833333333333333	0.9916666666666667	0.9333333333333333	0.625	0.8	0.9666666666666667	0.36666666666666664	0.0	0.5166666666666667	0.7333333333333333	0.6083333333333333	0.8083333333333333	0.7083333333333334	0.49166666666666664	0.625	0.6666666666666666	0.5833333333333334	0.7416666666666667	0.8833333333333333	0.9	0.6333333333333333	0.7	0.7333333333333333	0.7916666666666666
ec1264	0.9	0.9583333333333334	0.8666666666666667	1.0	0.9583333333333334	0.8416666666666667	0.9833333333333333	0.75	0.925	0.9916666666666667	0.925	0.8416666666666667	0.8083333333333333	0.9583333333333334	0.475	0.5166666666666667	0.0	0.8166666666666667	0.5416666666666666	0.7333333333333333	0.8666666666666667	0.6416666666666667	0.675	0.7833333333333333	0.675	0.7416666666666667	0.9	0.825	0.725	0.675	0.825	0.8
ec1269	0.6416666666666667	0.975	0.7666666666666667	1.0	0.975	0.65	1.0	0.875	0.9333333333333333	1.0	0.875	0.7333333333333333	0.5916666666666667	0.9833333333333333	0.75	0.7333333333333333	0.8166666666666667	0.0	0.6	0.8166666666666667	0.725	0.5333333333333333	0.8916666666666667	0.575	0.975	0.5166666666666667	0.49166666666666664	0.5833333333333334	0.65	0.7	0.6083333333333333	0.625
ec1272	0.6416666666666667	0.95	0.7083333333333334	1.0	0.9083333333333333	0.75	0.9333333333333333	0.675	0.8916666666666667	0.9916666666666667	0.8083333333333333	0.75	0.6333333333333333	0.975	0.4166666666666667	0.6083333333333333	0.5416666666666666	0.6	0.0	0.675	0.8	0.55	0.675	0.5916666666666667	0.7	0.4083333333333333	0.5916666666666667	0.45	0.6416666666666667	0.49166666666666664	0.5916666666666667	0.7166666666666667
ec1280	0.8833333333333333	0.9416666666666667	0.8416666666666667	0.7083333333333334	0.6083333333333333	0.825	0.95	0.7333333333333333	0.7083333333333334	0.9333333333333333	0.8916666666666667	0.7583333333333333	0.7416666666666667	0.9166666666666666	0.7416666666666667	0.8083333333333333	0.7333333333333333	0.8166666666666667	0.675	0.0	0.625	0.7583333333333333	0.8666666666666667	0.6833333333333333	0.8833333333333333	0.6833333333333333	0.8833333333333333	0.7166666666666667	0.7166666666666667	0.6333333333333333	0.8	0.775
ec1285	0.875	0.9416666666666667	0.7916666666666666	0.7666666666666667	0.6583333333333333	0.75	0.9333333333333333	0.8	0.7666666666666667	0.9416666666666667	0.8833333333333333	0.6833333333333333	0.7	0.9583333333333334	0.775	0.7083333333333334	0.8666666666666667	0.725	0.8	0.625	0.0	0.7333333333333333	0.9	0.7166666666666667	0.8916666666666667	0.75	0.8083333333333333	0.7916666666666666	0.7416666666666667	0.75	0.725	0.725
ec1288	0.825	0.9666666666666667	0.775	1.0	0.975	0.75	1.0	0.775	0.8833333333333333	1.0	0.875	0.7	0.6916666666666667	0.9916666666666667	0.5666666666666667	0.49166666666666664	0.6416666666666667	0.5333333333333333	0.55	0.7583333333333333	0.7333333333333333	0.0	0.5333333333333333	0.5333333333333333	0.8	0.6166666666666667	0.7916666666666666	0.775	0.6083333333333333	0.575	0.6083333333333333	0.7083333333333334
ec1293	0.9583333333333334	0.975	0.8583333333333333	1.0	0.975	0.8916666666666667	1.0	0.8333333333333334	0.9416666666666667	1.0	0.9583333333333334	0.925	0.9	0.9916666666666667	0.625	0.625	0.675	0.8916666666666667	0.675	0.8666666666666667	0.9	0.5333333333333333	0.0	0.9	0.6916666666666667	0.875	0.875	0.9166666666666666	0.7666666666666667	0.8083333333333333	0.775	0.95
ec1312	0.7916666666666666	0.95	0.775	0.9833333333333333	0.8416666666666667	0.7416666666666667	0.8916666666666667	0.7166666666666667	0.8916666666666667	0.9916666666666667	0.725	0.4666666666666667	0.5	0.9666666666666667	0.6166666666666667	0.6666666666666666	0.7833333333333333	0.575	0.5916666666666667	0.6833333333333333	0.7166666666666667	0.5333333333333333	0.9	0.0	0.95	0.475	0.7	0.5416666666666666	0.5916666666666667	0.5083333333333333	0.5916666666666667	0.6083333333333333
