	ec1254	ec1270	ec1278	ec1306	ec1322	ec1325	ec1341	ec1350	ec1353	ec1354	ec1357	ec1364	ec1369	ec1372	ec1382	ec1384	ec1385	ec1386	ec1388	ec1398	ec1401	ec1403	ec1404	ec1412	ec1416	ec1417	ec1419	ec1428	ec1430	ec1433	ec1436	eti110	eti112	eti122	eti124	eti126
ec1357	0.5641513871931083	0.48028640730191435	0.43177504760738733	0.21161871251367478	0.10367145289075445	0.08575330652868421	0.30706025345025134	0.07613739322176281	0.14356824349170935	0.34435617558907744	0.0	0.07609130009811907	0.0501913760870623	0.0663376857876487	0.04687401141716707	0.09481037652009894	0.0731534769523882	0.47015482096751376	0.05254412038930105	0.03734885305070992	0.35739625480244397	0.033698149725753496	0.04874810430501508	0.08129404171342573	0.05491903521969349	0.3292181212306117	0.2602190626440539	0.04452271730781324	0.042237886397740884	0.28745071127614874	0.04209184235181373	0.03556647878194689	0.03283898026905204	0.0997438399403262	0.15411305232609895	0.06607728598347089
ec1364	0.5241658786142607	0.4402235644120391	0.38325629041158743	0.1456682626813755	0.05199599606793546	0.054344720912759575	0.267108688749064	0.03610075829400784	0.09068092911987745	0.32360919089522805	0.07609130009811907	0.0	0.04774682374765142	0.06810406102152561	0.0467603218557325	0.04355667472671738	0.09395568378562574	0.4601998006059728	0.07133199516169583	0.05965598422298143	0.3192977635465452	0.06318493025087432	0.058642970238145395	0.0584960536863368	0.04075882003252455	0.2895623721049	0.2135789291695046	0.05864102697464733	0.05119175531709087	0.26488072333823304	0.051593684075772465	0.052585100352273116	0.05823404835289165	0.03654584382236546	0.0842243989128879	0.041846159185585124
ec1369	0.5482464360745042	0.46581510090706557	0.4118854922021932	0.1812812317286406	0.07245283474845725	0.06018954017401771	0.284046998646037	0.03960449353932868	0.12012459795572841	0.3209190821705513	0.0501913760870623	0.04774682374765142	0.0	0.042163781397019186	0.025201058889016446	0.05945159476498239	0.06039043161516459	0.46562995966747744	0.034887398251224916	0.0340077176779303	0.34548927629242393	0.031101610642554976	0.01950549954185344	0.0492215734610014	0.025319915891324075	0.30581924932245985	0.23334484290050186	0.03130065110570614	0.018897089672348863	0.2684680454466835	0.020001255266094805	0.022620127012375462	0.02890021080077502	0.06738338411992313	0.12267257958095523	0.0312663681890158
ec1372	0.5405678267945873	0.45660768946894953	0.40059202193225724	0.18882324777766846	0.07276856052239492	0.05052018898144497	0.27203851277456126	0.05181148647607528	0.10605253776072693	0.30524378932684276	0.0663376857876487	0.06810406102152561	0.042163781397019186	0.0	0.04212635014335951	0.06293059177663791	0.0504577427227434	0.4625588552656887	0.026594200952270997	0.06227076169907067	0.33828604225186	0.038236972121726304	0.03708742298467243	0.042020661455073674	0.05243001670776066	0.2961730978116452	0.2368850991606228	0.054959622484537084	0.047905694256213376	0.26789295395867524	0.046493859062939596	0.052523505743767726	0.05123030970333427	0.07053051993471342	0.1396302016291963	0.04100727193659162
ec1382	0.5439242153981675	0.4619088541499085	0.40887461148910814	0.18080853314633563	0.07950410609779297	0.05849928266511515	0.2928306783297882	0.04122501193237002	0.12299041317480977	0.3247017278662812	0.04687401141716707	0.0467603218557325	0.025201058889016446	0.04212635014335951	0.0	0.0620066944782905	0.06310776728996732	0.4619355608804842	0.03986848692433932	0.034475100429452045	0.3425773663217474	0.03178823052817021	0.029234137961514695	0.05590788374779299	0.02626932811355381	0.3121906200709115	0.23796245446824885	0.029776334653880337	0.024367749294398798	0.2631997044809935	0.024748339185242822	0.028323737655670013	0.027972979950064703	0.0737494952517345	0.12293494761466789	0.03930634971283885
ec1384	0.5186127420001418	0.43648777752245427	0.3713928494362557	0.1552346220057967	0.050283668876690044	0.029453049727475304	0.26191482478404576	0.04743963677228918	0.09348509563248342	0.30658422351828696	0.09481037652009894	0.04355667472671738	0.05945159476498239	0.06293059177663791	0.0620066944782905	0.0	0.09619563082081709	0.45726976407537934	0.07377116195347075	0.08017197558010464	0.32491533503574244	0.07104825990230644	0.062467964981871585	0.059472264582930055	0.062242335475518176	0.28562241058793564	0.21535926258506005	0.0782802230024625	0.0666225150930455	0.2610084639932207	0.06472522069636864	0.06845002324220743	0.06984922365789537	0.040800421156002575	0.10308819767986103	0.04509318800650565
ec1385	0.5579280738281343	0.4725964926977631	0.41614288574070774	0.21597390977933545	0.09117612944976568	0.08490844242693156	0.2875545272642006	0.07919527905052433	0.12650635783847067	0.310302314620498	0.0731534769523882	0.09395568378562574	0.06039043161516459	0.0504577427227434	0.06310776728996732	0.09619563082081709	0.0	0.4762384616454599	0.04040417437468937	0.07445513000952154	0.3502036090808193	0.056269747428003516	0.05782163286453984	0.05692778741366555	0.07214710962755738	0.30590282638256744	0.26554008042677035	0.0684013980668518	0.06558667903999889	0.2824084719828223	0.06509510082300679	0.06607916360848103	0.065442463091204	0.09279281796589396	0.16464672567153477	0.05597388335150964
ec1386	0.4789941352895352	0.4448766181405172	0.46035356700945396	0.4572228370603069	0.45961139885361946	0.4577908046643493	0.4721242653258728	0.4626073298683843	0.4538276663712135	0.5822759824937367	0.47015482096751376	0.4601998006059728	0.46562995966747744	0.4625588552656887	0.4619355608804842	0.45726976407537934	0.4762384616454599	0.0	0.46130155289645125	0.47155854572952166	0.4752524520129297	0.46121459350984484	0.4657370489105406	0.46839006862168564	0.46517023577359556	0.45273379842239697	0.4356030351855247	0.4737583258719601	0.46784217212610785	0.26869485434347473	0.4666145442075415	0.4681334083192932	0.4671792715138581	0.4580226806653447	0.44564976085600855	0.4655844560378019
ec1388	0.5446847400747595	0.4621967180338071	0.4058289795477348	0.19789037580147978	0.08086744911707154	0.06129065948275098	0.2731465817471842	0.06466111785922192	0.11156303773090019	0.309335272540857	0.05254412038930105	0.07133199516169583	0.034887398251224916	0.026594200952270997	0.03986848692433932	0.07377116195347075	0.04040417437468937	0.46130155289645125	0.0	0.0547940193594933	0.3413494637662004	0.029512159229394843	0.03278093644828735	0.05450021390907362	0.05170203469913625	0.2987252159123693	0.24537239731708652	0.048773316151910245	0.04322394602473366	0.2749710106265988	0.04196686197619922	0.04239063986137897	0.042448645725475166	0.07653978661181561	0.14690430757189454	0.04714241748920195
ec1398	0.5659009951364821	0.4811545590109153	0.4287120181790154	0.19147444966773022	0.09562848437430042	0.08179223817950912	0.30710770679298394	0.05693503633143027	0.14250811352150883	0.3418371418154662	0.03734885305070992	0.05965598422298143	0.0340077176779303	0.06227076169907067	0.034475100429452045	0.08017197558010464	0.07445513000952154	0.47155854572952166	0.0547940193594933	0.0	0.35580082119305456	0.033363428130446335	0.03178399416483938	0.07427035976776712	0.02650300893550639	0.32914592771752693	0.25543150422107497	0.02165027686323799	0.01732997458854687	0.27506251145941185	0.01835949842551335	0.017278681231023735	0.019682712240525972	0.09098883377085307	0.1347655269393796	0.052984110216484095
