	ec1249	ec1257	ec1265	ec1298	ec1301	ec1309	ec1314	ec1317	ec1346	ec1349	ec1356	ec1359	ec1361	ec1362	ec1368	ec1378	ec1380	ec1390	ec1392	ec1393	ec1396	ec1400	ec1408	ec1409	ec1411	ec1420	ec1422	ec1424	ec1425	ec1427	ec1435	ec1437	eti111	eti121	eti125
ec1356	0.6134919515547742	0.41317547885324224	0.5717624655787809	0.5839692067420297	0.5436146921062252	0.5706480932730741	0.29079641890831986	0.45031760846712093	0.4395744465930467	0.42337695208357146	0.0	0.21065553465282322	0.17523040543423052	0.15436822538382206	0.6058736077349693	0.42635076435548525	0.3904752669501639	0.21335824960514327	0.15457103265147631	0.48900840558530023	0.17495262648563484	0.28515501805347915	0.1889151384093684	0.38262445298504516	0.39263623604783787	0.24291505091738716	0.22649338809062838	0.21706606501108228	0.4122539004096163	0.3365619549064408	0.44357311434089214	0.4527448129068663	0.5585617503035093	0.48294523774188186	0.32758809502548025
ec1359	0.551235248428463	0.49661018748005653	0.5288184865975613	0.5392974707333384	0.5148806830270943	0.5285189748630101	0.40268399597620824	0.47334572933696645	0.39038288952047523	0.3885080634314435	0.21065553465282322	0.0	0.24038020437219562	0.24342098119997088	0.569601961382937	0.46669301931068713	0.4382905241476015	0.22244362822704852	0.17546229661935334	0.5145868955883925	0.28724258974555117	0.3923634526464206	0.28371823524548356	0.41251161513850354	0.3648568356946253	0.21668451980243641	0.30976060944953476	0.29845728081908357	0.39983496582466	0.3520769138158712	0.4940214774616839	0.43593796680378805	0.5473882134536661	0.43974302210212207	0.3863770259398324
ec1361	0.5945984561366681	0.4841158268388439	0.5740838371612315	0.5490301527029213	0.5124802378742782	0.5963878732144862	0.4005142923529051	0.44577757536908025	0.4267661671148755	0.46909392608310824	0.17523040543423052	0.24038020437219562	0.0	0.18677365226201229	0.6337589048656643	0.4211950801293149	0.38581480708377247	0.2402598670328587	0.20752676152510374	0.4743289581594586	0.16647447568195703	0.38642963724480095	0.20907501872560522	0.36661020969521735	0.4270078706595655	0.23596911309643004	0.25858210405796456	0.24674740213360244	0.40726089134960053	0.3079466610604211	0.45679448180817794	0.4481847830073284	0.545842384797824	0.438588294168758	0.34579171066629616
ec1362	0.6037900824786803	0.43553565846723047	0.6051522062615114	0.6010035435076327	0.5649526314782777	0.6184176257806219	0.3320840177806219	0.38842068810726627	0.4356721727481829	0.49165476648719036	0.15436822538382206	0.24342098119997088	0.18677365226201229	0.0	0.6048980809998937	0.3533306540786933	0.325036878906018	0.19907595224433633	0.2465892738270644	0.47267928022808264	0.1568698873194584	0.30925516907602113	0.08801481788658859	0.38247916696937745	0.4221789581304622	0.2237916293334501	0.1667623975589578	0.23518339960574108	0.4078612952752829	0.314525802102411	0.47293291383940617	0.40112287132343255	0.5519446351174784	0.4361025886190119	0.28067429829704615
ec1368	0.5128155453671084	0.6873861691597567	0.5887958830676373	0.4289512474261976	0.5846589603292013	0.5365960748187758	0.5060674349345715	0.471611691474996	0.471621770491954	0.4840573348420869	0.6058736077349693	0.569601961382937	0.6337589048656643	0.6048980809998937	0.0	0.5542982109415476	0.6362864534276569	0.5792176580359674	0.6012374443798245	0.5664372774072332	0.6456581547063504	0.5201127970202603	0.6105219113058054	0.5268976254569675	0.4699049510234334	0.607309229895331	0.6217443146937253	0.6014272562050205	0.6202842607093557	0.6188232329337128	0.5240821601682268	0.4846691048658663	0.5619237685382756	0.6828369665989769	0.6149189222535858
ec1378	0.6160700844062339	0.5795647483683075	0.683934381135831	0.534879479143145	0.6513598659192861	0.6979945311314641	0.2694998143899001	0.28800692963056285	0.3599638001272144	0.615858127858491	0.42635076435548525	0.46669301931068713	0.4211950801293149	0.3533306540786933	0.5542982109415476	0.0	0.36090947695961123	0.4333504223206937	0.45878054112506844	0.3634786437377857	0.35520547646377787	0.504170148198595	0.38560727347344376	0.5482949348651925	0.5623822952773072	0.3909933523056412	0.35280731367176704	0.39523570087199383	0.4351728155507342	0.43469339255724704	0.4928150742142033	0.5049509599148934	0.6223896293797767	0.5720480397281416	0.43776589374279207
ec1380	0.6208694227398172	0.5646107606518601	0.6739740283067073	0.621550780236904	0.6399743212581949	0.6898341838688434	0.4176738681022505	0.43982771704225865	0.4900980010269325	0.5973893847472678	0.3904752669501639	0.4382905241476015	0.38581480708377247	0.325036878906018	0.6362864534276569	0.36090947695961123	0.0	0.40100111001525124	0.4308489931775562	0.5159129175351446	0.32399803366709645	0.48308755745612125	0.3534860597602956	0.5284941692778216	0.5438488582453949	0.355150183065789	0.3168539077130852	0.366029451960003	0.15053199138378057	0.15308737831261313	0.25214842191930054	0.4827227086283914	0.6061324742253487	0.5560075776190875	0.4065111094366478
ec1390	0.5691949647091671	0.45483337096258597	0.565948416817136	0.5634790696342472	0.5567684162234907	0.5679290399558866	0.3667266748924499	0.4618943373423599	0.3519712676318217	0.44181902434798714	0.21335824960514327	0.22244362822704852	0.2402598670328587	0.19907595224433633	0.5792176580359674	0.4333504223206937	0.40100111001525124	0.0	0.20506233752012673	0.49145734825705173	0.2861741243594876	0.34273365376205017	0.23652271970304461	0.451200955150103	0.38968866409416136	0.21568282463930827	0.2814080872330782	0.33587982191861004	0.40924130628686956	0.4106009537319964	0.5144819753374269	0.4036770675952347	0.5764722024519826	0.43732257919700485	0.36973308521939574
ec1392	0.5759322858433243	0.4621275471919268	0.5302762694609319	0.5259740627154498	0.5059752660432935	0.5168137097351357	0.37185026418756545	0.4775780099007429	0.38166866575945657	0.3930427744266397	0.15457103265147631	0.17546229661935334	0.20752676152510374	0.2465892738270644	0.6012374443798245	0.45878054112506844	0.4308489931775562	0.20506233752012673	0.0	0.5154136791262591	0.2562391460430684	0.35587746577747115	0.2852090784329468	0.4055303726611189	0.3736830907055334	0.2273452316293365	0.2842162429925096	0.2735536318074614	0.359914438872837	0.3451892692867764	0.47595263460382026	0.43732427888341413	0.5371360880115399	0.43210175068187273	0.37176149311162726
ec1393	0.6169738767869326	0.6081518628404112	0.6800360200512312	0.5396784882270454	0.6534027962469277	0.6928998181789721	0.3648274736305837	0.38255100457030344	0.40371779833105614	0.6028007816793387	0.48900840558530023	0.5145868955883925	0.4743289581594586	0.47267928022808264	0.5664372774072332	0.3634786437377857	0.5159129175351446	0.49145734825705173	0.5154136791262591	0.0	0.5038611465271422	0.5508508306158197	0.48444845870924724	0.5504404777744513	0.5947408673815292	0.5263477188999867	0.5019617816319232	0.5138436341891689	0.5461351649672939	0.5103765437762182	0.5660844402010956	0.5923745518051833	0.6578048060645124	0.6110837669507094	0.5294535259148435
