	ec1058	ec1059	ec1065	ec1073	ec1075	ec1078	ec1084	ec1091	ec1092	ec1094	ec1098	ec1100	ec1108	ec1113	ec1116	ec1122	ec1124	ec1129	ec1132	ec1133	ec1138	ec1140	ec1149	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1377	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	eti111	eti114	eti123	eti135
ec1098	0.5992753958459562	0.545850372972995	0.6466408307838665	0.6123953604555266	0.5620715319509857	0.6020366286898561	0.6046403338513908	0.5881102862156836	0.6288291933948683	0.6086190375093292	0	0.6015937322417628	0.5617350182839526	0.6383207668513836	0.641336671775295	0.5481935540714447	0.6566550732653545	0.6930418859812907	0.5941020562061968	0.5880367705692413	0.6123461397180382	0.5892321846954888	0.5920716384061127	0.8209511883996974	0.8354991449186504	0.8793888365452431	0.8622504159348778	0.8379719703000987	0.8740710594781508	0.8723709304913225	0.8223993280603273	0.8835474288452221	0.8681671317897184	0.8843115076995025	0.8449958744239934	0.8641393894058252	0.836867194047837	0.8778187186417139	0.850468945435784	0.8654287018538341	0.8800877009992751	0.8775632296897409	0.7799210072688669	0.8465107603358003	0.8628109323470146	0.8278895368889336
ec1100	0.5793427289978146	0.6323115094620014	0.6191540898136851	0.6169558793632252	0.6336594082783283	0.5470830034735534	0.500020473930897	0.6220823623534794	0.5381262430556647	0.6188511018852504	0.6015937322417628	0	0.5608026309411321	0.5756916500854296	0.6097764784943379	0.6181474547738449	0.5780330190627395	0.6524097054035212	0.5555445116602745	0.5982515910023225	0.6428311661992081	0.5901426548651475	0.6104515954651063	0.8033582267376415	0.8122044768631332	0.8600927483514175	0.8418568638958884	0.8138050711385064	0.8558504817539931	0.8551955259977002	0.7991086899275706	0.8688338598692715	0.8502812394034913	0.8679954300927601	0.8294229365140818	0.8469447929723271	0.8178746147047729	0.8611859882378349	0.8319639764830421	0.8372787993418802	0.8617331682978587	0.8621628529193248	0.7533916005173592	0.8178205198325504	0.8457342029099286	0.8042191306879688
ec1108	0.5587146718316912	0.5769320430768536	0.6496735729808009	0.606497093591002	0.5958061255425187	0.5784198310917357	0.5748638847557893	0.6051096743027353	0.6173825329205801	0.5945582075418767	0.5617350182839526	0.5608026309411321	0	0.6411268043216396	0.5998689780914356	0.5765587634457406	0.6523966543533025	0.6924299099825552	0.5617800021937505	0.5501702654832247	0.6364789625162522	0.5509699829671066	0.5455446031900947	0.8244070222134032	0.8318010817412694	0.8811959764468635	0.8648461145125369	0.8386149672159503	0.8743994166669211	0.8745018215109678	0.8270680205411662	0.8863940830678205	0.8720769557322806	0.8850599588258219	0.8453737593183376	0.8687521300074941	0.8377750477117379	0.8801954878332197	0.8507807110495265	0.8579314382461536	0.8834710178462574	0.8801486285037712	0.771943897205011	0.8478693959070438	0.8591601844867005	0.8293091240712097
ec1113	0.5826418700272523	0.6860169884407064	0.615561578641698	0.6213500664618956	0.6395974462544476	0.5790578208897706	0.5702013239030714	0.6758684719679126	0.5151478912037595	0.6700728561031819	0.6383207668513836	0.5756916500854296	0.6411268043216396	0	0.606005514901005	0.6927230929951038	0.5575711014063516	0.5719304373740473	0.6280289541345341	0.6349423782914281	0.7013046841546097	0.5887516968361165	0.6683189433856512	0.8195967735982419	0.8252674577274908	0.8738924408037051	0.8538364498817412	0.8327297380785322	0.8615956882135991	0.8617260784672168	0.8121878360672156	0.8694373927278742	0.8562816122057909	0.8677046206345498	0.8395111567511196	0.8605568810341209	0.8345065312042707	0.8611874167897631	0.8373300900317449	0.8390760200936199	0.8690467909782087	0.8692465446365722	0.7751138534483022	0.8394638750887821	0.8399578743031024	0.8188789650269204
ec1116	0.6018578115356097	0.6689866303292019	0.6017906503182822	0.6293380599089363	0.6094637539891515	0.6068923573481462	0.6178597031240769	0.6569601685736212	0.5575003964826776	0.6328898476703051	0.641336671775295	0.6097764784943379	0.5998689780914356	0.606005514901005	0	0.6527987975058439	0.5877651738539631	0.6183952773210066	0.6125691784709711	0.617465402560716	0.6858996633437602	0.6047714343225905	0.6261706116151332	0.7665373481434076	0.7821789384867399	0.8429987805787427	0.7975603330648977	0.780221670909556	0.8251881425317394	0.8315356675238845	0.7405214594329776	0.848849550271435	0.810307807081101	0.8331151334769366	0.8082362117116956	0.8244324036781661	0.7643009987703432	0.8396858885952592	0.7977100363141615	0.8156076728094287	0.8302254292846373	0.8397797543817913	0.7269588696447855	0.806589711967206	0.8245870578901767	0.786424143371265
ec1122	0.6213519418255828	0.5459786057068567	0.6682938940718393	0.6455816179528242	0.593048861891838	0.6589576240136229	0.6521922736228273	0.5897413808191982	0.6847678440763282	0.5770753332402919	0.5481935540714447	0.6181474547738449	0.5765587634457406	0.6927230929951038	0.6527987975058439	0	0.706143998850013	0.7341535353593809	0.6169775826527645	0.5832780597222585	0.5872115736707543	0.643028998490732	0.6151876585744939	0.8243455048458117	0.8312454654412387	0.8823441078009585	0.864676646078449	0.8393359603464494	0.8768816284192491	0.8751177415150416	0.8155383544341671	0.8867654476452519	0.870484392389696	0.8874106547911563	0.8466399868779112	0.8664928972289906	0.8407324492550332	0.8807993760948886	0.8523556339002653	0.8656167018922645	0.8830166563617933	0.8805357465988702	0.7718737747252831	0.8469142659693453	0.8651911311268153	0.8335728186359433
ec1124	0.6119585210915873	0.6883780776441394	0.6614591015929584	0.6243965306983257	0.6338001935690192	0.5785959329653229	0.5273054334926593	0.6771152295587205	0.4737320854808587	0.6721471629750634	0.6566550732653545	0.5780330190627395	0.6523966543533025	0.5575711014063516	0.5877651738539631	0.706143998850013	0	0.6119427113952963	0.6309817579377665	0.6371249286817779	0.703679261289339	0.6397610669012406	0.6565452167350261	0.7995868492233928	0.80550316091049	0.8557629705314491	0.8392832347413367	0.802726857367031	0.8453077612103558	0.8479476668585041	0.7924972376687712	0.8629873331043737	0.843647873238816	0.8614281883262607	0.8219641289744902	0.8412822785878076	0.8041151076607268	0.8526401616940813	0.8183293101559431	0.827170937125646	0.8605518561883581	0.8539334383397249	0.7493254851290071	0.8182809166353535	0.8321428066829151	0.8118644688735485
ec1129	0.664353520044023	0.6920803677742642	0.605095858987279	0.6614786522862126	0.6581813604019479	0.6613369736490244	0.6402943052171897	0.7082950336140799	0.5901725208519886	0.7173064278194754	0.6930418859812907	0.6524097054035212	0.6924299099825552	0.5719304373740473	0.6183952773210066	0.7341535353593809	0.6119427113952963	0	0.6880401698802179	0.6767510606458487	0.7391459535107108	0.653626630414497	0.7001477649561291	0.7970813741748808	0.8201269529280183	0.8749684635859192	0.8068654760357133	0.8200312351511274	0.8629396006673489	0.8630662405364264	0.7629505423958622	0.8721663869311732	0.7993941072163819	0.8546002434417079	0.8411261867905886	0.8543122395576818	0.8117394119908032	0.8640790343449767	0.8306657843122078	0.8468290631952551	0.8560662756896483	0.8704515368692192	0.7636308236474602	0.8416905567987414	0.8450618008193386	0.8287912253283289
ec1132	0.5768648771013075	0.6061364980309498	0.6453550410710074	0.5905721342862349	0.6059203211627304	0.6106568293877797	0.5638785223124433	0.5886040908743314	0.6105911546329085	0.6300448310342153	0.5941020562061968	0.5555445116602745	0.5617800021937505	0.6280289541345341	0.6125691784709711	0.6169775826527645	0.6309817579377665	0.6880401698802179	0	0.597078326783908	0.6354853778134741	0.5757720235850693	0.5911320693844292	0.8339027298833815	0.8343341995739626	0.8854078214817025	0.8697602395195346	0.8468972818084487	0.8831589743547176	0.8832447945467158	0.8349129840771653	0.8948770968754128	0.8751253530527955	0.8925234689411394	0.8590227614856031	0.8676714106232959	0.8492412775685407	0.8884287699140299	0.8636902720130458	0.8683348305363331	0.8878112937253649	0.8892336244741502	0.7987146758549526	0.858553245446394	0.8701363590101895	0.8425774419106926
ec1133	0.6009603826592763	0.6142547041700166	0.6311991295527822	0.6478220706511258	0.5780233753583685	0.590163901586886	0.6161297610983973	0.6242210967761437	0.6139925948080374	0.5776528411302668	0.5880367705692413	0.5982515910023225	0.5501702654832247	0.6349423782914281	0.617465402560716	0.5832780597222585	0.6371249286817779	0.6767510606458487	0.597078326783908	0	0.6614823666530798	0.6246370292180566	0.5582685268010797	0.8384388128021921	0.8473888198532364	0.8947675593243957	0.8791259132444228	0.8555482209275795	0.8892779923397084	0.8893618108200336	0.8396606565254705	0.896727814725363	0.886033563274778	0.8946277815072696	0.8614245850106358	0.8830296870971456	0.8578251905770051	0.890473335543046	0.8644277162589318	0.8696721974011243	0.8921358956657383	0.895152757882993	0.7900861856826437	0.8636014021575744	0.8703836079815371	0.8459613200782411
ec1138	0.6293593056989852	0.5781050109271948	0.6783243470144128	0.6568487384540651	0.6249329091923085	0.6924353799703135	0.6515968584829217	0.5783234531071813	0.6793417974199173	0.6323590589551745	0.6123461397180382	0.6428311661992081	0.6364789625162522	0.7013046841546097	0.6858996633437602	0.5872115736707543	0.703679261289339	0.7391459535107108	0.6354853778134741	0.6614823666530798	0	0.6618844949026329	0.6465067107548532	0.8406097007181823	0.8492959130689683	0.8952943615433053	0.8786889920033638	0.8553814046646974	0.8902838939455088	0.8903698496869642	0.8348882234515473	0.8960892675215064	0.8793489958932739	0.8945835328458409	0.8662910609903578	0.8807628156691294	0.8520147440537246	0.8902757923478628	0.8626149428429539	0.8704333855228996	0.8920050585288271	0.8957077467275082	0.8008218024153338	0.862214606401094	0.8716766755833929	0.8497661626135139
ec1140	0.6034841067904203	0.6220211221973394	0.6473609345762499	0.5812545539765289	0.5759052816265781	0.5930825767146687	0.6075938024446609	0.6071651514624139	0.5810584833199227	0.6769541005439983	0.5892321846954888	0.5901426548651475	0.5509699829671066	0.5887516968361165	0.6047714343225905	0.643028998490732	0.6397610669012406	0.653626630414497	0.5757720235850693	0.6246370292180566	0.6618844949026329	0	0.6066126808054677	0.7652144792747833	0.7551236954325307	0.8350574857716191	0.8187132685998093	0.7915217437705937	0.8246859084843561	0.8260625688085382	0.7899883632571464	0.840863448802939	0.8235890913702862	0.8417933707329424	0.798990446246724	0.8095928076157521	0.7993062785514046	0.8324211124226663	0.8053996441225857	0.8077233474799018	0.8410204048012385	0.8323562970413719	0.7179487847823049	0.7968199349984166	0.814699982537666	0.7781387233326847
