	ec1298	ec1314	ec1346	ec1356	ec1359	ec1361	ec1377	ec1378	ec1380	ec1390	ec1393	ec1396	ec1408	ec1409	ec1411	ec1422	ec1425	ec1437	eti101	eti111	eti114	eti121	eti125
ec1408	0.6085261247102632	0.22391835421826234	0.4579915921006714	0.2201778629411706	0.238842897599761	0.13515110198756528	0.630747174872059	0.17139738654377815	0.3607586689737658	0.2703684368906167	0.5498852345946771	0.3768724718872158	0.0	0.22841800705404008	0.4816695532270434	0.1925794113900756	0.43930501759801305	0.3463856320691601	0.4310064576860935	0.565861458231124	0.30983928201665023	0.3460377072783589	0.2659041220462361
ec1409	0.5565689100949698	0.14861983066085865	0.4413294287509624	0.22820943054744353	0.2645408151353662	0.19787670296835475	0.6375991816800084	0.2518913850428709	0.4069469587421877	0.2728089178384896	0.5306097216138256	0.41830561757825335	0.22841800705404008	0.0	0.5047818848878075	0.27230081031895886	0.4690822922303989	0.38549903788788414	0.4792836947788668	0.5362098116147527	0.29272045528851987	0.37084791962462027	0.29056342991506073
ec1411	0.4807786005703974	0.4766736493853847	0.5304099785358416	0.43125106726820656	0.5018022116672656	0.45044351785826636	0.41025900344693467	0.5108348677916964	0.34150942123557376	0.49211309792048186	0.589566258266616	0.31500768090136066	0.4816695532270434	0.5047818848878075	0.0	0.4621308331260884	0.39504191586508924	0.4181327056446288	0.40314837176394774	0.4956465372892753	0.4036571515701108	0.5839260335169012	0.5134279124498128
ec1422	0.5904177791564309	0.281820772908489	0.49524327519207817	0.2046768655090874	0.29906542486175364	0.16638834679512904	0.6372683531935416	0.14255396488446215	0.3395289435028228	0.25410101401632273	0.5706709836144721	0.31241800487394644	0.1925794113900756	0.27230081031895886	0.4621308331260884	0.0	0.4183350038982618	0.38728759668182455	0.4705318561024699	0.5297693447409884	0.3808125069417624	0.4039517084835901	0.18713132346453612
ec1425	0.5862421480503993	0.4722875875253966	0.4669655028833366	0.4730500793588524	0.3999433383395231	0.427873980233937	0.5370457567009519	0.3739594436800634	0.14590678050671738	0.39272145374409445	0.5621214790564018	0.20322575045213206	0.43930501759801305	0.4690822922303989	0.39504191586508924	0.4183350038982618	0.0	0.5116341817029215	0.527981150825029	0.6216168942319944	0.5100872039903149	0.5438166388789295	0.43602414113521976
ec1437	0.4478197486689954	0.4007921933569673	0.473642125665788	0.39626395831564104	0.40223286842921374	0.34265854535685125	0.5497805528131021	0.33909598772326394	0.4617441064710178	0.38857904586287856	0.5677842014988802	0.4882655407796867	0.3463856320691601	0.38549903788788414	0.4181327056446288	0.38728759668182455	0.5116341817029215	0.0	0.3580718830957151	0.44574342808496065	0.20583659174898253	0.47849108773589993	0.34966596475269357
eti101	0.5157564644854981	0.4434150364729963	0.48926116889669524	0.4286426032222604	0.41072223341369263	0.4350681814639136	0.5645834778647114	0.46225173274009057	0.5454685963294844	0.4108835928231772	0.5896177834779311	0.55701874723382	0.4310064576860935	0.4792836947788668	0.40314837176394774	0.4705318561024699	0.527981150825029	0.3580718830957151	0.0	0.47464834987616816	0.3487082801739961	0.5417639084319542	0.47965191075447167
eti111	0.5365383343819707	0.5501215118467735	0.6017676017632038	0.5741245158980124	0.5737189643819653	0.5622544673701314	0.5525159773398957	0.5408131679431076	0.6001353745707502	0.5562568348737612	0.6245230877930087	0.6165972835798984	0.565861458231124	0.5362098116147527	0.4956465372892753	0.5297693447409884	0.6216168942319944	0.44574342808496065	0.47464834987616816	0.0	0.4677027179450051	0.588716038700526	0.49324097619877716
eti114	0.4893716663876433	0.3470625447045545	0.5108712322057877	0.34211614604838303	0.3596339008451949	0.28546247398482694	0.5596826527821672	0.33814484403104034	0.46196874082245115	0.3821815894525718	0.5376015919014152	0.4726254815153024	0.30983928201665023	0.29272045528851987	0.4036571515701108	0.3808125069417624	0.5100872039903149	0.20583659174898253	0.3487082801739961	0.4677027179450051	0.0	0.4697655956573847	0.3894515012664788
eti121	0.6483994238195745	0.3701216620946771	0.5304864119925378	0.38810670133127156	0.42699802565020534	0.3619449945816165	0.6762334260408036	0.36462489795377573	0.49136118332409207	0.38882531937700443	0.6291058873798492	0.5098191185222828	0.3460377072783589	0.37084791962462027	0.5839260335169012	0.4039517084835901	0.5438166388789295	0.47849108773589993	0.5417639084319542	0.588716038700526	0.4697655956573847	0.0	0.41724166723344924
