# Constructed from biom file
#OTU ID	17N1	18N1	18N2	18N3	24N1	24N2	24N3	25N1	25N2	25N3	26N2	26N3	27N1	27N2	27N3
98a20c31daf2573a44ca925a4be10e33	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
6956690ce06a36b239229f37504c8306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e5c227ae20053c0d883090397950165c	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c8d6f53cd21b50c315d1d790023509f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
4f4123a8b4195f14392a44a0be2c5cb6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4d58a844ce5748a531ed4ed88b767ae	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01491fe325dd7bd2abe8824e5fe8bcb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
d3ce6151b8f50094f46e6efa6116397d	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
08c2cfddc00e19178b80edd654dfa5ce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
4869d2288e18b97f202183eaae25895f	0.0	4.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
4ab35deab19d4d39410fbe9f4e2ff7e4	0.0	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
973337eec534b7c5a640c15fca70ae8a	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aef163f644022a94b6fb66b03d6da9b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0
210ec1cb29c3c9efb8c4c356c30ddaa8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
0e79c4567a47048dd32ad7e4e2e6fa4d	5.0	10.0	153.0	14.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0
cf360632e0c84fdbf1a5574436a5bd0a	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76ee75957c183c9b752d7373867b67f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0dd7e371020593e80e6529d4709e7e4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
65c45008eb055e0e02f87c88134650ed	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97d946c4c45e734c6d1de72e214b3941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
1f1025ba2d38e90940aaa6a181d6ed50	17.0	20.0	7.0	27.0	0.0	1.0	0.0	2.0	1.0	9.0	0.0	0.0	12.0	3.0	0.0
bbece6c002f8c58f7d9e49fc19b1b641	37.0	16.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	14.0	0.0
59627432a103790abe713ac841f23b5f	0.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	97.0	0.0	2.0	0.0	0.0	0.0	0.0
