	ec1017	ec1020	ec1024	ec1036	ec1038	ec1043	ec1050	ec1157	ec1169	ec1173	ec1177	ec1178	ec1185	ec1253	ec1256	ec1261	ec1264	ec1269	ec1272	ec1280	ec1285	ec1288	ec1293	ec1312	ec1316	ec1320	ec1324	ec1328	ec1332	ec1336	ec1340	ec1344
ec1177	0.31272958885513447	0.30267682298995974	0.24264646408773385	0.3094809671542541	0.3101053578681475	0.2833285811814469	0.2842921200605663	0.1319755839999635	0.21892626990885178	0.17808836318952254	0.0	0.28701244131681664	0.2421489204625456	0.2818895962362794	0.29739234615569465	0.33459280767070915	0.3096511130376382	0.3470297364592636	0.28188419023286176	0.2456381270334649	0.2632196261694247	0.32908881532589696	0.3374133720277445	0.2509787532100142	0.32958792707768053	0.2913641738644699	0.2366511771185772	0.2799125779860239	0.3498007095927296	0.18005502371137375	0.2322608012514722	0.27038430338772934
ec1178	0.15003448332527095	0.41098717879647906	0.2547628142166604	0.4277707344827358	0.4364060988660149	0.2802151495262777	0.3275565613621635	0.20487059889518033	0.3415883822084804	0.3721818394962061	0.28701244131681664	0.0	0.14048620806478015	0.4839906947328492	0.08040533206710207	0.10802204900413885	0.21120087546457392	0.1342198593175079	0.07377951354866491	0.28845757446411846	0.26612596850082226	0.10972811316984704	0.1265937999134017	0.08031042037937579	0.1221855524021961	0.09787509925089947	0.19306853794872603	0.07582588139178834	0.1949940912853978	0.157923644181376	0.14059418249362082	0.17807812684468757
ec1185	0.2168945108559148	0.38461101149924337	0.15227063853014533	0.3627971129094415	0.37326772111794615	0.18573180609007414	0.33130370108816454	0.15990519553850205	0.3070468682750657	0.3263043808347639	0.2421489204625456	0.14048620806478015	0.0	0.4260709894927952	0.17082407611378925	0.2035797121662499	0.19502855391217724	0.12867229061601393	0.1585354505638104	0.22150770422484367	0.20103942563181293	0.17346003417156042	0.18113802933802242	0.12264715981319514	0.20429668062971235	0.1607550049932768	0.08764312168576187	0.1583061356566779	0.13361025169827825	0.10398209243208677	0.07174797892871215	0.1347188771266695
ec1253	0.5141078586853385	0.29881141746189205	0.4366628375664169	0.38862922988850657	0.3404763484221491	0.47036988300296223	0.4443055988574981	0.3658540196580606	0.3939933730992264	0.3149660201697978	0.2818895962362794	0.4839906947328492	0.4260709894927952	0.0	0.4974998217048947	0.5321128424335624	0.4241554387901092	0.5374550979809744	0.480461741298738	0.40867096328976243	0.4434507817528941	0.5163262860539897	0.5223998099335466	0.45002758932809944	0.5265691543972549	0.49261674244800546	0.42816919351130545	0.4780740190100635	0.539587426665755	0.3938305922038314	0.42821895563047263	0.4638445694148032
ec1256	0.16177270634842034	0.42169592368590586	0.26384887147317304	0.44287577429692343	0.45460264551869056	0.29505360829141547	0.3715148738773727	0.21195266048606437	0.3519446889650616	0.38103654996756775	0.29739234615569465	0.08040533206710207	0.17082407611378925	0.4974998217048947	0.0	0.03907387089882831	0.22807592608625823	0.13907108746822244	0.05036990269910685	0.3029604798830624	0.28207286059627024	0.052121058741332174	0.06274308953807042	0.10476746152555269	0.0441855607426859	0.10783124090066597	0.20272458062588722	0.05125861630858386	0.21264194097323375	0.16828775367247406	0.15187006059162728	0.21094925073825627
ec1261	0.18525526468549058	0.4525305200623926	0.29221892074624434	0.46584483204859795	0.4858652468684765	0.3270291955827159	0.40723489059947904	0.24566040207957734	0.3737246319005359	0.4114339695945707	0.33459280767070915	0.10802204900413885	0.2035797121662499	0.5321128424335624	0.03907387089882831	0.0	0.24945971904729464	0.1487958125708172	0.075791718709431	0.33331262005958695	0.3085597170157214	0.0511043569716553	0.07426036330106436	0.12469268897458381	0.04230595378051963	0.13756370916131397	0.23783109741890548	0.07839361063329174	0.2297471964391058	0.20239104442405004	0.181063401272277	0.24128458611952508
ec1264	0.2752829705680663	0.3660686779512468	0.300329569051773	0.38275558474675814	0.3754818548438654	0.2663398213296199	0.40290092526320886	0.2522666262147124	0.33634023886946557	0.38890186618670686	0.3096511130376382	0.21120087546457392	0.19502855391217724	0.4241554387901092	0.22807592608625823	0.24945971904729464	0.0	0.25261094376130794	0.2263602462478972	0.25826238326745776	0.277798335720163	0.2328381871633094	0.24677454281678046	0.23682661315452447	0.2508235858441693	0.23529083263354242	0.24342065482625708	0.24602204511457498	0.2532455155193408	0.2101651552284941	0.20519603935024203	0.22470710296761323
ec1269	0.1941320596678968	0.46583858611956236	0.18970498064352953	0.4143036935806842	0.4368473790344093	0.21245033327666757	0.4141052927656268	0.2383585325790622	0.37371225845571887	0.40642508192521953	0.3470297364592636	0.1342198593175079	0.12867229061601393	0.5374550979809744	0.13907108746822244	0.1487958125708172	0.25261094376130794	0.0	0.13309027067324705	0.28278838781221205	0.26881506686971746	0.12003197425489989	0.1296421310081527	0.14557143848175563	0.156002524928734	0.15657077949977083	0.12157062957154927	0.13495818833730075	0.10600623705694798	0.1828833438810486	0.15252367491817548	0.21220343429334332
ec1272	0.14717715284936525	0.4068915784877261	0.2453835201847482	0.4192644171263561	0.42968164314756807	0.2698606923269708	0.36068115216023705	0.19956343579816765	0.3297105979545817	0.37000149042927366	0.28188419023286176	0.07377951354866491	0.1585354505638104	0.480461741298738	0.05036990269910685	0.075791718709431	0.2263602462478972	0.13309027067324705	0.0	0.2738519130563233	0.25542844409288	0.07222771305473484	0.08986304782763338	0.08730123982791749	0.07488503654735441	0.09362664436079435	0.18746491391084108	0.04744385885988939	0.20027072136192114	0.15685502115302502	0.13456871502323187	0.20073121474437164
ec1280	0.33567350197413326	0.3472682126528192	0.16645393157081853	0.18228392348154082	0.19965560017884906	0.18286649618397002	0.34686754877341425	0.180513757643477	0.18560217979875174	0.2795159632311999	0.2456381270334649	0.28845757446411846	0.22150770422484367	0.40867096328976243	0.3029604798830624	0.33331262005958695	0.25826238326745776	0.28278838781221205	0.2738519130563233	0.0	0.11509727462883557	0.30271645108734924	0.30054209785999536	0.26088599838099025	0.318747644646418	0.29441908306006903	0.1994310364412674	0.27802338829099693	0.28384457417958264	0.19336372002954455	0.21798677345036566	0.2368174958663801
