	ec1058	ec1059	ec1065	ec1073	ec1075	ec1078	ec1084	ec1091	ec1092	ec1094	ec1098	ec1100	ec1108	ec1113	ec1116	ec1122	ec1124	ec1129	ec1132	ec1133	ec1138	ec1140	ec1149	ec1249	ec1265	ec1314	ec1346	ec1349	ec1361	ec1362	ec1377	ec1378	ec1393	ec1396	ec1400	ec1409	ec1411	ec1420	ec1424	ec1425	ec1427	ec1438	eti111	eti114	eti123	eti135
ec1124	0.908	0.924	0.942	0.898	0.914	0.89	0.82	0.944	0.752	0.924	0.934	0.828	0.89	0.876	0.792	0.95	0.0	0.908	0.87	0.91	0.964	0.78	0.92	0.976	0.946	0.978	0.976	0.932	0.954	0.98	0.956	0.996	0.948	0.948	0.964	0.958	0.964	0.972	0.938	0.954	0.98	0.978	0.958	0.972	0.974	0.972
ec1129	0.892	0.932	0.888	0.926	0.878	0.946	0.84	0.956	0.792	0.964	0.928	0.87	0.908	0.738	0.904	0.938	0.908	0.0	0.876	0.93	0.972	0.868	0.964	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ec1132	0.792	0.756	0.802	0.788	0.778	0.818	0.796	0.842	0.832	0.836	0.828	0.804	0.754	0.858	0.754	0.844	0.87	0.876	0.0	0.744	0.904	0.772	0.784	0.998	0.996	1.0	0.998	0.998	0.998	1.0	0.984	1.0	1.0	0.998	1.0	1.0	0.998	0.998	0.998	0.998	0.998	1.0	0.996	1.0	0.998	1.0
ec1133	0.806	0.772	0.828	0.812	0.73	0.732	0.812	0.88	0.85	0.8	0.784	0.78	0.696	0.89	0.81	0.83	0.91	0.93	0.744	0.0	0.916	0.82	0.706	0.996	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	0.998	1.0
ec1138	0.918	0.828	0.934	0.916	0.896	0.946	0.952	0.812	0.952	0.876	0.878	0.936	0.914	0.956	0.928	0.856	0.964	0.972	0.904	0.916	0.0	0.914	0.916	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0
ec1140	0.846	0.82	0.856	0.818	0.808	0.832	0.826	0.87	0.782	0.892	0.858	0.816	0.788	0.872	0.746	0.874	0.78	0.868	0.772	0.82	0.914	0.0	0.85	0.924	0.856	0.952	0.938	0.898	0.888	0.88	0.922	0.992	0.912	0.956	0.934	0.93	0.902	0.958	0.902	0.912	0.906	0.972	0.846	0.94	0.926	0.922
ec1149	0.77	0.76	0.85	0.74	0.726	0.692	0.818	0.88	0.87	0.796	0.75	0.82	0.714	0.936	0.832	0.796	0.92	0.964	0.784	0.706	0.916	0.85	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.988	1.0	1.0	1.0
ec1249	1.0	1.0	1.0	0.996	1.0	1.0	0.996	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.992	0.996	0.976	1.0	0.998	0.996	1.0	0.924	1.0	0.0	0.71	0.722	0.744	0.716	0.586	0.738	0.746	0.928	0.714	0.862	0.528	0.856	0.79	0.882	0.69	0.53	0.814	0.892	0.68	0.85	0.704	0.808
ec1265	0.998	0.998	0.998	0.996	0.998	1.0	1.0	0.998	0.99	1.0	1.0	0.998	0.998	1.0	0.98	0.998	0.946	0.998	0.996	0.998	0.998	0.856	1.0	0.71	0.0	0.948	0.882	0.772	0.754	0.698	0.49	0.984	0.61	0.876	0.732	0.91	0.81	0.878	0.624	0.664	0.714	0.956	0.578	0.86	0.858	0.722
ec1314	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.978	1.0	1.0	1.0	1.0	0.952	1.0	0.722	0.948	0.0	0.492	0.528	0.484	0.87	0.946	0.632	0.894	0.554	0.54	0.568	0.558	0.604	0.862	0.494	0.84	0.724	0.602	0.568	0.374	0.498
ec1346	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.976	1.0	0.998	1.0	1.0	0.938	1.0	0.744	0.882	0.492	0.0	0.504	0.394	0.79	0.834	0.42	0.758	0.4	0.58	0.366	0.344	0.388	0.868	0.476	0.774	0.73	0.556	0.336	0.278	0.272
ec1349	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	0.992	1.0	1.0	1.0	1.0	1.0	0.978	1.0	0.932	1.0	0.998	1.0	1.0	0.898	1.0	0.716	0.772	0.528	0.504	0.0	0.406	0.802	0.856	0.642	0.87	0.556	0.586	0.544	0.466	0.556	0.788	0.496	0.74	0.722	0.526	0.466	0.46	0.516
ec1361	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.982	1.0	0.954	1.0	0.998	1.0	1.0	0.888	1.0	0.586	0.754	0.484	0.394	0.406	0.0	0.74	0.812	0.496	0.766	0.404	0.56	0.388	0.336	0.43	0.716	0.36	0.728	0.726	0.488	0.4	0.364	0.406
ec1362	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.98	1.0	1.0	1.0	1.0	0.88	1.0	0.738	0.698	0.87	0.79	0.802	0.74	0.0	0.638	0.88	0.722	0.848	0.658	0.846	0.766	0.86	0.614	0.668	0.648	0.902	0.55	0.818	0.838	0.77
ec1377	0.992	0.992	0.992	0.988	0.992	0.992	0.992	0.992	0.988	0.992	0.992	0.992	0.992	1.0	0.982	0.992	0.956	1.0	0.984	0.992	0.992	0.922	0.992	0.746	0.49	0.946	0.834	0.856	0.812	0.638	0.0	0.964	0.434	0.888	0.718	0.916	0.834	0.922	0.634	0.658	0.676	0.974	0.596	0.906	0.918	0.732
ec1378	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.996	1.0	1.0	1.0	1.0	0.992	1.0	0.928	0.984	0.632	0.42	0.642	0.496	0.88	0.964	0.0	0.964	0.168	0.71	0.246	0.282	0.13	0.97	0.652	0.87	0.784	0.722	0.252	0.456	0.45
ec1393	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.948	1.0	1.0	1.0	1.0	0.912	1.0	0.714	0.61	0.894	0.758	0.87	0.766	0.722	0.434	0.964	0.0	0.92	0.788	0.916	0.844	0.922	0.726	0.68	0.824	0.96	0.692	0.878	0.896	0.71
ec1396	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.99	1.0	0.948	1.0	0.998	1.0	1.0	0.956	1.0	0.862	0.876	0.554	0.4	0.556	0.404	0.848	0.888	0.168	0.92	0.0	0.686	0.2	0.214	0.14	0.848	0.598	0.812	0.758	0.642	0.196	0.384	0.414
ec1400	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	0.964	1.0	1.0	1.0	1.0	0.934	1.0	0.528	0.732	0.54	0.58	0.586	0.56	0.658	0.718	0.71	0.788	0.686	0.0	0.628	0.586	0.66	0.704	0.382	0.758	0.724	0.43	0.648	0.524	0.596
ec1409	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.958	1.0	1.0	1.0	1.0	0.93	1.0	0.856	0.91	0.568	0.366	0.544	0.388	0.846	0.916	0.246	0.916	0.2	0.628	0.0	0.202	0.196	0.88	0.526	0.812	0.748	0.618	0.178	0.34	0.376
ec1411	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.98	0.996	0.964	1.0	0.998	1.0	1.0	0.902	1.0	0.79	0.81	0.558	0.344	0.466	0.336	0.766	0.834	0.282	0.844	0.214	0.586	0.202	0.0	0.21	0.798	0.496	0.696	0.73	0.554	0.2	0.334	0.32
ec1420	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.994	1.0	0.972	1.0	0.998	1.0	1.0	0.958	1.0	0.882	0.878	0.604	0.388	0.556	0.43	0.86	0.922	0.13	0.922	0.14	0.66	0.196	0.21	0.0	0.872	0.576	0.782	0.754	0.664	0.166	0.392	0.406
ec1424	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.988	1.0	0.938	1.0	0.998	1.0	1.0	0.902	1.0	0.69	0.624	0.862	0.868	0.788	0.716	0.614	0.634	0.97	0.726	0.848	0.704	0.88	0.798	0.872	0.0	0.678	0.774	0.932	0.56	0.852	0.866	0.848
ec1425	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	0.984	1.0	0.954	1.0	0.998	1.0	1.0	0.912	1.0	0.53	0.664	0.494	0.476	0.496	0.36	0.668	0.658	0.652	0.68	0.598	0.382	0.526	0.496	0.576	0.678	0.0	0.646	0.712	0.382	0.558	0.478	0.472
ec1427	1.0	1.0	0.996	0.996	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.996	1.0	0.98	1.0	0.998	1.0	1.0	0.906	1.0	0.814	0.714	0.84	0.774	0.74	0.728	0.648	0.676	0.87	0.824	0.812	0.758	0.812	0.696	0.782	0.774	0.646	0.0	0.86	0.688	0.762	0.794	0.73
ec1438	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992	1.0	0.978	1.0	1.0	1.0	1.0	0.972	1.0	0.892	0.956	0.724	0.73	0.722	0.726	0.902	0.974	0.784	0.96	0.758	0.724	0.748	0.73	0.754	0.932	0.712	0.86	0.0	0.702	0.74	0.706	0.736
eti111	0.996	0.996	0.996	0.996	0.994	0.99	0.994	0.984	0.994	0.992	0.996	0.994	0.996	1.0	0.972	0.994	0.958	1.0	0.996	0.996	0.996	0.846	0.988	0.68	0.578	0.602	0.556	0.526	0.488	0.55	0.596	0.722	0.692	0.642	0.43	0.618	0.554	0.664	0.56	0.382	0.688	0.702	0.0	0.576	0.554	0.502
eti114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	0.994	1.0	0.972	1.0	1.0	1.0	1.0	0.94	1.0	0.85	0.86	0.568	0.336	0.466	0.4	0.818	0.906	0.252	0.878	0.196	0.648	0.178	0.2	0.166	0.852	0.558	0.762	0.74	0.576	0.0	0.346	0.354
eti123	1.0	1.0	1.0	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	1.0	0.974	1.0	0.998	0.998	1.0	0.926	1.0	0.704	0.858	0.374	0.278	0.46	0.364	0.838	0.918	0.456	0.896	0.384	0.524	0.34	0.334	0.392	0.866	0.478	0.794	0.706	0.554	0.346	0.0	0.306
eti135	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.994	1.0	0.972	1.0	1.0	1.0	1.0	0.922	1.0	0.808	0.722	0.498	0.272	0.516	0.406	0.77	0.732	0.45	0.71	0.414	0.596	0.376	0.32	0.406	0.848	0.472	0.73	0.736	0.502	0.354	0.306	0.0
