	ec1314	ec1322	ec1346	ec1354	ec1361	ec1369	ec1378	ec1386	ec1393	ec1396	ec1401	ec1404	ec1409	ec1411	ec1417	ec1419	ec1425	ec1433	ec1438	eti110	eti114	eti122	eti123	eti124	eti126	eti135
ec1401	0.3585989665626112	0.3192209460363605	0.2727361721451842	0.4016247027834877	0.3572524374495167	0.3627194407125568	0.3640487900935316	0.47224182152024	0.2939637427269455	0.3618956388780399	0	0.3470893576871886	0.3495185686357566	0.3428298872925323	0.1625593210444895	0.178025491893974	0.3615573385625342	0.3315873420468069	0.3620279913446372	0.372677735744008	0.3691598772480749	0.3299684627972539	0.3747165533305828	0.2543512430251281	0.3477985775188345	0.354772231791714
ec1404	0.0292952131528013	0.05188813574633742	0.09854275135395713	0.3167923828872145	0.01943424097299837	0.02271708353417218	0.03607673232233149	0.4501465136223738	0.1176711876429478	0.03105078745440624	0.3470893576871886	0	0.06179023756297135	0.04154700216559021	0.2967043692641786	0.2260122524838896	0.0334390499640798	0.2587106647640752	0.3479263039773179	0.03540260309321508	0.04040197981404538	0.05052110152109648	0.03767463474335299	0.137798502578457	0.03087533627780994	0.02827089101153017
ec1409	0.0596219612359412	0.06698206357500638	0.09980922226197973	0.3174277744887643	0.05140541196541783	0.05988083026926069	0.0547905203979898	0.4474615236980194	0.1352540190993519	0.04839577151609951	0.3495185686357566	0.06179023756297135	0	0.03852202725311667	0.306162193297326	0.2394710194632998	0.07268778076129805	0.2521354386453024	0.3395495982119656	0.06122621935476945	0.05108367900829221	0.06349426618380473	0.06560150521808135	0.1360662781291261	0.06072456672266321	0.05185538270648969
ec1411	0.05168063845159522	0.05554278454275554	0.08753434506901177	0.3093665750455046	0.04118442879817651	0.04669398400474694	0.05101139844697367	0.4512678209024902	0.1240831931271919	0.04386593609216399	0.3428298872925323	0.04154700216559021	0.03852202725311667	0	0.2910644520271883	0.2254132871764699	0.05960968348313971	0.2509803478731549	0.3438437024031386	0.05399199397517528	0.04998274995420385	0.05436185395906201	0.05915458582444648	0.1311311248810412	0.04349111044612826	0.04059609581460295
ec1417	0.3134993531056328	0.2622566718785067	0.2570738914505081	0.3896261493230986	0.3081019022024366	0.307866203557755	0.325605665959357	0.4380999823488036	0.2657600997646288	0.3196830009940118	0.1625593210444895	0.2967043692641786	0.306162193297326	0.2910644520271883	0	0.09737446044015734	0.3097041529559219	0.2879978796306036	0.3268450941388469	0.3249529264516927	0.3244373655870865	0.2760213518999951	0.3280361604215059	0.2127357339312989	0.2908472439180192	0.2984583167546938
ec1419	0.2425095871919764	0.1993132973674038	0.1839502216995258	0.3589235489586881	0.2342023441811896	0.2354270223192192	0.2497779383296167	0.430026933141355	0.2072747554942737	0.2417242009922281	0.178025491893974	0.2260122524838896	0.2394710194632998	0.2254132871764699	0.09737446044015734	0	0.2358932303350724	0.2418405545011319	0.3164153326213844	0.2514914119322176	0.2529468405124916	0.2043485037660459	0.2552016955773891	0.1376851087803589	0.2210784265468529	0.2290324378358323
ec1425	0.03565982784013579	0.06454759998084721	0.1170067377841589	0.319308383971206	0.02735306591681732	0.02800783187033184	0.04605552737704825	0.4585060983008266	0.1265848788916643	0.03839496650638135	0.3615573385625342	0.0334390499640798	0.07268778076129805	0.05960968348313971	0.3097041529559219	0.2358932303350724	0	0.264142086876287	0.3530143467759958	0.03579354963227029	0.04304056775497715	0.06502333505813722	0.03945177825542003	0.1579298636654426	0.04382777923708042	0.04093143785905345
ec1433	0.2578055411811969	0.2525986741563349	0.2613943410667011	0.3845584824452337	0.2575006431562839	0.2605087041887376	0.268761595724584	0.2529152320868953	0.2779349802704115	0.2622805355145553	0.3315873420468069	0.2587106647640752	0.2521354386453024	0.2509803478731549	0.2879978796306036	0.2418405545011319	0.264142086876287	0	0.3220923636930615	0.2636051871783793	0.2623093339296133	0.2526996086946705	0.2660956652655996	0.2379960771142832	0.2581503341699776	0.257405633806446
ec1438	0.3408199692936237	0.3413926760309925	0.3413819568450321	0.4583062788412666	0.3449544390617291	0.3512962507402284	0.3538392468639455	0.3530608907794606	0.3582704055863316	0.3501974517426432	0.3620279913446372	0.3479263039773179	0.3395495982119656	0.3438437024031386	0.3268450941388469	0.3164153326213844	0.3530143467759958	0.3220923636930615	0	0.3517615594929553	0.3542671250320542	0.3402122801003756	0.353341214877557	0.3189684330085065	0.3467470830175276	0.345165475945052
eti110	0.03783933939285464	0.07650632112920344	0.1160280954597291	0.333521254995953	0.0236295572581085	0.02475261138518818	0.03086940266318943	0.4604862168245591	0.1468198625231414	0.02730122113786668	0.372677735744008	0.03540260309321508	0.06122621935476945	0.05399199397517528	0.3249529264516927	0.2514914119322176	0.03579354963227029	0.2636051871783793	0.3517615594929553	0	0.01827466128851567	0.06823257517599071	0.00763096050356713	0.1482842493116776	0.04890950255997596	0.0407734998896936
eti114	0.04660255725086984	0.07997370059859968	0.1189679780835967	0.331050954744158	0.02996776958629327	0.0295538257123242	0.02250833230869015	0.4591683913061131	0.1494309512359187	0.01923230975662395	0.3691598772480749	0.04040197981404538	0.05108367900829221	0.04998274995420385	0.3244373655870865	0.2529468405124916	0.04304056775497715	0.2623093339296133	0.3542671250320542	0.01827466128851567	0	0.07460249548913411	0.02271652294191947	0.1501667719650467	0.05224329518157083	0.04640897627388561
eti122	0.06085201913309144	0.02839474606072503	0.07989239498271716	0.3127770296829395	0.05586522752115981	0.05417009441913212	0.07472616620791159	0.4474147213396565	0.09212813419834631	0.06836517136387374	0.3299684627972539	0.05052110152109648	0.06349426618380473	0.05436185395906201	0.2760213518999951	0.2043485037660459	0.06502333505813722	0.2526996086946705	0.3402122801003756	0.06823257517599071	0.07460249548913411	0	0.07111055008918868	0.102595267075911	0.02948225860268565	0.04838872213221757
eti123	0.03855445804637258	0.07991209820049552	0.1191942681620609	0.3361527209717421	0.0275105231832898	0.02955432556176647	0.03440707190419355	0.4625275137873052	0.1502712429571896	0.03061543394559314	0.3747165533305828	0.03767463474335299	0.06560150521808135	0.05915458582444648	0.3280361604215059	0.2552016955773891	0.03945177825542003	0.2660956652655996	0.353341214877557	0.00763096050356713	0.02271652294191947	0.07111055008918868	0	0.1507327442134148	0.05115851129819496	0.04401030846781216
eti124	0.1481177836078836	0.1179205808804675	0.1008486173815691	0.3030287097429116	0.1380718055944829	0.1401962034646611	0.1440132882681706	0.4284440703786669	0.1400825346929399	0.1398984254304269	0.2543512430251281	0.137798502578457	0.1360662781291261	0.1311311248810412	0.2127357339312989	0.1376851087803589	0.1579298636654426	0.2379960771142832	0.3189684330085065	0.1482842493116776	0.1501667719650467	0.102595267075911	0.1507327442134148	0	0.1230974077750089	0.1359483651659598
eti126	0.04482376001620701	0.04218224008182923	0.09691286003572659	0.3160558178525384	0.03575417106347638	0.03297569164031208	0.05274116564601014	0.4512979593813072	0.1061342353775022	0.04631993859545028	0.3477985775188345	0.03087533627780994	0.06072456672266321	0.04349111044612826	0.2908472439180192	0.2210784265468529	0.04382777923708042	0.2581503341699776	0.3467470830175276	0.04890950255997596	0.05224329518157083	0.02948225860268565	0.05115851129819496	0.1230974077750089	0	0.02857866623250524
eti135	0.0421498773305535	0.0551171415784609	0.09722061420208275	0.3175289365949046	0.02710214314280211	0.03124541363269278	0.04345358808750321	0.4503118501786247	0.1210479867841039	0.03829013324435102	0.354772231791714	0.02827089101153017	0.05185538270648969	0.04059609581460295	0.2984583167546938	0.2290324378358323	0.04093143785905345	0.257405633806446	0.345165475945052	0.0407734998896936	0.04640897627388561	0.04838872213221757	0.04401030846781216	0.1359483651659598	0.02857866623250524	0
