# Constructed from biom file
#OTU ID	SRR3939104	SRR3939103	SRR3939102	SRR3939101	SRR3939100	SRR3939099	SRR3939098	SRR3939097	SRR3939096	SRR3939095	SRR3939094	SRR3939093	SRR3939092	SRR3939091	SRR3939089	SRR3939088	SRR3939087	SRR3939086	SRR3939085	SRR3939084	SRR3939083	SRR3939082	SRR3939081	SRR3939080	SRR3939078	SRR3939077	SRR3939076	SRR3939059	SRR3939058	SRR3939057	SRR3939054	SRR3939052	SRR3939051	SRR3939050	SRR3939049	SRR3939048	SRR3939047	SRR3939046	SRR3939045	SRR3939044	SRR3939043	SRR3939042	SRR3590563	SRR3590562	SRR3590561	SRR3590560	SRR3590559	SRR3590558	SRR3590557	SRR3590556	SRR3590555	SRR3590554	SRR3590551
asv67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asv6	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	31.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asv247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asv161	1.0	5.0	0.0	23.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	5.0	0.0	18.0	0.0	6.0	1.0	0.0	2.0	0.0	3.0	0.0	0.0	8.0	17.0	40.0	3.0	7.0	8.0	0.0	0.0	98.0	204.0	302.0	336.0	0.0	12.0	0.0	96.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asv249	104.0	26.0	111.0	21.0	163.0	0.0	0.0	9.0	112.0	87.0	8.0	12.0	0.0	0.0	1.0	125.0	3.0	32.0	2.0	42.0	16.0	100.0	53.0	0.0	30.0	6.0	0.0	174.0	5.0	38.0	11.0	10.0	12.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	14.0	111.0	9.0	17.0	0.0	5.0	38.0	2.0	0.0	0.0	0.0	32.0	0.0
asv245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asv166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
asv287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asv7	12.0	5.0	0.0	20.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	32.0	0.0	0.0	162.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	5.0	0.0	1.0	43.0	0.0	0.0	0.0	0.0	4.0	0.0
asv88	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
