"","cluster","pval","rho","sum","fdr","test","taxonomy"
"11","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g__",0.000966202944017001,-0.383384458149451,1627,0.0120434837518789,"latitude","genus"
"12","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc",0.00232136495346419,-0.355863184890181,346,0.0120434837518789,"latitude","genus"
"13","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus",0.00240869675037579,-0.354649300628385,32,0.0120434837518789,"latitude","genus"
"14","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA",0.00544211306695003,-0.326580806359496,1188,0.0204079240010626,"latitude","genus"
"15","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus",0.0171681066548582,-0.28205862915837,41,0.0515043199645746,"latitude","genus"
"16","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella",0.0418347552999634,-0.242218938419136,799,0.104586888249909,"latitude","genus"
"17","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc",0.00060431649612412,0.397194921496507,346,0.00479190839837653,"longitude","genus"
"18","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus",0.000726118032983822,0.391862104827866,32,0.00479190839837653,"longitude","genus"
"19","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g__",0.000958381679675306,0.383628807708501,1627,0.00479190839837653,"longitude","genus"
"20","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus",0.0133284122434042,0.29245205638055,41,0.0499815459127658,"longitude","genus"
"21","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA",0.0257195292470516,0.26466059743268,1188,0.0771585877411549,"longitude","genus"
"22","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus",6.59248391027401e-06,0.506472354985528,32,9.88872586541101e-05,"date","genus"
"23","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus",0.000276000378531533,0.419009332536641,41,0.00159733506337418,"date","genus"
"24","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g__",0.000319467012674836,0.415049143779827,1627,0.00159733506337418,"date","genus"
"25","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc",0.000868188283393193,0.38658532092858,346,0.00325570606272447,"date","genus"
"26","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA",0.00688539465252671,0.317982657115091,1188,0.0206561839575801,"date","genus"
"27","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae_ g__",0.0206445626944863,0.274250201470574,192,0.0516114067362157,"date","genus"
"28","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella",0.0334020180785193,0.252824856496141,799,0.0715757530253984,"date","genus"
