"","cluster","pval","rho","sum","fdr","test","taxonomy"
"11","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA_NA",0.00662200978380809,-0.319425086607932,1188,0.0281435415811844,"sortorder","species"
"12","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata",0.0114812381761628,-0.29841084744598,627,0.0390362097989535,"sortorder","species"
"13","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus_ s__",0.0182331316995444,-0.279532800197381,41,0.0516605398153758,"sortorder","species"
"14","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s__",0.000966202944017001,-0.383384458149451,1627,0.016425450048289,"latitude","species"
"15","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA",0.00232136495346419,-0.355863184890181,346,0.0195671348562039,"latitude","species"
"16","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus_ s__",0.00345302379815362,-0.342557550803412,28,0.0195671348562039,"latitude","species"
"17","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA_NA",0.00544211306695003,-0.326580806359496,1188,0.0231289805345376,"latitude","species"
"18","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata",0.0131606328339778,-0.292962699359039,627,0.0447461516355246,"latitude","species"
"19","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus_ s__",0.0171681066548582,-0.28205862915837,41,0.0486429688554315,"latitude","species"
"20","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA",0.00060431649612412,0.397194921496507,346,0.00549043448396897,"longitude","species"
"21","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s__",0.000958381679675306,0.383628807708501,1627,0.00549043448396897,"longitude","species"
"22","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus_ s__",0.000968900203053347,0.383300606495791,28,0.00549043448396897,"longitude","species"
"23","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus_ s__",0.0133284122434042,0.29245205638055,41,0.0566457520344679,"longitude","species"
"24","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA_NA",0.0257195292470516,0.26466059743268,1188,0.0874463994399755,"longitude","species"
"25","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Lactobacillaceae_ g__Lactobacillus_ s__",1.47019765531746e-05,0.48959504650967,28,0.000249933601403969,"date","species"
"26","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Streptococcaceae_ g__Lactococcus_ s__",0.000276000378531533,0.419009332536641,41,0.00181031307182407,"date","species"
"27","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g___ s__",0.000319467012674836,0.415049143779827,1627,0.00181031307182407,"date","species"
"28","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Leuconostocaceae_ g__Leuconostoc_NA",0.000868188283393193,0.38658532092858,346,0.00368980020442107,"date","species"
"29","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_NA_NA",0.00688539465252671,0.317982657115091,1188,0.0234103418185908,"date","species"
"30","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Enterobacteriales_ f__Enterobacteriaceae_ g__Tatumella_ s__punctata",0.0112294314157638,0.299286567985542,627,0.031816722344664,"date","species"
"31","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae_ g___ s__",0.0206445626944863,0.274250201470574,192,0.050136795115181,"date","species"
